name,team,time,points
Jacob Benoit,Dalhousie Tigers,26:54,1
Silas Conlin-Morse,UNB Reds,26:58,2
Liam McCullagh,St. F X,27:09,3
Joel Gallant,St. F X,27:12,4
Griffin Gamble,St. F X,27:16,5
Liam Patterson,St. F X,27:23,6
Brett King,St. F X,27:23,7
Luke Macdonald,St. F X,27:30,8
Aidan Goslett,Dalhousie Tigers,27:32,9
Isaac MacLean,Dalhousie Tigers,27:52,10
Jack Roberts,UPEI Panthers,27:56,11
Conlan MacKenzie,St. F X,28:04,12
Ben Mundle,Dalhousie Tigers,28:12,13
Mathew Lawton,St. F X,28:12,
Alex Rogers,Dalhousie Tigers,28:17,14
Caden Jones,UNB Reds,28:35,15
Grayson Butler,Dalhousie Tigers,28:42,16
Yannick Dupuis,Moncton Aigles Bleu,28:51,17
Josh Varley,Dalhousie Tigers,28:58,18
Lukas Rudaitis,Dalhousie Tigers,29:09,
Andrew Lupenette,St. F X,29:11,
Max MacIsaac,UPEI Panthers,29:31,19
Jack Langille,Dalhousie Tigers,29:36,
Benji Dueck,UPEI Panthers,29:37,20
Riley Cuthbert,Dalhousie Tigers,29:44,
Sadiq Shahid,UNB Reds,29:48,21
Baleyon Wolfe,UPEI Panthers,29:58,22
Pascal LeBlanc,Moncton Aigles Bleu,29:58,23
Jacob Dalton,UPEI Panthers,30:01,24
Briac Breen,Dalhousie Tigers,30:03,
Ian Young,UNB Reds,30:06,25
Sam Andrew,UNB Reds,30:32,26
Landyn Cooke-Brithrey,St. F X,30:33,
Alex Labrecque,St. Mary's Huskies,30:34,27
Brody Wright,Dalhousie Tigers,30:58,
Campbell Brown,UPEI Panthers,31:05,28
Tristan Shaw,Dalhousie Tigers,31:14,
Cole Miller,St. Mary's Huskies,31:17,29
Brady Kyle,St. Mary's Huskies,31:23,30
Zackary Kennedy,St. Mary's Huskies,31:36,31
Matthew Mundy,St. Mary's Huskies,32:05,32
Mathieu Ouellet,Moncton Aigles Bleu,32:25,33
Eli Ford,St. Mary's Huskies,32:48,34
Justin Brun,Moncton Aigles Bleu,34:21,35
Pierre Faivre,Moncton Aigles Bleu,35:36,36
Olivier Godin,Moncton Aigles Bleu,35:58,37
Travis Gillis,St. Mary's Huskies,37:46,38
