name,time,team,points
Sophie Black,31:47,Moncton Aigles Bleu,1
Poppy Moon,31:53,St. F X,2
Caroline Ash,31:53,St. F X,3
Anna Harris,31:56,UPEI Panthers,4
Eileen Benoit,32:03,St. F X,5
Caden Lee,32:04,St. F X,6
Allie Sandluck,32:04,St. F X,7
Breanna Sandluck,32:06,Dalhousie Tigers,8
Sarah Watson,32:09,St. F X,9
Mairin Canning,32:20,St. F X,10
Grace Richard,32:22,UPEI Panthers,11
Katie Richard,32:34,UPEI Panthers,12
Molly Pert,32:43,Dalhousie Tigers,13
Zoe Doorenspleet,32:50,Dalhousie Tigers,14
Mackenzie Kitchen,33:02,Dalhousie Tigers,15
Eva Kriebel,33:15,Dalhousie Tigers,16
Eden Hildebrand,33:16,St. F X,
Juliet Pulfrey,33:20,Dalhousie Tigers,17
Chloe Richardson,33:23,Dalhousie Tigers,18
Kristen Ross,33:31,Dalhousie Tigers,
Zoe Fullarton,33:55,Dalhousie Tigers,
Stefania Angona,34:08,UPEI Panthers,19
Rebecca Haney,34:13,St. F X,
Frankie Kerr,34:18,Dalhousie Tigers,
Maya Black,34:31,St. F X,
Jillian Bennett,34:35,St. F X,
Aidan Macdonald,34:38,Dalhousie Tigers,
Ella Campbell,34:47,Acadia,20
Paris Buchanan,34:51,Acadia,21
Laura O'Keefe,34:54,Dalhousie Tigers,
Ava Goncalves,35:01,UNB Reds,22
Gabrielle Côté,35:28,Moncton Aigles Bleu,23
Grace Earle,35:43,Acadia,24
Quincy Rotsaert-Smith,35:55,St. F X,
Maggie Graves,36:06,Acadia,25
Madalyn MacKinnon,36:28,Moncton Aigles Bleu,26
Hannah Levyssohn,36:35,Moncton Aigles Bleu,27
Makayla Burke,36:52,UNB Reds,28
Amy Caissie,37:09,Moncton Aigles Bleu,29
Ella Jenkins,37:12,UPEI Panthers,30
Sam Norris,37:32,Dalhousie Tigers,
Bhreagh Burke,37:41,St. Mary's Huskies,
Ava Joseph,37:46,Acadia,31
Abby Edison,37:56,Dalhousie Tigers,
Ashley Brady,38:00,St. Mary's Huskies,
Amanda Daniels,38:10,Acadia,32
Nevaeh Spinney,38:30,Dalhousie Tigers,
Jacqueline Moore,38:35,St. Mary's Huskies,
Annie Clarke,39:05,Moncton Aigles Bleu,33
Natalie Irving,39:12,UNB Reds,34
Amélie Cormier,39:19,Moncton Aigles Bleu,35
Kelsey Hanson,39:48,UNB Reds,36
Ila Gurney,41:04,UNB Reds,37
Bianca Eagles,52:22,Moncton Aigles Bleu,
