name,time,team,points
Eileen Benoit,30:24.0,St. F X,1
Sophie Black,30:34.6,Moncton Aigles Bleu,2
Caroline Ash,30:35.6,St. F X,3
Mairin Canning,30:45.7,St. F X,4
Molly Pert,30:47.2,Dalhousie Tigers,5
Caden Lee,30:51.5,St. F X,6
Sierra Rodrigues,30:53.7,UNB Reds,7
Allie Sandluck,30:56.3,St. F X,8
Poppy Moon,31:02.3,St. F X,9
Ivy Bialowas,31:06.2,UNB Reds,10
Hilary Bishop,31:16.4,UNB Reds,11
Breanna Sandluck,31:21.1,Dalhousie Tigers,12
Darcie Stapleton,31:30.7,Memorial Sea-Hawks,13
Zoe Doorenspleet,31:32.8,Dalhousie Tigers,14
Grace Richard,31:37.1,UPEI Panthers,15
Katie Richard,31:42.8,UPEI Panthers,16
Georgia Bernhard,31:48.7,UNB Reds,17
Juliet Pulfrey,31:49.8,Dalhousie Tigers,18
Eva Kriebel,32:24.7,Dalhousie Tigers,19
Anna Harris,32:26.9,UPEI Panthers,20
Hannah McIntyre,32:30.0,St. F X,21
Stefania Angona,32:34.8,UPEI Panthers,22
Maria Chafe,32:46.7,Memorial Sea-Hawks,23
Zoe Fullarton,32:59.0,Dalhousie Tigers,24
Mackenzie Kitchen,33:10.8,Dalhousie Tigers,25
Hannah Levyssohn,33:16.9,Moncton Aigles Bleu,26
Claire Hamilton,33:28.4,UNB Reds,27
Grace Mack,33:46.6,Memorial Sea-Hawks,28
Ava Goncalves,33:56.6,UNB Reds,29
Ella Campbell,33:59.6,Acadia,30
Alexandra Benevides,34:03.5,UNB Reds,31
Paris Buchanan,34:07.9,Acadia,32
Tiffany Furneaux,34:10.7,Memorial Sea-Hawks,33
Ally Wilkins,34:10.7,Memorial Sea-Hawks,34
Ella Jenkins,34:13.5,UPEI Panthers,35
Gabrielle Côté,34:41.7,Moncton Aigles Bleu,36
Anne-Sophie Le Rudulier,34:53.0,Acadia,37
Jocelyn Ringler,35:00.3,Memorial Sea-Hawks,38
Madalyn MacKinnon,35:04.8,Moncton Aigles Bleu,39
Amy Caissie,35:35.0,Moncton Aigles Bleu,40
Arleta Sadilkova,35:36.5,Memorial Sea-Hawks,41
Clementine MacLeod,35:58.1,Acadia,42
Grace Earle,36:07.7,Acadia,43
Annie Clarke,36:26.1,Moncton Aigles Bleu,44
Maggie Graves,36:39.1,Acadia,45
Katie Gautreau,36:45.6,UPEI Panthers,46
Amélie Cormier,38:12.3,Moncton Aigles Bleu,47
Amanda Daniels,38:24.2,Acadia,48
