name,time,team
Philippe Morneau-Cartier,18:14.86,Laval Rouge et Or
Andre Alie-Lamarche,18:41.59,Ottawa Lions
Rudy Saal,18:53.01,Laval Rouge et Or
William Nolet,18:58.45,Laval Rouge et Or
Devin Chapple,18:59.92,McGill Redbirds
Samuel Hepworth,19:02.21,McGill Redbirds
Luca Messenger-Jones,19:06.41,McGill Redbirds
Jack Stanley,19:08.56,McGill Redbirds
Mathis Mercier,19:11.34,Laval Rouge et Or
Peter Neill,19:14.00,Queen's Gaels
Émile Toupin,19:16.54,Laval Rouge et Or
Sean Adams,19:17.45,McGill Redbirds
Loic Poulin Desjardins,19:19.77,Laval Rouge et Or
Eliott Héroux,19:25.04,Laval Rouge et Or
Maxime Curdy,19:28.27,Laval Rouge et Or
Owen Danby,19:29.85,Queen's Gaels
Vincent Abraham,19:30.72,Université du Québec à Trois-Rivières Les Patriote
Pietro Freisburger,19:32.60,Montréal Carabins
Andy Manzi,19:47.83,Laval Rouge et Or
Jacob Girard,19:51.32,Laval Rouge et Or
Noah El Rimawi-Fine,19:54.32,McGill Redbirds
Ismael Thomas,19:54.97,Laval Rouge et Or
Emmett Harrington,20:05.97,Queen's Gaels
Sacha Dernoncourt,20:10.42,McGill Redbirds
Grégoire Chevalier,20:11.90,Montréal Carabins
Jack Sacilotto,20:15.73,Queen's Gaels
Nazim Berrichi,20:16.90,Montréal Carabins
Ben Morales,20:20.30,McGill Redbirds
Zed Roy,20:21.43,Montréal Carabins
Tristan Gazaille,20:21.82,Queen's Gaels
Jules Charretier,20:23.67,UQAC Inuk
Cédric Rausch,20:24.21,Laval Rouge et Or
Émile Garon,20:26.67,Montréal Carabins
Axel Piasecki,20:29.72,UQAC Inuk
Emile Mignault,20:30.87,McGill Redbirds
Thibaut Appert,20:32.20,UQAC Inuk
Andre Larocque,20:33.60,Queen's Gaels
Jérémy Courchesne,20:33.96,Université du Québec à Trois-Rivières Les Patriote
Emile Zanuttini,20:36.29,Queen's Gaels
William McLeish,20:36.31,Ottawa Gee-Gees
Louis-Philippe Poulin,20:39.65,Montréal Carabins
Félix Bourdages,20:40.29,Universite Laval
Max Wilson,20:40.32,Ottawa Gee-Gees
Nicolas Fortin,20:45.35,Université du Québec à Trois-Rivières Les Patriote
Jules Carcouet,20:54.99,UQAC Inuk
Alistair Kiernan,20:56.96,McGill Redbirds
Louis-Simon Guité,20:57.91,Montréal Carabins
Arthur Lancereau,20:59.31,Élite Distance
Alexis Chabanne,21:01.73,UQAC Inuk
Alexis Deslauriers,21:02.59,Laval Rouge et Or
Ian McCosham,21:05.14,Queen's Gaels
Vincent Fortin,21:07.06,McGill Redbirds
Christophe Poliquin,21:07.40,Université du Québec à Trois-Rivières Les Patriote
Nicolas Abanto Enns,21:07.76,Ottawa Gee-Gees
Zachary Sikka,21:09.80,Ottawa Gee-Gees
Alex Colsell,21:11.29,Montréal Carabins
Nathan Gars,21:17.66,Montréal Carabins
Gavin Bentley,21:18.58,Queen's Gaels
Victor Beck,21:23.19,Élite Distance
Neil Guertin,21:24.90,Vainqueurs Plus
Charles Plamondon,21:25.27,Unattached Ontario
Lucas Levenson,21:28.43,McGill Redbirds
Léopold Chec,21:36.09,UQAC Inuk
Kynan Loftus,21:38.34,Queen's Gaels
Justin Bellavance,21:40.44,UQAC Inuk
Zachary Dubé,21:41.00,Université du Québec à Trois-Rivières Les Patriote
Henri Chaudoir,21:41.79,Montréal Carabins
Adriano Padoin-Castillo,21:45.37,Ottawa Gee-Gees
Philippe Lacasse,21:47.95,Université du Québec à Trois-Rivières Les Patriote
Nathaniel Sneyd,21:51.17,Unattached Ontario
Omar Kabbaj,21:51.97,Élite Distance
Thierry Hébert,21:56.20,Montréal Carabins
Fred Parent,21:58.85,Ottawa Gee-Gees
Mouhcine Aitounejjar,22:00.27,Ottawa Lions
Safwan El Mansari,22:04.61,Ottawa Gee-Gees
Mark Hogan,22:06.83,Queen's Gaels
Jean-Christophe Lasnier,22:08.91,Université du Québec à Trois-Rivières Les Patriote
Matthew Howell,22:14.10,RMC Paladins
Sebastian Saville,22:14.95,Unattached Ontario
Loic Demarbre,22:24.27,Montréal Carabins
Sam Shi,22:25.92,Ottawa Lions
Calder Wheatley,22:34.37,RMC Paladins
Will Squarek,22:35.61,Queen's Gaels
Antoine Laurent,22:37.98,Montréal Carabins
Nathan Satgé,22:41.48,UQAC Inuk
Philippe-Antoine Proulx,22:53.82,UQAC Inuk
William Bolduc,23:00.91,Unattached Ontario
Rémi Senneville,23:04.61,Université du Québec à Trois-Rivières Les Patriote
Ayman Zazaa,23:11.39,CS Athlétisme
Gabriel Milner,23:24.37,RMC Paladins
Nickolas Ross,23:36.60,RMC Paladins
William Mouser,23:42.98,RMC Paladins
Luc Brennan,23:43.22,Montréal Carabins
Cameron Anthony,23:44.80,RMC Paladins
Nicholas Parsons,24:05.27,Carleton Ravens
Thomas Hudon-Tremblay,24:18.25,RMC Saint-Jean
Gregory Tsarynny,24:30.25,RMC Paladins
Jean-Chris Alary-Forget,24:34.60,RMC Saint-Jean
Edmond Piché,24:45.14,RMC Saint-Jean
Rory O'Connell,24:46.62,Ottawa Gee-Gees
Benjamin Medicoff-Sander,24:49.92,RMC Paladins
Evan Liu,24:54.24,RMC Paladins
Lucas Ippolito,25:01.73,Unattached Ontario
Pushker Ramachandran,25:21.24,Ottawa Gee-Gees
Tristan Lapointe,25:22.54,RMC Saint-Jean
Mathieu Audet,25:27.02,RMC Saint-Jean
Elliot Desroches,26:06.27,RMC Saint-Jean
Justin Cho,26:08.22,RMC Paladins
Evan McDonald,26:10.83,Unattached Ontario
Bradley Zaine,26:16.83,Carleton Ravens
Cooper De Haan,26:24.32,RMC Paladins
Raphaël Rondeau,26:26.32,RMC Saint-Jean
Cooper Barrie,27:20.27,Gemini Racers
Mike Mackett,28:16.80,Gemini Racers
Maxime Cazabon,30:25.62,Ottawa Lions
