name,time,team
Sophie Courville,22:32.80,McGill
Sienna Matheson,22:37.52,McGill
Lauren Lowther,22:43.09,Queen's Gaels
Gabrielle Foran,22:45.78,Vainqueurs Plus
Noémie Beaulieu,22:46.96,Laval Rouge-et-Or
Becca Brennan,22:57.96,Unattached Ontario
Emma Graham,23:07.60,Queen's Gaels
Marine Garnier,23:18.88,Montreal Carabins
Meredith Boyer,23:19.13,Montreal Carabins
Alice Marsh,23:22.69,Laval Rouge-et-Or
Léa Pelletier,23:27.98,Laval Rouge-et-Or
Jasmine Stokes,23:28.47,Queen's Gaels
Gillian Porter,23:30.71,Queen's Gaels
Sophie Rashid-Cocker,23:33.58,McGill
Chloe Desjardins,23:35.21,McGill
Claire Brillon,23:42.03,McGill
Victoria LeBlanc,23:42.97,Montreal Carabins
Fanny Horton-Daigneault,23:47.90,Laval Rouge-et-Or
Coralie Mercier,23:54.71,Laval Rouge-et-Or
Klara Gal,23:59.63,Montreal Carabins
Mainé Dupuis-Azizah,24:03.38,Uqtr Patriotes
Sophy Wood,24:06.94,Unattached Ontario
Melina Hamel,24:07.53,Ottawa Gee-Gees
Marick Thibault,24:07.83,Uqtr Patriotes
Olivia Hendrikx,24:09.54,Queen's Gaels
Marie-Renée Emond,24:11.18,Uqtr Patriotes
Amélie Simard,24:26.54,Uqac
Viviane Azzaria,24:26.56,Laval Rouge-et-Or
Ariane Simard,24:26.61,Uqac
Sabrina Lavigne,24:28.05,Laval Rouge-et-Or
Charlotte Edge,24:31.44,McGill
Erini Haron,24:34.61,Queen's Gaels
Mathilde Collard,24:35.50,Laval Rouge-et-Or
Justine Champagne,24:38.05,Montreal Carabins
Romy Sinotte,24:40.24,Laval Rouge-et-Or
Abigail McIntosh,24:48.11,McGill
Ann-Sophie Chalifoux,24:50.46,Laval Rouge-et-Or
Marie-Soleil Courchesne,24:50.84,Uqtr Patriotes
Mia Blackmore-Barnable,24:57.73,McGill
Molly Kineally,25:07.90,Queen's Gaels
Marianne Bogus,25:08.26,Uqac
Ena Smallbegovic,25:11.22,McGill
Kylee Fowler,25:11.42,Ottawa Gee-Gees
Audrey-Anne Caron,25:24.48,Laval Rouge-et-Or
Sara Gross,25:25.03,Carleton Ravens
Grace Murphy,25:28.40,Queen's Gaels
Élian Portillo-Laflamme,25:28.55,Montreal Carabins
Liz Maguire,25:31.04,Ottawa Lions
Daria Klufas,25:40.59,Queen's Gaels
Isabella Elodi Bouchard,25:43.53,Laval Rouge-et-Or
Elodi Castonguay-Girard,25:51.45,Laval Rouge-et-Or
Léa Gobeil,25:59.01,Uqtr Patriotes
Laura Auclair,26:09.01,Uqtr Patriotes
Judith Lefebvre,26:18.10,Montreal Carabins
Noée Jean,26:19.30,Uqac
Corinne Lienhard,26:21.05,Montreal Carabins
Florence Dostaler,26:28.93,Montreal Carabins
Chloe Ranahan,26:31.70,Unattached Ontario
Rosalie Gaudet,26:34.77,Uqtr Patriotes
Jeanne Bédard,26:36.36,Uqtr Patriotes
Julianne Couture,26:37.15,Uqtr Patriotes
Romane Archambault,26:50.53,Montreal Carabins
Maude Gagnon,26:51.11,Uqtr Patriotes
Elizabeth Têtu,27:07.39,Uqtr Patriotes
Maude Tremblay,27:16.80,Uqac
Grace Farrington,27:21.52,Ottawa Gee-Gees
Camélie Houle,27:39.01,Uqtr Patriotes
Elodie Grenier,27:39.52,Montreal Carabins
Katarina Culhane,27:42.18,Ottawa Gee-Gees
Ashley Olar,27:49.52,Carleton Ravens
Gabrielle Sénécal,27:54.50,C.A. Rive Sud
Merissa Anderton,28:01.12,Ottawa Gee-Gees
Elliot Tyman,28:12.42,Ottawa Gee-Gees
Marie-Ève Fortier,28:30.73,Uqtr Patriotes
Emy Becelles,28:38.41,Uqtr Patriotes
Lorelle Houde,28:40.61,Ottawa Gee-Gees
Maxine Kang-Auger,28:40.61,Montreal Carabins
Ruo Shui Lin,28:41.32,Rmc Paladins
Emma Strano,28:41.80,Ottawa Gee-Gees
Ocean Johnson-Storey,28:53.99,Gemini Racers
Amelia Johnston,29:38.55,Rmc Paladins
Janelle Allanach,29:45.41,Ottawa Gee-Gees
Nada Chabibi,29:45.50,Montreal Carabins
Clémence Imbeault,30:42.18,Remparts
Kylie Crawford,30:51.76,Ottawa Gee-Gees
Maria Zamberg,32:15.33,Rmc Paladins
Sydney Nielsen,32:45.23,Carleton Ravens
Camila Navas-Polindara,43:12.36,Carleton Ravens
