name,time,team
Jack Lehto,18:01.3,Guelph Gryphons
Max Davies,18:07.4,Guelph Gryphons
Sam Kinahan,18:13.7,Unattached
Ben Shore,18:16.4,Toronto Varsity Blues
Daniel Rosen,18:28.4,Unattached
Christian Rachner,18:35.1,Guelph Gryphons
Charlie Mills,18:43.2,Guelph Gryphons
Dylan Ferri,18:44.8,Guelph Gryphons
Michael Schmalz,18:46.3,Unattached
Keon Wallingford,18:47.8,Laurentian Voyageurs
Jacques Tiessen,18:49.2,Waterloo Warriors
Alex Leinweber,18:50.2,Unattached
Ian Young,18:55.6,Wilfrid Laurier Golden Hawks
Noah Nagy,19:03.5,McMaster Marauders
Luke Feltham,19:03.8,Guelph Gryphons
Dilan Brar,19:07.6,Unattached
Matthew Markson,19:09.2,McMaster Marauders
Cameron Dean,19:12.1,Waterloo Warriors
Jason Lowrie,19:15.1,McMaster Marauders
Ben Keller,19:15.9,McMaster Marauders
Lukas Vadeika,19:18.2,McMaster Marauders
Eric Campbell,19:19.3,Guelph Gryphons
Ryan Skjarum,19:20.3,Wilfrid Laurier Golden Hawks
Brock McKenzie,19:23.9,Guelph Gryphons
Adam Pralat,19:25.4,Toronto Varsity Blues
Anton Mlynczyk,19:26.0,Toronto Varsity Blues
Jabez Siu,19:26.6,Toronto Varsity Blues
Willem de Gooyer,19:29.6,Guelph Gryphons
Brandon Radey,19:31.3,Laurentian Voyageurs
Alexander Megas,19:32.3,McMaster Marauders
Isak Fransson,19:35.4,McMaster Marauders
Xavier Bird,19:36.1,Unattached
Christian Ligtenberg,19:36.1,Brock Badgers
Adam Huras,19:36.4,Waterloo Warriors
Jack Ormsby,19:36.8,McMaster Marauders
Aaron Smith,19:38.9,Guelph Gryphons
Riley Coles,19:40.7,Brock Badgers
Patrick Dean,19:43.2,Waterloo Warriors
Eitan Garfin-Udaskin,19:43.8,Unattached
Isaac Iannarelli,19:44.9,Brock Badgers
Brandon Cidade,19:45.5,Toronto Varsity Blues
Patrick Leroux,19:45.5,Laurentian Voyageurs
Will Cowling,19:48.3,Guelph Gryphons
Frederik Rivard,19:49.5,Brock Badgers
Xin Law-Gallagher,19:50.3,McMaster Marauders
Oliver Tagalog,19:51.8,Toronto Varsity Blues
Jonathan Lysack,19:55.0,Waterloo Warriors
Noah Patterson,19:58.2,McMaster Marauders
Ryan Ferri,19:59.2,McMaster Marauders
Marco Volpi,19:59.3,York Lions
Dawson Rekker,20:01.7,McMaster Marauders
Sho Adach,20:04.6,Toronto Varsity Blues
Mason Basson,20:06.1,Guelph Gryphons
Simon Drolet,20:06.6,Wilfrid Laurier Golden Hawks
Nick Trieu,20:07.9,Toronto Varsity Blues
Nolan Khulberg,20:08.4,Wilfrid Laurier Golden Hawks
Rami Darawsha,20:11.5,Unattached
Chris Stamadianos,20:11.5,Toronto Varsity Blues
Freddie Parr,20:12.3,Unattached
Brenden Damiano,20:15.9,Brock Badgers
Connor Hickling,20:18.5,Waterloo Warriors
Jadyn Warren,20:18.9,Guelph Gryphons
Garrett Wager,20:22.5,Brock Badgers
Yulai Duan,20:25.8,Waterloo Warriors
Massimo Calcagno,20:25.9,Waterloo Warriors
Nathan Lemire,20:26.1,Wilfrid Laurier Golden Hawks
Cameron Date,20:26.1,Unattached
Patrick Mackinnon,20:28.9,Unattached
Travis Annett,20:29.3,Laurentian Voyageurs
Calvin Traczuk,20:31.2,Nipissing Lakers
Scott Garrett,20:33.4,Toronto Varsity Blues
Owen Roney,20:33.7,Laurentian Voyageurs
Michael Muravchik,20:39.4,York Lions
Owen Dobson,20:40.8,Waterloo Warriors
Evan Ryall,20:41.3,Brock Badgers
Andrew Hicks,20:43.1,Toronto Varsity Blues
Seamus Doherty,20:46.2,Laurentian Voyageurs
Nick Xie,20:46.7,Unattached
Ezra Bender,20:48.3,Wilfrid Laurier Golden Hawks
TJ Green,20:48.3,Laurentian Voyageurs
Redding Maxwell,20:50.1,Brock Badgers
Cohen Ledger,20:55.3,Wilfrid Laurier Golden Hawks
Jack Heintz,20:57.1,TMU Bold
Jack Sayewich,20:58.2,Brock Badgers
Oliver Waddington,20:59.2,York Lions
Ethan Aarts,21:01.6,Nipissing Lakers
Sam Hirons,21:03.5,Unattached
Jaden O'Driscoll,21:05.1,Guelph Gryphons
Noah Cornish,21:05.4,Nipissing Lakers
Nathan Bergman,21:08.6,Toronto Varsity Blues
David Akerman,21:12.7,York Lions
Braydon Trowbridge,21:14.2,Wilfrid Laurier Golden Hawks
Japhy-Kai Crookham,21:16.2,Nipissing Lakers
Tom Voss,21:19.8,TMU Bold
Samuel Bennett,21:24.2,Nipissing Lakers
Evan Prescott,21:25.7,Waterloo Warriors
Cezar Hirsescu,21:33.4,Wilfrid Laurier Golden Hawks
Omr Nathwani,21:36.8,Wilfrid Laurier Golden Hawks
Micah Griffiths,21:37.6,Waterloo Warriors
Andrew Batek,21:41.2,Waterloo Warriors
Jeremy Hardeman,21:46.1,Wilfrid Laurier Golden Hawks
Fawwaz Khan,21:47.4,TMU Bold
Amadi Opara,21:53.7,Waterloo Warriors
Oliver Czerny-Holownia,21:59.1,Nipissing Lakers
Holden Lamont,21:59.9,Wilfrid Laurier Golden Hawks
Liam Dachner,22:01.8,Waterloo Warriors
Fintan Sharpe,22:08.1,Waterloo Warriors
Alan Wilkin,22:11.4,Laurentian Voyageurs
Massimo Montanari,22:17.2,TMU Bold
Eily Woodman,22:20.4,Nipissing Lakers
Gavin Mathieson,22:24.8,Unattached
Harry Kaiser,22:28.3,Waterloo Warriors
Morley Roden,22:32.1,Wilfrid Laurier Golden Hawks
Arthur Fernandez,22:34.6,York Lions
Chris Kamski,22:40.5,Wilfrid Laurier Golden Hawks
George Legler,22:45.0,Nipissing Lakers
Christian Barida,23:01.1,TMU Bold
Nolan Kenny,23:03.5,Nipissing Lakers
Nathan Philippon,23:24.4,Waterloo Warriors
Dylan Garson,23:33.9,Algoma Thunderbirds
Trysten Kahtava,23:47.8,Algoma Thunderbirds
Riley Domaratzki,23:53.0,Unattached
Davis Fowler,25:22.5,Unattached
Preston Tucker,25:32.7,Wilfrid Laurier Golden Hawks
Afnan Kabir,26:05.3,TMU Bold
Noah Missere,26:09.1,Algoma Thunderbirds
Alex Xiong,26:39.1,TMU Bold
Patrick Benner,27:25.8,TMU Bold
Andre Capati,27:32.5,TMU Bold
Marc Philippon,28:21.6,Unattached
