name,time,team
Paige Breedon,28:16.7,Waterloo Warriors
Madelyn Eybergen,28:41.0,Windsor Lancers
Alyshia Alkerton,28:45.1,Queen's Gaels
Sandra Guga,28:53.1,Western Mustangs
Julia Agostinelli,28:57.6,Toronto Varsity Blues
Anna Carruthers,29:02.7,Western Mustangs
Olivia Roussel,29:11.3,Western Mustangs
Ana Morariu,29:13.8,McMaster Marauders
Erika Jordan,29:22.0,Western Mustangs
Ella Lane,29:24.8,Queen's Gaels
Ashley Maguire,29:32.6,Western Mustangs
Chloe Coutts,29:45.1,Western Mustangs
EJ Boston,30:03.3,Western Mustangs
Michelle Gray,30:16.0,Guelph Gryphons
Mary Tennant,30:17.4,McMaster Marauders
Clara Fava,30:25.8,Western Mustangs
Emma Graham,30:28.4,Queen's Gaels
Olivia Vanleeuwen,30:29.9,Waterloo Warriors
Pascale Gendron,30:31.5,Western Mustangs
Alex McDougall,30:32.4,Guelph Gryphons
Kara Tichbourne,30:36.2,McMaster Marauders
Joelle Olla,30:44.7,Windsor Lancers
Ella Madsen,30:46.2,McMaster Marauders
Maria Linton,30:50.6,Western Mustangs
Leah Stapleton,30:51.8,Guelph Gryphons
Emma Elliott,30:54.9,McMaster Marauders
Hillary Clark,30:55.7,Waterloo Warriors
Olivia Baggley,30:55.7,Queen's Gaels
Lauren Lowther,31:01.2,Queen's Gaels
Maeve Pestonji,31:01.5,Guelph Gryphons
Liana De Medeiros,31:02.9,Toronto Varsity Blues
Kristina Etezadi,31:05.5,Guelph Gryphons
Nicole Hartnell,31:05.6,Guelph Gryphons
Katherine Taylor,31:05.6,Queen's Gaels
Elizabeth Vroom,31:09.0,Queen's Gaels
Lauren Macsai,31:12.0,Brock Badgers
Robyn Perry,31:13.7,Queen's Gaels
Kaylee White,31:17.8,McMaster Marauders
Jocelyn Giannotti,31:21.2,Guelph Gryphons
Sian Kniaziew,31:32.5,Windsor Lancers
Jardine Lam-Colling,31:35.1,Guelph Gryphons
Maria Sandor,31:42.3,Guelph Gryphons
Natalie Fortier,31:47.9,Windsor Lancers
Beatrix Maddocks,31:48.1,Guelph Gryphons
