name,team,time,points
Mairin Canning,St. F X,29:59,1
Caroline Ash,St. F X,30:00,2
Sophie Black,Moncton Aigles Bleu,30:01,3
Allie Sandluck,St. F X,30:04,4
Breanna Sandluck,Dalhousie Tigers,30:09,5
Zoe Doorenspleet,Dalhousie Tigers,30:15,6
Caden Lee,St. F X,30:27,7
Poppy Moon,St. F X,30:31,8
Molly Pert,Dalhousie Tigers,30:51,9
Darcie Stapleton,Memorial Sea-Hawks,31:04,10
Eva Kriebel,Dalhousie Tigers,31:04,11
Katie Richard,UPEI Panthers,31:10,12
Allison Wasson,ASEA Athlétisme Sud-Est / South-East Athletics,31:11,
Eileen Benoit,St. F X,31:18,13
Juliet Pulfrey,Dalhousie Tigers,31:21,14
Hannah McIntyre,St. F X,31:23,15
Mackenzi Kitchen,Dalhousie Tigers,31:27,16
Grace Mack,Memorial Sea-Hawks,31:34,17
Grace Richard,UPEI Panthers,31:40,18
Zoe Fullarton,Dalhousie Tigers,31:45,19
Stefania Angona,UPEI Panthers,31:59,20
Sarah Watson,St. F X,32:15,
Kristen Ross,Dalhousie Tigers,32:17,
Eden Hildebrand,St. F X,32:20,
Danielle Keefe,Dalhousie Tigers,32:20,
Frankie Kerr,Unattached,32:28,
Hannah Levyssohn,Moncton Aigles Bleu,32:28,21
Maria Chafe,Memorial Sea-Hawks,32:50,22
Poppy Thomson,St. F X,32:58,
Maisyn Battams,Dalhousie Tigers,33:07,
Paris Buchanan,Acadia,33:15,23
Ella Campbell,Acadia,33:21,24
Rebecca Haney,St. F X,33:36,
Paige Quinn,St. F X,33:38,
Anne Le Rudulier,Acadia,33:39,25
Jocelyn Ringler,Memorial Sea-Hawks,33:47,26
Maya Black,St. F X,33:52,
Ally Wilkins,Memorial Sea-Hawks,33:58,27
Clementi MacLeod,Acadia,34:11,28
Bhreagh Burke,St. Mary's Huskies,34:41,29
Tiffany Furneaux,Memorial Sea-Hawks,34:42,30
Gabrielle Côté,Moncton Aigles Bleu,34:45,31
Q Rotsaert-Smith,St. F X,34:55,
Jillian Bennett,St. F X,34:58,
Katie Gautreau,UPEI Panthers,35:04,32
Grace Earle,Acadia,35:10,33
Arleta Sadilkova,Memorial Sea-Hawks,35:18,34
Maggie Graves,Acadia,35:31,35
Ava Joseph,Acadia,35:47,36
Jacqueline Moore,St. Mary's Huskies,35:58,37
Annie Clarke,Moncton Aigles Bleu,36:10,38
Ella Jenkins,UPEI Panthers,36:20,39
Mackenzie Hayduk,St. Mary's Huskies,36:43,40
Ashley Brady,St. Mary's Huskies,37:00,41
Amanda Daniels,Acadia,37:16,
Lauren Doyle,Acadia,37:25,
Amélie Cormier,Moncton Aigles Bleu,37:48,42
Abby Pace,Memorial Sea-Hawks,38:00,
Marcie Theriault,St. Mary's Huskies,47:31,43
Bianca Eagles,Moncton Aigles Bleu,50:40,44
