name,team,time,points
Jacob Benoit,Dalhousie Tigers,24:50,1
William Pidduck,Memorial Sea-Hawks,25:36,2
Liam McCullagh,St. F X,25:39,3
Joel Gallant,St. F X,25:49,4
Griffin Gamble,St. F X,25:50,5
Luke Macdonald,St. F X,25:58,6
Brett King,St. F X,26:01,7
Lukas Rudaitis,Dalhousie Tigers,26:13,8
Conlan MacKenzie,St. F X,26:17,9
Aidan Goslett,Dalhousie Tigers,26:19,10
Alex Rogers,Dalhousie Tigers,26:26,11
Mathew Lawton,Rocky Lake Junior High,26:36,
Ben Mundle,Dalhousie Tigers,26:38,12
Jack Roberts,UPEI Panthers,26:47,13
David Mack,Memorial Sea-Hawks,26:57,14
Josh Varley,Dalhousie Tigers,27:03,15
Jack Langille,Dalhousie Tigers,27:20,16
Grayson Butler,Dalhousie Tigers,27:29,
Nicholas Hawe,Memorial Sea-Hawks,27:36,17
James Power,Memorial Sea-Hawks,27:41,18
Marcus Spingle,Memorial Sea-Hawks,27:43,19
Jeremie Pellerin,Unattached,27:43,
Max MacIsaac,UPEI Panthers,27:47,20
Yannick Dupuis,Moncton Aigles Bleu,27:49,21
Riley Cuthbert,Dalhousie Tigers,27:50,
Benji Dueck,UPEI Panthers,27:57,22
Briac Breen,Dalhousie Tigers,27:57,
Pascal LeBlanc,Moncton Aigles Bleu,27:57,23
Ryan Macdonald,UPEI Panthers,28:03,24
Jacob Dalton,UPEI Panthers,28:07,25
Brady Kyle,St. Mary's Huskies,28:11,26
Baleyon Wolfe,UPEI Panthers,29:11,27
Matt Mundy,St. Mary's Huskies,29:12,28
Campbell Brown,UPEI Panthers,29:13,29
Nolan Neville,Cape Breton Capers,29:15,
Andrew Lupenette,St. F X,29:19,30
Zack Kennedy,St. Mary's Huskies,29:22,31
Julien Thibodeau,Moncton Aigles Bleu,29:58,32
Oliver Hubka,St. Mary's Huskies,31:04,33
Mathieu Ouellet,Moncton Aigles Bleu,31:29,34
Rile Fitzpatrick,UPEI Panthers,31:34,
Pierre Faivre,Moncton Aigles Bleu,31:42,35
Olivier Godin,Moncton Aigles Bleu,32:41,36
Travis Gillis,St. Mary's Huskies,33:48,37
Cole Miller,St. Mary's Huskies,33:49,38
Tejver Grewal,Cape Breton Capers,34:28,
Justin Brun,Moncton Aigles Bleu,35:20,39
