name,team,time
Colleen Wilson,Dalhousie Tigers,19:39.65
Carol-Ann MacDonald,Moncton Aigles Bleu,20:18.28
Kamylle Frenette,Moncton Aigles Bleu,20:45.88
Shaylynn Tell,Dalhousie Tigers,20:51.92
Abby Llewellyn,Dalhousie Tigers,20:53.72
Margaux McLean,Acadia,21:02.99
Melanie McKenna,Dalhousie Tigers,21:04.24
Emily Ferguson,Dalhousie Tigers,21:04.24
Nicole Hollohan,Memorial Sea-Hawks,21:16.43
Samantha Fader,St. Mary's Huskies,21:18.57
Megan Ryan,Memorial Sea-Hawks,21:26.39
Magalie Babineau,Moncton Aigles Bleu,21:27.04
Madalyn Higgins,Acadia,21:29.03
Michaela Walker,Dalhousie Tigers,21:31.99
Alicia Henry,Acadia,21:41.95
Mackenzie Seagram,Acadia,22:18.97
Emily Hickey,Memorial Sea-Hawks,22:22.19
Chrissy Smith,Acadia,22:25.07
Paige Rosnak,St. Mary's Huskies,22:25.41
Hannah Ascough,Dalhousie Tigers,22:27.33
Jane Herggert,Valley Athletics Club,22:28.98
Rachel Watts,Acadia,22:33.81
Eileen Haskett,Acadia,22:48.92
Jenny Brace,Memorial Sea-Hawks,22:58.03
Fanny Tournay,Moncton Aigles Bleu,23:02.20
Jenna MacLean,Acadia,23:04.85
Kelsey Crouse,Acadia,23:09.74
Ellen Taggart,Acadia,23:12.86
Jennah Lay,Acadia,23:23.48
Leila Zaki,St. Mary's Huskies,23:24.69
Emily Lamb,Acadia,23:26.32
Laura Bonga,Acadia,23:49.38
Jessica Hinkka,St. Mary's Huskies,23:57.96
Meaghan Vaughan,Acadia,23:58.44
Victoria Healey,Memorial Sea-Hawks,23:59.51
Georgina Beeden,St. Mary's Huskies,24:24.21
Guthrie,Moncton Aigles Bleu,25:39.97
Rebecca Doyle,UPEI Panthers,25:44.74
Amy Lynn Grant,Moncton Aigles Bleu,25:54.45
Jane D'Souza,St. Mary's Huskies,26:16.74
Caroline Bujold,Moncton Aigles Bleu,27:12.86
Vanessa Rowe,Moncton Aigles Bleu,27:24.66
Alexis Matthew,Moncton Aigles Bleu,27:35.64
Emma Moore,UPEI Panthers,27:40.19
Marie-Christine Noel,Moncton Aigles Bleu,28:36.55
Danielle Schofield,Moncton Aigles Bleu,30:29.41
Pascale Richard,Moncton Aigles Bleu,32:34.49
