name,team,time
Matthew Power,Memorial Sea-Hawks,21:02.31
Angus MacIntosh,Dalhousie Tigers,21:37.30
Bryan Thomas,Moncton Aigles Bleu,21:40.50
Jordan Fewer,Memorial Sea-Hawks,21:55.08
Nassim Bousmaha,Moncton Aigles Bleu,22:19.49
Jonathan Peverill,St. Mary's Huskies,22:37.16
Edward MacDonald,St. F X,22:39.65
Trent Lynds,Dalhousie Tigers,22:53.36
Seamus Boyd-Porter,Memorial Sea-Hawks,23:05.82
Paul Gallant,Unattached,23:23.78
Zachery Putt,Memorial Sea-Hawks,23:28.22
Kyle MacLeod,Memorial Sea-Hawks,23:29.30
Jeremy Thompson,UPEI Panthers,23:30.17
Owen Bishop,Dalhousie Tigers,23:34.36
Colin Long,Dalhousie Tigers,23:38.94
Michael Rogers,Dalhousie Tigers,23:45.94
Daniel Maguire,Dalhousie Tigers,23:52.64
Alex Coffin,Unattached,23:58.54
Jonah Shankel,Valley Athletics Club,24:06.95
Christopher Lee,St. Mary's Huskies,24:29.61
Alec Brown,UPEI Panthers,24:34.55
Brandon Higgenbotham,UPEI Panthers,24:50.77
Sam Cadrain,Valley Athletics Club,24:56.49
Vincent Leclair,Moncton Aigles Bleu,24:57.96
Nicholas Buckler,Dalhousie Tigers,25:02.42
Daniel Saucier,Moncton Aigles Bleu,25:07.58
Stephen Goodyear,St. Mary's Huskies,25:20.99
David I. MacDonald,St. F X,25:28.39
Cameron Taylor,St. Mary's Huskies,25:29.92
Jonathan Low,Memorial Sea-Hawks,26:33.15
Jesse Fuller,Valley Athletics Club,26:42.84
Andrew Herold,St. Mary's Huskies,26:53.81
Steven Seviour,UPEI Panthers,27:12.74
Fran Pelletier,Moncton Aigles Bleu,29:00.79
Ryan Smallwood,Moncton Aigles Bleu,29:05.05
Lucas Clow,UPEI Panthers,31:13.05
Samuel LeBlanc,Moncton Aigles Bleu,35:15.50
