name,time,team,points
Jared Howse,24:53.8,UNB Reds,1
Jacob Benoit,25:17.1,Dalhousie Tigers,2
William Boyle,25:34.9,UNB Reds,3
Silas Conlin-Morse,25:56.1,UNB Reds,4
William Pidduck,25:59.9,Memorial Sea-Hawks,5
Brodie Pennie,26:02.3,UNB Reds,6
Joel Gallant,26:04.0,St. F X,7
Liam McCullagh,26:11.2,St. F X,8
Mitchell Kean,26:14.4,UNB Reds,9
Griffin Gamble,26:17.5,St. F X,10
Brett King,26:21.6,St. F X,11
Alex Rogers,26:23.5,Dalhousie Tigers,12
Aidan Goslett,26:27.2,Dalhousie Tigers,13
Luke Macdonald,26:46.0,St. F X,14
Quinn Eberts,26:57.0,UNB Reds,15
Jack Roberts,27:00.4,UPEI Panthers,16
Lukas Rudaitis,27:18.0,Dalhousie Tigers,17
Elijah Bayne,27:26.4,UNB Reds,18
Josh Varley,27:37.7,Dalhousie Tigers,19
Conlan MacKenzie,27:43.5,St. F X,20
Liam Patterson,27:57.2,St. F X,21
Ben Mundle,28:06.5,Dalhousie Tigers,22
Markus Spingle,28:09.0,Memorial Sea-Hawks,23
Nicholas Hawe,28:11.7,Memorial Sea-Hawks,24
Yannick Dupuis,28:16.6,Moncton Aigles Bleu,25
Isaac MacLean,28:36.8,Dalhousie Tigers,26
Ryan Macdonald,28:43.1,UPEI Panthers,27
Benji Dueck,28:48.5,UPEI Panthers,28
Brady Kyle,28:48.5,St. Mary's Huskies,29
Alex Labrecque,28:51.5,St. Mary's Huskies,30
Pascal LeBlanc,28:57.6,Moncton Aigles Bleu,31
Logan Reid,29:00.4,Memorial Sea-Hawks,32
Max MacIsaac,29:05.7,UPEI Panthers,33
Baleyon Wolfe,29:06.5,UPEI Panthers,34
Nick Oake,29:07.4,Memorial Sea-Hawks,35
Julien Thibodeau,29:17.2,Moncton Aigles Bleu,36
Campbell Brown,29:20.5,UPEI Panthers,37
Jacob Dalton,29:31.3,UPEI Panthers,38
James Power,29:40.0,Memorial Sea-Hawks,39
David Mack,29:45.2,Memorial Sea-Hawks,40
Zachary Kennedy,29:54.2,St. Mary's Huskies,41
Matthew Mundy,30:14.8,St. Mary's Huskies,42
Elijah Ford,30:52.0,St. Mary's Huskies,43
Cole Miller,31:06.5,St. Mary's Huskies,44
Mathieu Ouellet,31:17.6,Moncton Aigles Bleu,45
Pierre Faivre,32:20.0,Moncton Aigles Bleu,46
Justin Brun,33:45.3,Moncton Aigles Bleu,47
Olivier Godin,34:08.4,Moncton Aigles Bleu,48
