name,time,team
Savanna Jordan,30:05.0,Dalhousie Tigers
Michelle Reddy,30:56.8,Dalhousie Tigers
Carol-Ann MacDonald,31:11.8,Moncton Aigles Bleu
Liz MacDonald,31:30.7,St. F X
Rachel MacDougall,31:39.4,St. F X
Katie Robinson,31:58.3,Acadia
Jenna MacDonald,32:07.3,Dalhousie Tigers
Chrissy Smith,32:09.8,Acadia
Shaylynn Tell,32:30.3,Dalhousie Tigers
Madalyn Higgins,32:33.2,Acadia
Kamylle Frenette,32:38.5,Moncton Aigles Bleu
Jenna Keilty,32:39.9,UNB Reds
Paige Chisholm,32:50.5,St. F X
Ashley Robson,33:10.2,St. F X
Ellen Taggart,33:13.7,Acadia
Zoe Johnston,33:24.2,St. F X
Kate Scallion,33:33.1,Dalhousie Tigers
Hana Marmura,33:43.7,St. F X
Cailie McGuire,33:46.4,UNB Reds
Melanie McKenna,33:51.6,Dalhousie Tigers
Mackenzie Seagram,34:21.4,Acadia
Catherine Thompson,35:03.5,St. F X
Jessie Armstrong,35:18.2,Acadia
Sarah Kromberg,35:25.9,Dalhousie Tigers
Rachel Bennett,35:40.5,UNB Reds
Emma Moore,35:47.5,UPEI Panthers
Natalie Tremblay,35:50.6,UNB Reds
Megan Ryan,36:04.0,Memorial Sea-Hawks
Jana Giles,36:25.8,UNB Reds
Myriam Cyr,36:39.2,Moncton Aigles Bleu
Rachel Watts,36:46.8,Acadia
Chelsey Hall,37:19.8,St. Thomas Tommies
December Sampson,37:21.9,Moncton Aigles Bleu
Abygail Pelletier,38:03.0,Moncton Aigles Bleu
Hannah Scott,40:01.5,Moncton Aigles Bleu
Solana Purdy,40:23.9,St. Mary's Huskies
Elizabeth Lorimer,41:54.3,St. Mary's Huskies
Jensen Elliott,42:06.7,St. Thomas Tommies
Sarah Victor,42:18.4,UPEI Panthers
Jasmine Frizzell,43:22.5,UPEI Panthers
Alaina Mejia,44:42.1,St. Thomas Tommies
