name,team,time
Frances MacLeod,St. Mary's Huskies,28:44
Caroline Ash,St. F X,28:46
Poppy Moon,St. F X,28:54
Eileen Benoit,St. F X,28:55
Grace Mack,Memorial Sea-Hawks,29:02
Molly Pert,Dalhousie Tigers,29:20
Caden Lee,St. F X,29:24
Mila Souilliere,Dalhousie Tigers,29:34
Emily Doucet,UNB Reds,29:36
Sierra Rodrigues,UNB Reds,29:40
Feron Wallace,St. F X,29:44
Darcie Stapleton,Memorial Sea-Hawks,29:48
Bridget Jeffery,UNB Reds,29:56
Nikolina Kapovic,UNB Reds,29:57
Juliet Pulfrey,Dalhousie Tigers,30:08
Ivy Bialowas,UNB Reds,30:22
Danielle Keefe,Dalhousie Tigers,30:28
Maria Chafe,Memorial Sea-Hawks,30:29
Georgia Bernhard,UNB Reds,30:34
Stefania Angona,UPEI Panthers,30:47
Eva Kriebel,Dalhousie Tigers,30:52
Poppy Thomson,St. F X,30:52
Maisyn Battams,Dalhousie Tigers,30:57
Katie Richard,UPEI Panthers,31:03
Grace Richard,UPEI Panthers,31:14
Zoe Fullarton,Dalhousie Tigers,31:46
Juliana Lemaire,Moncton Aigles Bleu,31:50
Clementine MacLeod,Acadia,31:59
Gabrielle Côté,Moncton Aigles Bleu,31:59
Paris Buchanan,Acadia,32:04
Rebecca Haney,St. F X,32:10
Jocelyn Ringler,Memorial Sea-Hawks,32:11
Ava Goncalves,UNB Reds,32:17
Tiffany Furneaux,Memorial Sea-Hawks,32:33
Sarah Mack,Memorial Sea-Hawks,32:47
Anne-Sophie Le Rudulier,Acadia,33:07
Bridget Keedwell,UPEI Panthers,33:18
Arleta Sadilkova,Memorial Sea-Hawks,33:28
Ava Joseph,Acadia,33:57
Mackenzie Hayduk,St. Mary's Huskies,34:39
Grace Earl,Acadia,34:43
Malika Allain,Moncton Aigles Bleu,34:52
Katie Gautreau,UPEI Panthers,35:19
Ashley Brady,St. Mary's Huskies,35:21
Maggie Graves,Acadia,35:39
Julia Wilkie,St. Mary's Huskies,35:44
Lucy Power,UPEI Panthers,36:11
Jillian Hope,Acadia,37:28
Sarah Irwin,UPEI Panthers,37:28
Raeden Black,St. Mary's Huskies,38:09
Alexandra Roussel,Moncton Aigles Bleu,42:50
Veronique Girouard,Moncton Aigles Bleu,44:38
