name,time,team
Angus Rawling,00:31:43.55,St. F X
Alex Neuffer,00:31:58.99,St. F X
Cal Dewolfe,00:32:03.95,Dalhousie Tigers
Andrew Peverill,00:32:14.90,St. Mary's Huskies
Lee Wesselius,00:32:42.07,UPEI Panthers
Paul MacLellan,00:32:57.12,St. F X
Graeme Wach,00:33:11.90,Dalhousie Tigers
Will Russell,00:33:24.88,Dalhousie Tigers
Angus MacIntosh,00:33:27.56,Dalhousie Tigers
James R Cromack,00:33:33.02,Dalhousie Tigers
Addison Derhak,00:33:50.80,St. F X
Michael Colford,00:34:00.61,UNB Reds
Callum Drever,00:34:19.55,Dalhousie Tigers
Bryan Thomas,00:34:21.75,Moncton Aigles Bleu
Mike Rogers,00:34:22.43,Dalhousie Tigers
Jonathan Peverill,00:34:58.91,St. Mary's Huskies
Jeremy Thompson,00:35:04.95,UPEI Panthers
Ian Verschoor,00:35:08.02,UNB Reds
Nick Snow,00:35:14.19,Memorial Sea-Hawks
Alec Brown,00:35:18.06,UPEI Panthers
Ryan Merrett,00:35:22.46,UPEI Panthers
Isaac Cull,00:35:22.72,UNB Reds
Christopher Galley,00:35:27.54,Memorial Sea-Hawks
Edward MacDonald,00:35:32.24,St. F X
Owen Bachelor,00:35:40.79,St. Mary's Huskies
Trevor Morrison,00:35:48.96,UNB Reds
Seamus Boyd-Porter,00:35:54.58,Memorial Sea-Hawks
Ben Tremblay,00:35:57.89,UNB Reds
Pat Marlow,00:36:09.35,St. F X
Tyler Cole,00:36:14.43,Memorial Sea-Hawks
Ryan Fraccaro,00:36:17.15,St. Mary's Huskies
Nassim Bousmaha,00:36:18.50,Moncton Aigles Bleu
Dawson Nancekievil,00:36:19.09,UNB Reds
Mitch Spragg,00:36:28.54,UNB Reds
Jonah Shankel,00:36:42.19,St. F X
Jacopo Fragasso,00:37:02.61,Memorial Sea-Hawks
Ian MacDonald,00:37:34.05,St. Mary's Huskies
Peter McQuade,00:38:02.51,UPEI Panthers
Brandon Higgenbotham,00:38:17.84,UPEI Panthers
Ezeard Jacob,00:38:24.88,UPEI Panthers
Christian Haché,00:39:44.92,Moncton Aigles Bleu
Samuel Gerber,00:39:53.01,Moncton Aigles Bleu
Nathan Wilson,00:40:40.60,Memorial Sea-Hawks
Alexandre Leclair,00:41:43.74,Moncton Aigles Bleu
François Poirier,00:42:04.91,Moncton Aigles Bleu
