name,team,time
Jared Howse,UNB Reds,24:50
Silas Conlin-Morse,UNB Reds,24:58
Brett King,St. F X,24:59
Luke MacDonald,St. F X,25:07
William Boyle,UNB Reds,25:09
Liam Patterson,St. F X,25:16
Alex Rogers,Dalhousie Tigers,25:18
Steph Snyman,UNB Reds,25:19
Luc Doucette,UPEI Panthers,25:24
Liam McCullagh,St. F X,25:31
Ben Mundle,Dalhousie Tigers,25:36
Joel Gallant,UPEI Panthers,25:37
Mathew Lawton,St. F X,25:38
Liam Palmer,UNB Reds,25:39
Griffin Gamble,St. F X,25:42
Caden Jones,UNB Reds,25:52
Lukas Rudaitis,Dalhousie Tigers,26:02
Isaac MacLean,Dalhousie Tigers,26:07
Grayson Butler,Dalhousie Tigers,26:08
Nate Phillips,UNB Reds,26:31
Jack Roberts,UPEI Panthers,26:35
Vincent Dupont,Memorial Sea-Hawks,26:47
Jack Langille,Dalhousie Tigers,26:49
Eli Ford,St. Mary's Huskies,26:54
Conlan MacKenzie,St. F X,27:07
James Power,Memorial Sea-Hawks,27:11
Pascal LeBlanc,Moncton Aigles Bleu,27:12
Brady Kyle,St. Mary's Huskies,27:14
Julien Thibodeau,Moncton Aigles Bleu,27:22
Zachary Kennedy,St. Mary's Huskies,27:35
Markus Spingle,Memorial Sea-Hawks,27:39
Zack Rogers,St. Mary's Huskies,27:43
Cian Kelly,St. Mary's Huskies,27:46
Amine El Jaljal,Moncton Aigles Bleu,28:05
Jacob Dalton,UPEI Panthers,28:08
Thomas Avery,Memorial Sea-Hawks,28:23
Greysen Tremble,St. Mary's Huskies,28:23
Mathew Young,UPEI Panthers,28:40
Riley Webber,UPEI Panthers,28:50
Luca Rotondi,Memorial Sea-Hawks,29:40
Peter Gill,Memorial Sea-Hawks,29:42
Tristan Lepage,Moncton Aigles Bleu,29:56
Ben Avery,Memorial Sea-Hawks,30:13
Pierre Faivre,Moncton Aigles Bleu,30:45
Campbell Brown,UPEI Panthers,30:48
Justin Hébert,Moncton Aigles Bleu,31:39
Cole Miller,St. Mary's Huskies,32:19
