name,team,time
Constance Nankivell,Trinity Western Spartans,28:38.929
Lauren McNeil,UBCO Heat,29:16.640
Holly MacGillivray,UBC Thunderbirds,29:55.711
Kaitlyn Harrison,Saskatchewan Huskies,30:00.468
Erin Owens,Victoria Vikes,30:09.820
Marisha Thompson,Victoria Vikes,30:27.749
Kristen Smith,UBCO Heat,30:28.030
Rachel Mortimer,UBC Thunderbirds,30:32.273
Elise Coates,Victoria Vikes,30:38.554
Jenica Swartz,Saskatchewan Huskies,30:48.349
Amelia Pfohl,UBC Thunderbirds,31:06.890
Colette Reimer,Victoria Vikes,31:12.468
Delaney Chan,Victoria Vikes,31:15.303
Abby Ylipahkala,UBC Thunderbirds,31:21.702
Elissa Frielink,Victoria Vikes,31:26.411
Jennifer Erickson,UBC Thunderbirds,31:29.834
Elysse Fleming,UBC Thunderbirds,31:33.747
Natalie Boston,Alberta Pandas,31:46.076
Mackenzie Campbell,UBC Thunderbirds,31:51.068
Brooke Lawlor,UBCO Heat,32:00.865
Lys Milne,UBCO Heat,32:03.349
Katelyn Cotterell,UBC Thunderbirds,32:05.598
Sophie Hamilton,UBCO Heat,32:06.654
Sophie Jensen,Calgary Dinos,32:10.896
Sarah MacGillivray,UBC Thunderbirds,32:15.864
Naomi Reisdorf,Trinity Western Spartans,32:16.618
Hailey Abbott,Victoria Vikes,32:17.387
Olivia Hopkins,Alberta Pandas,32:20.710
Ella Wigmore,UBCO Heat,32:22.194
Amaia Ervin-Arambarri,Calgary Dinos,32:23.810
Lena Klassen,Manitoba Bisons,32:30.912
Mackenzie Cumming,Victoria Vikes,32:37.145
Rachel McDonald,UBC Thunderbirds,32:50.553
Sofie Ohrling,Victoria Vikes,32:52.895
Angela Kroeker,Manitoba Bisons,33:01.993
Jaira Cross Child,Saskatchewan Huskies,33:03.161
Rayne Butler-Siemens,Saskatchewan Huskies,33:05.552
Madelyn Kaban,UBCO Heat,33:06.138
Sarah Novakowski,Saskatchewan Huskies,33:13.591
Brooklyn Roney,Saskatchewan Huskies,33:16.145
Chloe Turner,Calgary Dinos,33:19.918
Ella Heinrich,Alberta Pandas,33:24.231
Csenia Irvin,Calgary Dinos,33:33.933
Jamie Gladdish,Alberta Pandas,33:42.606
Morgan Tiede,Saskatchewan Huskies,33:55.261
Samara Cockburn,Victoria Vikes,34:00.910
Natalie Selvage,Calgary Dinos,34:10.874
Lily Gentile,Calgary Dinos,34:14.950
Allison Novecosky,Saskatchewan Huskies,34:25.450
Zoe Unger,UBC Thunderbirds,34:29.714
Harper Lebell,Regina Cougars,34:33.863
Libby Dunn,Alberta Pandas,34:53.176
Alison Gartner,Calgary Dinos,35:14.362
Vera Gauvin,Regina Cougars,36:04.706
Catherine Roper,Trinity Western Spartans,37:58.892
