name,time,team
Ron MacLean,25:33.950,Alberta Golden Bears
Yemane Mulugeta,25:37.994,Trinity Western Spartans
Jaiveer Tiwana,25:42.200,UBC Thunderbirds
Jonathan Podbielski,25:57.514,Regina Cougars
Daniel Damian,26:02.544,Victoria Vikes
Justin Kiplagat,26:04.841,Trinity Western Spartans
Will Cebuliak,26:06.200,Alberta Golden Bears
Maximilien Filion,26:11.919,UBC Thunderbirds
Sacha Schimmelpenninck Van Der Oye,26:12.856,UBC Thunderbirds
Ian Teichler,26:14.473,Regina Cougars
Jacob Webster,26:14.731,Victoria Vikes
Alexander Webster,26:21.222,Saskatchewan Huskies
Quintan Fast,26:22.417,Saskatchewan Huskies
Max Cook,26:25.746,Calgary Dinos
Anthony Antaya,26:29.355,Saskatchewan Huskies
David Mutai,26:34.278,Trinity Western Spartans
Dylan Uhrich,26:39.458,UBC Thunderbirds
Kaiden Deck,26:42.246,Saskatchewan Huskies
Owen Lloyd,26:42.855,UBCO Heat
Jack Boden,26:48.339,Victoria Vikes
Hayes McMillan,26:53.051,Manitoba Bisons
Brett MacLean,26:53.051,Regina Cougars
Hayden Woodrow,26:54.245,Victoria Vikes
Marcus Ganz,26:57.621,Victoria Vikes
Jason Ushko,26:58.934,Calgary Dinos
Jacob White,26:59.661,Saskatchewan Huskies
Jonah Brost,26:59.730,UBC Thunderbirds
Justin Kroeker,27:03.105,Manitoba Bisons
Ian McAllister,27:08.216,Victoria Vikes
Ethan Meyer,27:09.198,Calgary Dinos
Edward Healy,27:10.206,Calgary Dinos
Benjamin Seshadri,27:12.387,Victoria Vikes
Daniel Toneguzzi,27:14.919,Trinity Western Spartans
Adonias Downes,27:18.034,Alberta Golden Bears
Isaac Baker,27:21.433,UBCO Heat
Nathanial Dosman,27:21.832,Alberta Golden Bears
Braden Foley,27:23.401,Calgary Dinos
Elijah Headley,27:27.269,Trinity Western Spartans
Calvin Reimer,27:29.471,Manitoba Bisons
Jayvin Cross Child,27:33.057,Saskatchewan Huskies
Liam Dwyer,27:33.925,UBC Thunderbirds
Calvin Brain,27:33.949,UBC Thunderbirds
Adam Stang,27:40.604,Alberta Golden Bears
Malcolm Reid,27:41.167,Trinity Western Spartans
Cassian Murray-White,27:43.276,Alberta Golden Bears
Rowen Suchoski,27:45.034,Victoria Vikes
Kinley Cross Child,27:47.308,Saskatchewan Huskies
Sam Lamont,27:47.739,Manitoba Bisons
Ben House,27:48.667,Saskatchewan Huskies
Kyle Porter,27:49.633,UBCO Heat
Chris Crowe,27:51.807,UBCO Heat
Sam Prezio,27:52.534,Calgary Dinos
Joshua Heuver,27:56.894,Alberta Golden Bears
Oscar Grainger,28:01.721,Victoria Vikes
Jacob Klassen,28:04.744,Alberta Golden Bears
Mateo Aldana,28:05.729,UBC Thunderbirds
Ethan Randall,28:07.628,Alberta Golden Bears
Carson Kroeker,28:09.153,Manitoba Bisons
Aidan Small,28:09.995,UBCO Heat
James De Jager,28:13.159,Calgary Dinos
Curtis Glanville,28:14.542,Saskatchewan Huskies
David Waller,28:14.565,Victoria Vikes
Morgan Kilgour,28:18.034,Regina Cougars
Ben Higham,28:18.409,Alberta Golden Bears
Joel Worman,28:24.104,UBCO Heat
Brendan OBrien,28:26.800,Trinity Western Spartans
Logan Kaban,28:32.168,Saskatchewan Huskies
Henry Sharp,28:40.394,Regina Cougars
Andrew Gunnink,28:41.144,Trinity Western Spartans
Jonah Leppelmann,28:42.198,Manitoba Bisons
Thomas Williams,28:49.112,Alberta Golden Bears
Spencer Hardy,28:50.705,UBC Thunderbirds
Leif Pougnet,28:54.714,Alberta Golden Bears
Rian Wilson,28:57.525,UBC Thunderbirds
Michael Schriemer,29:06.643,UBC Thunderbirds
Alejandro Civetta,29:10.041,Manitoba Bisons
Carson Young,29:13.418,Alberta Golden Bears
Joe Green,29:13.604,Saskatchewan Huskies
Paul Van Raamsdonk,29:25.251,UBC Thunderbirds
Angel Tenorio,29:29.518,Saskatchewan Huskies
Kai Martland,29:34.557,UBC Thunderbirds
Daniel Gutierez,29:37.018,Alberta Golden Bears
Eric Dorey,30:02.071,Regina Cougars
Kaelen Kolb,30:30.642,Regina Cougars
Daniel Eiswerth,30:56.962,Regina Cougars
