name,time,team
Carise Thompson,22:42.2,Guelph Gryphons
Julie-Anne Staehli,22:50.3,Queen's Gaels
Katelyn Ayers,22:55.4,Guelph Gryphons
Katrina Allison,22:57.1,Guelph Gryphons
Sarah Inglis,22:58.3,Trinity Western Spartans
Claire Sumner,23:01.5,Queen's Gaels
Alison Jackson,23:04.6,Trinity Western Spartans
Emma Cook-Clarke,23:10.0,Calgary Dinos
Amanda Truelove,23:12.7,Western Mustangs
Fiona Benson,23:16.8,Trinity Western Spartans
Gabriela Stafford,23:30.4,Toronto Varsity Blues
Heather Petrick,23:41.4,Guelph Gryphons
Vanessa Trofimenkoff,23:49.1,MacEwan Griffins
Madeline Yungblut,23:53.5,Guelph Gryphons
Rebekah Sass,23:57.4,Manitoba Bisons
Marqueritte Plante-Dube,24:00.5,Laval Rouge et Or
Regan Yee,24:03.4,Trinity Western Spartans
Jennifer Dowling-Medley,24:03.9,Guelph Gryphons
Danielle Thiel,24:06.0,Alberta Pandas
Frederique Latraverse,24:06.8,Laval Rouge et Or
Jullien Flynn,24:12.8,McGill Martlets
Stefanie Smith,24:13.8,Windsor Lancers
Sarah Bergeron-Larouche,24:14.3,Université du Québec à Trois-Rivières Les Patriote
Melissa Caruso,24:15.3,Western Mustangs
Stephanie Rancell,24:16.0,Western Mustangs
Ruth Burrowes,24:17.3,Ottawa Gee-Gees
Katie Phillips,24:17.9,Ottawa Gee-Gees
Donna Vakalis,24:18.8,Toronto Varsity Blues
Sarah Macarthur,24:21.8,Calgary Dinos
Shauna McInnis,24:25.3,Victoria Vikes
Emma Bibault,24:27.6,Victoria Vikes
Chloe Hegland,24:30.2,Victoria Vikes
Emily Clarke,24:31.3,Dalhousie Tigers
Michelle Kennedy,24:32.0,Laurentian Voyageurs
Avery Westberg,24:34.0,Regina Cougars
Rachel Francois,24:37.7,Victoria Vikes
Madeleine Kelly,24:39.3,Toronto Varsity Blues
Melanie Myrand,24:39.6,McGill Martlets
Lianne Girard,24:39.7,Queen's Gaels
