name,time,team
Aaron Hendrikx,30:18.1,Guelph Gryphons
Kevin Tree,30:24.1,Lakehead Thunderwolves
Paul Janikowski,30:24.4,Windsor Lancers
Olivier Collin,30:27.7,Victoria Vikes
Ryan Cassidy,30:30.3,Victoria Vikes
Erik Widing,30:33.6,Saskatchewan Huskies
Matt McNeil,30:39.0,Dalhousie Tigers
Blair Morgan,30:42.0,McMaster Marauders
Forrest Simpson,30:45.7,Victoria Vikes
Corey Bellemore,30:55.9,Windsor Lancers
Shoayb Bascal,31:02.2,Victoria Vikes
Connor Darlington,31:02.4,McMaster Marauders
Emmanuel Boisvert,31:04.7,Laval Rouge et Or
Tristan Woodfine,31:05.8,Guelph Gryphons
Taylor Forbes,31:06.7,McMaster Marauders
Scott Donald,31:08.5,St. F X
Declan White,31:12.5,Trinity Western Spartans
Alexandre Ricard,31:18.6,Laval Rouge et Or
Joel De Schiffart,31:19.0,Trinity Western Spartans
Connor Black,31:21.5,Guelph Gryphons
Christian Gravel,31:22.9,Guelph Gryphons
Jeff Archer,31:24.2,Queen's Gaels
Jeremy Briand,31:24.9,McGill Redbirds
Russell Pennock,31:31.2,Calgary Dinos
Nicolas Morin,31:31.5,Laval Rouge et Or
Benjamin Raymond,31:33.2,Laval Rouge et Or
Abduselam Yussuf,31:33.5,Manitoba Bisons
Stefan Daniel,31:34.1,Calgary Dinos
Shawn Master,31:34.3,Windsor Lancers
Brayden Seneca,31:34.8,Guelph Gryphons
Alex Wilkie,31:36.5,Queen's Gaels
Joe Kagumba,31:36.7,Windsor Lancers
Cal Dewolfe,31:37.4,St. F X
Jean-Daniel Labranche,31:38.6,Laval Rouge et Or
Sacha Smart,31:39.2,Toronto Varsity Blues
Roman Justinen,31:40.3,Calgary Dinos
Caleb De Jong,31:41.3,Trinity Western Spartans
Christopher Balestrini,31:43.3,Western Mustangs
Alex Cyr,31:43.6,St. F X
Francois Jarry,31:45.3,McGill Redbirds
Eric Wynands,31:47.6,Queen's Gaels
Austen Forbes,31:48.1,McMaster Marauders
Ben Weir,31:49.8,Victoria Vikes
Benjamin Carson,31:50.5,Western Mustangs
Adam Cornwall,31:52.2,Wilfrid Laurier Golden Hawks
Adam Richardson,31:52.7,Waterloo Warriors
Jack Sheffar,31:54.8,Western Mustangs
Tmothy Miller,31:55.8,Manitoba Bisons
Craig Klomp,31:57.2,Toronto Varsity Blues
Luke Charbonneau,31:57.5,McMaster Marauders
Santiago Bessai,31:58.4,McGill Redbirds
Dany Racine,32:00.0,Laval Rouge et Or
Kieran McDonald,32:01.0,Alberta Golden Bears
Alex Ullman,32:02.4,Windsor Lancers
Alex Berhe,32:02.7,Ottawa Gee-Gees
William Madsen,32:04.2,Alberta Golden Bears
Cody Therrien,32:04.5,Victoria Vikes
Lee Wesselius,32:05.5,St. F X
Riley Johnston,32:06.6,St. F X
Dominique Aulagnon,32:07.0,Lakehead Thunderwolves
Benjamin Workman,32:08.3,Guelph Gryphons
Simon Egzaw,32:10.4,Toronto Varsity Blues
Blair Johnston,32:11.6,Trinity Western Spartans
Nick Colyn,32:12.6,Trinity Western Spartans
Vincent Hoa Mai,32:12.7,Laval Rouge et Or
Derek Van Schepen,32:13.2,McMaster Marauders
Ryan Grieco,32:14.0,Calgary Dinos
Mark Schmidt,32:16.4,Queen's Gaels
Benjamin Forestell,32:21.3,McGill Redbirds
Gabriel Ghiglione,32:21.5,McMaster Marauders
Matthew Hope,32:23.7,Alberta Golden Bears
Daniel Heschuk,32:24.3,Manitoba Bisons
Dave Cashin,32:27.0,Queen's Gaels
Robert Lawand,32:29.0,Toronto Varsity Blues
Michael Pesce,32:30.3,Windsor Lancers
Marc-Andr� Raiche,32:33.2,Sherbrooke Vert & Or
Olivier Ouellette,32:35.4,Sherbrooke Vert & Or
Trevor Zimak,32:37.7,Lakehead Thunderwolves
Matt Sheeler,32:42.3,Western Mustangs
Mason Quarrell,32:43.5,Lakehead Thunderwolves
Joey Stel,32:43.5,Queen's Gaels
Josh Dyck,32:44.2,Manitoba Bisons
Tyler White,32:44.4,Lakehead Thunderwolves
Jake Wing,32:44.7,Dalhousie Tigers
Cl�ment Hely,32:45.2,Montréal Carabins
Nick Wood,32:46.8,Dalhousie Tigers
Levi Neufeld,32:47.6,Trinity Western Spartans
Patrique Bulloch,32:48.1,Manitoba Bisons
Charles Khazoom,32:48.2,Sherbrooke Vert & Or
Phil Parrot-Migas,32:49.5,Western Mustangs
Andrew Gordon,32:50.6,Guelph Gryphons
Joshua Fowler,32:52.3,Montréal Carabins
Jordan Collison,32:55.6,Windsor Lancers
Daniel Kelly,32:57.0,McGill Redbirds
Yousuf Lahaye,33:00.4,Toronto Varsity Blues
Angus Rawling,33:00.8,St. F X
Shane Roberts,33:00.9,Western Mustangs
Adam Marshall,33:04.6,Trinity Western Spartans
Gavin Shields,33:05.1,Lakehead Thunderwolves
Joe Sheridan,33:07.2,Wilfrid Laurier Golden Hawks
Elliot De Lange,33:07.3,Wilfrid Laurier Golden Hawks
Brendan Gemmell,33:08.9,Dalhousie Tigers
Mark Lawley,33:18.1,Alberta Golden Bears
Marc Turmel,33:19.4,Regina Cougars
Francis Dumoulin,33:23.5,Concordia Stingers
Vincent Parent-Pichette,33:25.0,McGill Redbirds
Matthew Noseworthy,33:27.9,Victoria Vikes
Matt Johnson,33:35.4,Regina Cougars
J�r�mie Pellerin,33:35.6,Moncton Aigles Bleu
Adrian Christ,33:36.4,Alberta Golden Bears
Connor Boyd,33:37.7,Manitoba Bisons
Royden Radowits,33:40.0,Alberta Golden Bears
Evan Yarmuch,33:45.1,Calgary Dinos
Hunter Andrin,33:45.8,Western Mustangs
Kenny Groop,33:46.1,Lakehead Thunderwolves
Jesse Burrows,33:46.8,Manitoba Bisons
Marc-Antoine Cr�peau,33:48.1,Sherbrooke Vert & Or
Graeme Wach,33:51.2,Dalhousie Tigers
Alex James,33:51.8,Calgary Dinos
Sean Hooper,33:54.1,Regina Cougars
Nick Favero,33:58.0,St. F X
Angus Macintosh,33:59.5,Dalhousie Tigers
Charles No�l,34:03.0,Université du Québec à Montréal Les Citadins
Jason Arguin,34:07.4,Sherbrooke Vert & Or
Julien Lachance,34:11.9,Sherbrooke Vert & Or
Rahman Ismail,34:18.8,Calgary Dinos
Louis Bastenier-Boutin,34:20.0,Montréal Carabins
Ben Devito,34:24.2,Toronto Varsity Blues
Sam Kinahan,34:36.4,Toronto Varsity Blues
Sulaiman Hakimi,34:48.9,Montréal Carabins
Reid Balezantis,34:49.0,Saskatchewan Huskies
Thomas Windisch,34:52.7,Sherbrooke Vert & Or
Tony Kiprop,35:06.2,Thompson Rivers Wolfpack
Jacopo Panerati,35:11.7,Montréal Carabins
Dean Licul,35:12.1,Wilfrid Laurier Golden Hawks
Taryn Heidecker,35:19.6,Saskatchewan Huskies
Brennen Smith,35:22.7,Thompson Rivers Wolfpack
Michael Charanduk,35:30.7,Wilfrid Laurier Golden Hawks
Christophe Martin,35:35.1,Montréal Carabins
Adam Epp,35:36.2,MacEwan Griffins
Conlan Sprickerhoff,35:39.3,Thompson Rivers Wolfpack
Bryan Thomas,35:42.6,Moncton Aigles Bleu
Adam Lehners,35:43.2,MacEwan Griffins
