name,time,team
Savanna Jordan,22:39.00,Dalhousie Tigers
Carol-Ann MacDonald,23:25.00,Moncton Aigles Bleu
Shaylynn Tell,23:51.00,Dalhousie Tigers
Madalyn Higgins,23:59.00,Acadia
Katie Robinson,24:13.00,Acadia
Kamylle Frenette,24:22.00,Moncton Aigles Bleu
Chrissy Smith,24:22.00,Acadia
Zoe Johnston,24:23.00,St. F X
Rachel MacDougall,24:24.00,St. F X
Paige Chisholm,24:45.00,St. F X
Ashley Robson,25:00.00,St. F X
Kate Scallion,25:09.00,Dalhousie Tigers
Sarah Mason,25:13.00,Dalhousie Tigers
Ellen Taggart,25:38.00,Acadia
Jessie Armstrong,26:18.00,Acadia
Mackenzie Seagram,26:21.00,Acadia
Brooklyn Rawlyk,26:22.00,Dalhousie Tigers
Laura Bonga,26:35.00,Acadia
Charlotte Mawer,26:35.00,St. Mary's Huskies
Emma Moore,26:47.00,UPEI Panthers
Alicia Henry,26:48.00,Acadia
Jane Hergett,26:53.00,St. F X
Rachel Watts,26:54.00,Acadia
Josianne Guay,26:55.00,Moncton Aigles Bleu
Paige Roszak,27:15.00,St. Mary's Huskies
Jennah Lay,27:29.00,Acadia
Eilidh MacDonald,27:40.00,St. F X
Kelsey Crouse,27:46.00,Acadia
Michelle MacDonald,27:47.00,Acadia
Maggie Oliver,28:00.00,St. F X
Abygail Pelletier,28:24.00,Moncton Aigles Bleu
December Sampson,28:33.00,Moncton Aigles Bleu
Abby McDonald,28:38.00,Dalhousie Tigers
Molly Miller,28:57.00,Dalhousie Tigers
Myriam Cyr,29:02.00,Moncton Aigles Bleu
Emma Gillespie,29:18.00,Acadia
Maddy Neuffer,30:24.00,St. F X
Sarah Polak,30:53.00,St. Mary's Huskies
Émilie Guthrie,31:32.00,Moncton Aigles Bleu
Myriam Cormier,32:33.00,Moncton Aigles Bleu
Amy Lynn Grant,33:37.00,Moncton Aigles Bleu
Pascale Richard,38:06.00,Moncton Aigles Bleu
