name,time,team
Angus Rawling,25:35.00,St. F X
Lee Wesselius,25:55.00,UPEI Panthers
Cal Dewolfe,26:05.00,Dalhousie Tigers
Graeme Wach,26:16.00,Dalhousie Tigers
Andrew Peverill,26:31.00,St. Mary's Huskies
Will Russell,27:20.00,Dalhousie Tigers
Paul MacLellan,27:20.00,St. F X
Isaac Cull,27:32.00,UNB Reds
Addison Derhak,27:44.00,St. F X
Hudson Grimshaw-Surette,27:55.00,Dalhousie Tigers
Jonathan Peverill,28:13.00,St. Mary's Huskies
Bryan Thomas,28:24.00,Moncton Aigles Bleu
Colin Long,28:31.00,Dalhousie Tigers
Ryan Merrett,28:33.00,UPEI Panthers
Edward MacDonald,28:35.00,St. F X
Jeremy Thompson,28:44.00,UPEI Panthers
Jonah Shankel,28:59.00,St. F X
Dan Maguire,29:00.00,Dalhousie Tigers
Pat Marlow,29:00.00,St. F X
Peter Corbin,29:07.00,St. F X
Ryan Fuller,29:11.00,St. F X
Ryan Fraccaro,29:19.00,St. Mary's Huskies
Blair Miller,29:22.00,Dalhousie Tigers
Mitch Spragg,29:23.00,UNB Reds
Brandon Higgenbotham,29:25.00,UPEI Panthers
Shayne Dobson,29:34.00,Moncton Aigles Bleu
Aiden Canning,29:46.00,St. F X
Alec Brown,29:50.00,UNB Reds
Quinn Alexander,29:50.00,St. F X
Peter McQuaid,29:51.00,UPEI Panthers
Ian MacDonald,30:05.00,St. Mary's Huskies
Stephen Goodyear,30:09.00,St. Mary's Huskies
Jacob Ezeard,30:24.00,UPEI Panthers
Mason Maxwell,30:36.00,Dalhousie Tigers
Alec Freeman,30:40.00,Dalhousie Tigers
Chris Lee,31:06.00,St. Mary's Huskies
Darcy Norton,31:16.00,UPEI Panthers
Aaron MacDonald,31:16.00,St. Mary's Huskies
Troy Dobson,31:17.00,UNB Reds
Christian Haché,31:27.00,Moncton Aigles Bleu
Samuel Gerber,32:20.00,Moncton Aigles Bleu
Alex Steeves,32:46.00,St. Mary's Huskies
François Poirier,33:51.00,Moncton Aigles Bleu
Stephen Seviour,37:53.00,UPEI Panthers
Lucas Clow,43:18.75,UPEI Panthers
