name,time,team
Julia Agostinelli,21:11.5,Toronto Varsity Blues
Paige Breedon,21:28.7,Waterloo Warriors
Hillary Clark,21:37.4,Waterloo Warriors
Laura Yantha,21:56.1,Guelph Gryphons
Michelle Gray,21:57.6,Guelph Gryphons
Sarah Luedke,22:13.1,Toronto Varsity Blues
Maeve Pestonji,22:18.4,Guelph Gryphons
Kayla Overholt,22:21.0,McMaster Marauders
Olivia Vanleeuwen,22:23.5,Waterloo Warriors
Alex McDougall,22:29.6,Guelph Gryphons
Chloe Vincent,22:30.4,Waterloo Warriors
Liana De Medeiros,22:30.7,Toronto Varsity Blues
Sophie Levasseur,22:37.0,Toronto Varsity Blues
Leah Stapelton,22:38.7,Guelph Gryphons
Kristina Etezadi,22:41.6,Guelph Gryphons
Anna May,22:43.8,Guelph Gryphons
Samantha Macdonald,22:46.1,Toronto Varsity Blues
Lauren Macsai,22:47.7,Brock Badgers
Jocelyn Giannotti,22:49.0,Guelph Gryphons
Brooke Spina,22:50.4,Guelph Gryphons
Lizzy Laurie,22:52.8,Unattached
Jardine Lam-Colling,22:55.4,Guelph Gryphons
Angela Mozzon,23:02.5,Laurentian Voyageurs
Beatrix Maddocks,23:06.5,Guelph Gryphons
Kaylee White,23:09.2,McMaster Marauders
Marie Mazzoli,23:10.6,Wilfrid Laurier Golden Hawks
Laura Kuszaj,23:11.6,Guelph Gryphons
Mikayla Battams,23:11.8,McMaster Marauders
Nicole Hartnell,23:11.9,Guelph Gryphons
Nicole Beach,23:12.9,Wilfrid Laurier Golden Hawks
Cori Macsai,23:13.1,Brock Badgers
Joselyn Rivera-Marcotte,23:14.5,McMaster Marauders
Kaitlin Campagna,23:19.5,McMaster Marauders
Avery Murrell,23:34.9,Toronto Varsity Blues
Kayla Sanderson-Kirby,23:35.7,Guelph Gryphons
Elliot Symon,23:38.3,Waterloo Warriors
Chloe DiLalla,23:41.0,McMaster Marauders
Haley Davis,23:42.2,Guelph Gryphons
Sabrina Arena,23:43.8,Wilfrid Laurier Golden Hawks
Joud Dabous,23:45.3,Toronto Varsity Blues
Grace McCarthy,23:47.5,Guelph Gryphons
Kristen Mrozewski,23:48.6,Laurentian Voyageurs
Nicole Schindler,23:49.8,Waterloo Warriors
Riya Balakrishnan,23:53.7,York Lions
Sarah Booth,23:54.0,Laurentian Voyageurs
Megan Crocker,24:02.7,Unattached
Georgia Lepage,24:09.5,Laurentian Voyageurs
Adeline Steiger,24:17.3,Brock Badgers
Claire Nolet,24:22.2,Toronto Varsity Blues
Aidan Pattison,24:24.4,Toronto Varsity Blues
Mackenzie Gallagher,24:28.3,Guelph Gryphons
Hailee Masse,24:28.5,Brock Badgers
Piper Lafayette,24:30.9,Wilfrid Laurier Golden Hawks
Meghan Muldoon,24:32.6,TMU Bold
Blaise Gravelle,24:33.8,Nipissing Lakers
Emily Drenth,24:38.5,Nipissing Lakers
Belinda Guerra,24:41.1,Wilfrid Laurier Golden Hawks
Vanessa Giannou,24:41.3,McMaster Marauders
Abby Lanteigne,24:41.4,Laurentian Voyageurs
Maria Sanchez,24:43.5,McMaster Marauders
Marie Berube Boutin,24:46.7,Toronto Varsity Blues
Emily Sharik-Carreiro,24:48.1,Waterloo Warriors
Hannah Johnson,24:50.5,Waterloo Warriors
Laura Peters,24:54.8,York Lions
Charlotte Grenier,24:58.4,Laurentian Voyageurs
Ava Sparks,24:59.3,York Lions
Ava Snyder,25:00.7,Brock Badgers
Jolanta Clark,25:01.0,Brock Badgers
Mackenzie Green,25:03.6,Nipissing Lakers
Tegan Ceccanese,25:04.1,Wilfrid Laurier Golden Hawks
Emma Esau,25:20.1,McMaster Marauders
Malak Elghobashy,25:21.6,York Lions
Claire Vernon-Pope,25:27.0,Waterloo Warriors
Lena Eys,25:30.3,Toronto Varsity Blues
Iva Balcheva,25:37.8,York Lions
Maya Robinson,25:38.2,Wilfrid Laurier Golden Hawks
Kaitlyn Koyanagi,25:39.3,Toronto Varsity Blues
Mackenzie Morgan,25:41.0,Unattached
Chelsea Graham,25:52.0,Waterloo Warriors
Chanell Duffy,26:07.9,Nipissing Lakers
Kate Brock,26:09.5,TMU Bold
Julie Mak,26:13.8,Brock Badgers
Teresa Muggeridge,26:34.4,York Lions
Nicole Hoh,26:37.6,Toronto Varsity Blues
Abby MacMillan,26:59.9,Nipissing Lakers
Avery Cooper,27:00.3,Waterloo Warriors
Ariel Gibbons,27:06.9,Laurentian Voyageurs
Sydney Coolman,27:10.5,Brock Badgers
Alyssa Zinn,27:19.9,Wilfrid Laurier Golden Hawks
Jaime Schweyer,27:26.7,Nipissing Lakers
Emily Reimer,27:30.0,Brock Badgers
Chloe Poulter,27:47.8,Wilfrid Laurier Golden Hawks
Bay Jones,27:55.8,Laurentian Voyageurs
Maeve Blake,28:27.4,Laurentian Voyageurs
Holly Pedlow,28:57.2,TMU Bold
Grace Channell,29:05.5,Wilfrid Laurier Golden Hawks
Makayla Denommee,29:40.4,Nipissing Lakers
Hannah-Bella Gilmer,31:38.0,Brock Badgers
