name,time,team
Jude Wheeler-Dee,24:20.5,Queen's Gaels
Roman Mironov,24:27.7,Queen's Gaels
Jack Lehto,24:33.2,Guelph Gryphons
Max Davies,24:44.2,Guelph Gryphons
Alec Purnell,24:50.4,McMaster Marauders
Ben Fox,24:54.6,Western Mustangs
Christian Rachner,25:05.3,Guelph Gryphons
Tanner Hueglin,25:08.8,Queen's Gaels
Marcel Scheele,25:11.3,Western Mustangs
Will Cox,25:14.7,Queen's Gaels
Jacob Fitzpatrick,25:20.7,Windsor Lancers
Noah Costa,25:21.3,Windsor Lancers
Angus Skinner,25:21.8,Queen's Gaels
Owen Parkes,25:23.5,Western Mustangs
Samuel Patrick,25:26.1,McMaster Marauders
Ethan Loucks,25:26.7,Western Mustangs
Owen Danby,25:27.5,Queen's Gaels
Giancarlo Farruggia,25:28.5,McMaster Marauders
William Weist,25:28.9,McMaster Marauders
Adam Schmidt,25:29.0,Guelph Gryphons
Dylan Ferri,25:32.3,Guelph Gryphons
Satveer Gill,25:34.5,Western Mustangs
Ryan Davies,25:35.7,McMaster Marauders
Luke Mahwhinney,25:36.4,Windsor Lancers
Mark Royce,25:38.0,Western Mustangs
Charlie Mills,25:41.2,Guelph Gryphons
Rory McGarvey,25:51.9,Western Mustangs
Peter Neill,25:57.0,Queen's Gaels
Matthew Markson,26:00.3,McMaster Marauders
Tynan Webb,26:03.2,McMaster Marauders
Andreas Pardalis,26:07.0,Windsor Lancers
Jason Lowrie,26:12.5,McMaster Marauders
Miles Brackenbury,26:14.3,Queen's Gaels
Luke Feltham,26:16.9,Guelph Gryphons
Tristan Bouius,26:18.0,McMaster Marauders
Keon Wallingford,26:21.8,Laurentian Voyageurs
Jacques Tiessen,26:24.5,Waterloo Warriors
Kamran Brar,26:26.7,McMaster Marauders
Ethan Graves,26:34.2,Windsor Lancers
Joseph McIntyre,26:35.9,McMaster Marauders
Brayden DeGrace,26:37.9,Windsor Lancers
Ryan Skjarum,26:39.8,Wilfrid Laurier Golden Hawks
Willem De Gooyer,26:40.0,Guelph Gryphons
Brock McKenzie,26:40.6,Guelph Gryphons
Kyle Koyanagi,26:41.6,Western Mustangs
Noah Nagy,26:44.0,McMaster Marauders
Kade Campbell,26:45.6,Windsor Lancers
Christopher Hoftyzer,26:50.5,McMaster Marauders
Aaron Smith,26:52.5,Guelph Gryphons
Adam Huras,26:53.1,Waterloo Warriors
Isaac Iannarelli,26:55.9,Brock Badgers
Adam Pralat,26:58.9,Toronto Varsity Blues
Jacob Mclean,27:01.1,Toronto Varsity Blues
Cameron Dean,27:02.0,Waterloo Warriors
Brandon Radey,27:03.1,Laurentian Voyageurs
Jack Ormsby,27:03.7,McMaster Marauders
Max Fazecash,27:04.1,Windsor Lancers
Sho Adachi,27:05.2,Toronto Varsity Blues
Christian Ligtenberg,27:09.4,Brock Badgers
Xin Law-Gallagher,27:09.6,McMaster Marauders
Emile Zanuttini,27:11.1,Queen's Gaels
Justin Sanders,27:12.0,Western Mustangs
Oliver Tagalog,27:12.0,Toronto Varsity Blues
Jabez Siu,27:12.6,Toronto Varsity Blues
Simon Drolet,27:14.5,Wilfrid Laurier Golden Hawks
Alexander Megas,27:16.4,McMaster Marauders
Henrik Petersson,27:17.4,Waterloo Warriors
