name,time,team
Elisa Tripotin,22:06,Université du Québec à Montréal Les Citadins
Sara-Pier Paquet,22:10,Laval Rouge et Or
Janie Grand'Maison,22:36,Club d’athlétisme Corsaire-Chaparral
Sophie Courville,22:44,McGill Martlets
Laurence Gauthier,22:50,Sherbrooke Vert & Or
Sienna Matheson,22:54,McGill Martlets
Elana Camiré-Matveyenko,23:13,Sherbrooke Vert & Or
Gabrielle Foran,23:14,Vainqueurs Plus
Victoria Leblanc,23:18,Montréal Carabins
Amélie Simard,23:29,UQAC Inuk
Abene Glasgow,23:33,McGill Martlets
Viviane Azzaria,23:34,Laval Rouge et Or
Marie-Ange Hébert,23:45,Sherbrooke Vert & Or
Zoe Gardiner,23:48,McGill Martlets
Alice March,23:51,Laval Rouge et Or
Claire Brillon,23:52,McGill Martlets
Marie-Pier Bouffard,23:52,Club d’athlétisme Saint-Laurent Sélect
Louisiane Le Bail,23:56,Université du Québec à Montréal Les Citadins
Angèle-Émilie Bérubé,23:57,Sherbrooke Vert & Or
Romy Sinotte,24:14,Laval Rouge et Or
Sophia Rashid-Cocker,24:18,McGill Martlets
Marianne Bogus,24:18,UQAC Inuk
Véronique Ducharme,24:19,Sherbrooke Vert & Or
Arianne Simard,24:22,UQAC Inuk
Sandrine Marin,24:22,Sherbrooke Vert & Or
Charli Edge,24:25,McGill Martlets
Abigail McIntosh,24:25,McGill Martlets
Sabrina Lavigne,24:26,Laval Rouge et Or
Alyssa Roberge,24:31,RMC Saint-Jean
Ena Smailbegovic,24:33,McGill Martlets
Véronica Furno Puglia,24:33,Université du Québec à Montréal Les Citadins
Ann-Sophie Chalifoux,24:44,Laval Rouge et Or
Anaïs Côté-Morin,24:44,Sherbrooke Vert & Or
Eve Ouellet,24:48,Excel Athletika
Sofia Veilleux,24:48,McGill Martlets
Justine Champagne,24:59,Montréal Carabins
Elsa BenHamou,25:02,Sherbrooke Vert & Or
Klara Gal,25:04,Montréal Carabins
Meredith Boyer,25:09,Montréal Carabins
Emmanuelle Chaput,25:19,Sherbrooke Vert & Or
Éloise Dubé,25:28,Sherbrooke Vert & Or
Noemie Chenail,25:31,McGill Olympic Club
Morgane McKay,26:16,McGill Martlets
Lina Maria Sofia Mora,26:29,Concordia Stingers
Gabrielle Caron,26:33,UQAC Inuk
Emy-Jade Caron,26:35,Sherbrooke Vert & Or
Raphaelle Rivard,26:35,Sherbrooke Vert & Or
Frédérique Pérusse,26:48,UQAC Inuk
Noée Jean,26:50,UQAC Inuk
Justine Ratelle,26:54,Montréal Carabins
Dominique Gélinas,26:54,Université du Québec à Montréal Les Citadins
Judith Lefebvre,27:12,Montréal Carabins
Andréane Dupont,27:52,Université du Québec à Montréal Les Citadins
Claudine Secco-Langlois,27:58,Montréal Carabins
Gabrielle Senecal,28:02,Concordia Stingers
Josephine Wild,28:52,Montréal Carabins
Catherine Fortin,29:04,RMC Saint-Jean
Clémence Imbeault,29:35,RMC Saint-Jean
Romane Archambault,29:51,Montréal Carabins
Béatrice Germain,30:01,UQAC Inuk
Nada Chabibi,30:17,Montréal Carabins
Olivia Lucas,31:51,RMC Saint-Jean
