name,time,team
Nolan Turgeon,19:02,Sherbrooke Vert & Or
Vincent Troullier,19:09,Sherbrooke Vert & Or
Devin Chapple,19:12,McGill Redbirds
Thomas Laviolette,19:17,Montréal Carabins
Luca Messenger-Jones,19:21,McGill Redbirds
Félix Quirion,19:27,Sherbrooke Vert & Or
Samuel Hepworth,19:29,McGill Redbirds
David Girardin,19:30,Laval Rouge et Or
Pierre Pereira,19:32,Montréal Carabins
Mathis Richard,19:34,Sherbrooke Vert & Or
Charles Poulin,19:35,Laval Rouge et Or
Sean Adams,19:38,McGill Redbirds
Jerome Jacques,19:43,McGill Redbirds
Jack Stanley,19:43,McGill Redbirds
Alex Andy Manzi,19:49,Laval Rouge et Or
Noah Elrimawi-Fine,19:52,McGill Redbirds
Pier-Olivier Beaulieu,19:53,Laval Rouge et Or
Atsushi Satomura,19:53,Montréal Carabins
Frédérick Turgeon,19:55,Sherbrooke Vert & Or
Sacha Dernoncourt,19:57,McGill Redbirds
Maxim Curdy,20:02,Laval Rouge et Or
Émile Garon,20:06,Montréal Carabins
Félix Bédard,20:12,ETS Piranhas
Léo Bédard,20:13,Sherbrooke Vert & Or
Laurent Chounan,20:15,ETS Piranhas
Louis Bouin,20:15,Université du Québec à Montréal Les Citadins
Ricardo Izquierdo-Bernier,20:16,Université du Québec à Montréal Les Citadins
Nicolas Riopel,20:21,Montréal Carabins
Olivier Gervais,20:25,Laval Rouge et Or
Félix-Antoine Bédard,20:34,Université du Québec à Montréal Les Citadins
Ben Morales,20:34,McGill Redbirds
Émile Girouard-Laflamme,20:35,ETS Piranhas
Ben Gates,20:35,McGill Redbirds
Emile Mignault,20:37,McGill Redbirds
Antonin Marsolais,20:37,Sherbrooke Vert & Or
Grégoire Chevalier,20:38,Montréal Carabins
Lucas Graham,20:39,Concordia Stingers
Thomas Péladeau,20:43,Sherbrooke Vert & Or
Mathieu Giasson,20:50,Z 3D
Clement Hely,20:55,Unattached
Adrien Jean-Pierre,20:56,Montréal Carabins
Louis-Philippe Poulin,20:56,Montréal Carabins
Alistair Kiernan,20:57,McGill Redbirds
Basile Salomon,21:07,Z 3D
Thibault Gestin,21:08,ETS Piranhas
Paul Cayeux,21:10,Sherbrooke Vert & Or
Lucas Levenson,21:16,McGill Redbirds
Romain Kapps,21:18,UQAC Inuk
Liam Bronsema,21:18,RMC Saint-Jean
Julien Deschatelets,21:22,ETS Piranhas
Louis-Simon Guité,21:23,Montréal Carabins
Charles-Ugo Ouellette,21:26,Sherbrooke Vert & Or
Adrien Durand,21:29,Montréal Carabins
Henri Chaudoir,21:34,Montréal Carabins
Axel Piasecki,21:39,UQAC Inuk
Nathan Gars,21:41,Montréal Carabins
Victor Beck,21:42,Vainqueurs Plus
Aurelien Caille,21:46,McGill Olympic Club
Élie Mauger,21:46,Université du Québec à Montréal Les Citadins
Thomas Durbain,21:46,Montréal Carabins
Étienne Compans,21:48,Sherbrooke Vert & Or
Tanguy Guerry,21:59,ETS Piranhas
Omar Kabbaj,22:05,Élite Distance
Philip Nadeau,22:05,UQAC Inuk
Thierry Hébert,22:06,Montréal Carabins
Léopold Chec,22:08,UQAC Inuk
Tyler Stinson,22:09,Concordia Stingers
Alex Colsell,22:09,Montréal Carabins
Joseph Deslendes,22:28,UQAC Inuk
Emile Létourneau-Rancourt,22:30,Université du Québec à Montréal Les Citadins
William Bolduc,22:31,Unattached
Jacob Arsenault,22:35,ETS Piranhas
Daniel Racette,22:37,Concordia Stingers
Cyril Traineau,22:52,ETS Piranhas
Émile Pellerin,23:01,Montréal Carabins
Guillaume Gendron,23:08,Sherbrooke Vert & Or
Antoine Laurent,23:10,Montréal Carabins
Marc-Antoine Masse,23:16,UQAC Inuk
Guillaume Gagnon,23:34,UQAC Inuk
Thomas Hudon-Tremblay,23:44,RMC Saint-Jean
Jean-Michel Poulin,23:45,RMC Saint-Jean
Renaud Soucy,23:52,RMC Saint-Jean
Léo Bérubé,23:58,RMC Saint-Jean
Louis Pitois,24:15,Université du Québec à Montréal Les Citadins
Mathis Vallières,24:27,Sherbrooke Vert & Or
Titouan Martenot,24:44,UQAC Inuk
Thomas Lepage,25:04,Concordia Stingers
Jean-Christophe Alary-Forget,25:10,RMC Saint-Jean
Cyprien Marais,25:25,RMC Saint-Jean
Tristan Lapointe,25:29,RMC Saint-Jean
Petru Matvei,26:03,Concordia Stingers
Antoine Houdard,26:11,Z 3D
Anthony Martin,30:21,Montréal Carabins
