name,team,time
Colleen Wilson,Dalhousie Tigers,22:43.70
Laura Dickinson,ASEA Athlétisme Sud-Est / South-East Athletics,22:56.30
Sarah Myatt,Dalhousie Tigers,23:30.60
Jenna MacDonald,Dalhousie Tigers,23:39.30
Liz MacDonald,St. F X,23:52.40
Mary MacDonald,St. F X,24:00.40
Hannah Trites,Unattached,24:08.70
Shaylynn Tell,Dalhousie Tigers,24:22.50
Kamylle Frenette,Moncton Aigles Bleu,24:29.30
Michaela Walker,Dalhousie Tigers,24:33.90
Paige Chisholm,St. F X,24:41.70
Zoe Johnston,St. F X,24:45.40
Alicia Henry,Acadia,24:49.10
Hannah Cormier,Unattached,24:53.20
Olivia MacDonald,St. F X,24:55.40
Abby Llewellyn,Dalhousie Tigers,24:59.00
Heidi MacDonald,St. F X,25:02.90
Rachel MacDougall,St. F X,25:06.90
Cailie McGuire,UNB Reds,25:12.80
Hana Marmura,St. F X,25:18.80
Chrissy Smith,Acadia,25:23.70
Magalie Babineau,Moncton Aigles Bleu,25:24.30
Catherine Thompson,St. F X,25:36.30
Ashley Robson,St. F X,25:44.90
Beatrice Shilton,Unattached,25:45.60
Samantha Fader,St. Mary's Huskies,25:46.30
Margaux McLean,Acadia,25:49.30
Ellen Burnett,St. F X,25:50.50
Madalyn Higgins,Acadia,25:53.70
Emma Towers,UNB Reds,26:17.50
Mackenzie Seagram,Acadia,26:19.90
Emily Mackay,St. F X,26:20.50
Tanna Burke,YHZ Athletics,26:28.70
Rachel Watts,Acadia,26:29.60
Kate Scallion,Dalhousie Tigers,26:30.70
Paige Roszak,St. Mary's Huskies,26:34.50
Brooklyn Rawlyk,Unattached,26:47.90
Eileen Haskett,Acadia,26:51.50
Anna McCrea,Dalhousie Tigers,26:58.40
Rachel Bennett,UNB Reds,27:11.50
Jennah Lay,Acadia,27:15.30
Maddie Murphy,YHZ Athletics,27:18.60
Emily Lamb,Acadia,27:19.60
Laura Bonga,Acadia,27:27.10
Jenna Maclean,Acadia,27:28.80
Jana Giles,UNB Reds,27:29.40
Kali Caulier,HaliFast Athletics,27:38.10
Chelsey Hall,St. Thomas Tommies,27:43.60
Leila Zaki,St. Mary's Huskies,27:44.30
Meghan Vaughan,Acadia,27:45.10
Fanny Tournay,Moncton Aigles Bleu,27:56.30
Molly Miller,Unattached,28:10.60
Jessica Hinkka,St. Mary's Huskies,28:17.20
Sylvie Cormier,Unattached,28:17.60
Danielle Lauther,UNB Reds,28:19.10
Georgina Beeden,St. Mary's Huskies,28:26.50
Sandra Durand,Moncton Aigles Bleu,28:36.80
Emily Cowie,Unattached,28:46.30
Grace Weaver,UNB Reds,28:58.30
Marina Flaim,YHZ Athletics,29:43.60
Lindsay Gauvin,Moncton Aigles Bleu,29:56.50
Rebecca Doyle,UPEI Panthers,30:00.90
Émilie Guthrie,Moncton Aigles Bleu,30:41.70
Clarisse Nicolas,St. Thomas Tommies,31:14.80
Abigail Evans,UNB Reds,31:18.40
Amy Lynn Grant,Moncton Aigles Bleu,31:21.40
Vanessa Rowe,Moncton Aigles Bleu,31:59.20
Emma Moore,UPEI Panthers,32:16.30
Caroline Bujold,Moncton Aigles Bleu,32:33.90
Noelle Gouchie,St. Thomas Tommies,33:11.50
Marie-Christ Noël,Moncton Aigles Bleu,33:17.00
Daniell Schofield,Moncton Aigles Bleu,35:20.70
Pascale Richard,Moncton Aigles Bleu,35:56.40
Alexandra Hachey,St. Thomas Tommies,37:07.40
Jensen Elliot,St. Thomas Tommies,39:05.70
Victoria McQuaid,UPEI Panthers,39:48.50
