name,time,team,points
Jude Wheeler-Dee,24:32.9,Queen's Gaels,1
Max Davies,24:37.4,Guelph Gryphons,2
Jack Lehto,24:37.7,Guelph Gryphons,3
Roman Mironov,24:40.6,Queen's Gaels,4
Will Cox,24:49.9,Queen's Gaels,5
Alec Purnell,24:53.8,McMaster Marauders,6
Christian Rachner,24:57.3,Guelph Gryphons,7
Tanner Hueglin,25:05.2,Queen's Gaels,8
Jacob Fitzpatrick,25:12.4,Windsor Lancers,9
Ben Fox,25:12.8,Western Mustangs,10
Angus Skinner,25:13.7,Queen's Gaels,11
Samuel Patrick,25:18.4,McMaster Marauders,12
William Weist,25:22.0,McMaster Marauders,13
Leif Buxton,25:22.3,Lakehead Thunderwolves,14
Peter Neill,25:26.7,Queen's Gaels,15
Marcel Scheele,25:29.1,Western Mustangs,16
Rory McGarvey,25:30.4,Western Mustangs,17
Giancarlo Farruggia,25:30.5,McMaster Marauders,18
Charlie Mills,25:31.6,Guelph Gryphons,19
Adam Schmidt,25:34.0,Guelph Gryphons,20
Tynan Webb,25:37.6,McMaster Marauders,21
Owen Parkes,25:38.3,Western Mustangs,22
Matthew Markson,25:39.4,McMaster Marauders,23
Luke Mawhinney,25:39.6,Windsor Lancers,24
Jett Dobson,25:40.9,Lakehead Thunderwolves,25
Tom Boers,25:43.4,Western Mustangs,26
Jacques Tiessen,25:49.8,Waterloo Warriors,27
Ian Young,25:50.1,Wilfrid Laurier Golden Hawks,28
Owen Danby,25:51.8,Queen's Gaels,29
Noah Costa,25:54.9,Windsor Lancers,30
Mark Royce,25:57.9,Western Mustangs,31
Keon Wallingford,26:00.9,Laurentian Voyageurs,32
Ryan Davies,26:02.5,McMaster Marauders,33
Cameron Dean,26:06.1,Waterloo Warriors,34
Patrick Dean,26:06.3,Waterloo Warriors,35
Nicholas Lightwood,26:06.6,Lakehead Thunderwolves,36
Luke Feltham,26:07.9,Guelph Gryphons,37
Dylan Ferri,26:11.5,Guelph Gryphons,38
Ethan Loucks,26:18.1,Western Mustangs,39
Isaac Iannarelli,26:19.2,Brock Badgers,40
Adam Pralat,26:29.2,Toronto Varsity Blues,41
Christian Ligtenberg,26:30.4,Brock Badgers,42
Ryan Skjarum,26:31.1,Wilfrid Laurier Golden Hawks,43
Zach Sikka,26:36.3,Ottawa Gee-Gees,44
Max Fazecash,26:39.0,Windsor Lancers,45
Jabez Siu,26:39.6,Toronto Varsity Blues,46
Jonathan Lysack,26:50.5,Waterloo Warriors,47
Eric Mann,26:54.2,Lakehead Thunderwolves,48
Andreas Pardalis,26:55.6,Windsor Lancers,49
Brandon Radey,26:56.6,Laurentian Voyageurs,50
Ethan Graves,26:58.1,Windsor Lancers,51
Jacob McLean,27:00.1,Toronto Varsity Blues,52
Chris Stamadianos,27:01.5,Toronto Varsity Blues,53
Henrik Petersson,27:03.2,Waterloo Warriors,54
Frederik Rivard,27:03.6,Brock Badgers,55
Nic Abanto Enns,27:05.9,Ottawa Gee-Gees,56
Adam Huras,27:14.4,Waterloo Warriors,57
Brayden DeGrace,27:17.3,Windsor Lancers,58
Anton Mlynczyk,27:24.2,Toronto Varsity Blues,59
Marco Volpi,27:25.3,York Lions,60
Riley Coles,27:27.0,Brock Badgers,61
Brandon Cidade,27:34.1,Toronto Varsity Blues,62
Will McLeish,27:36.0,Ottawa Gee-Gees,63
Patrick Leroux,27:39.3,Laurentian Voyageurs,64
Simon Drolet,27:40.5,Wilfrid Laurier Golden Hawks,65
Connor Hickling,27:44.5,Waterloo Warriors,66
Brendan Damiano,27:45.2,Brock Badgers,67
Oliver Tagalog,27:45.3,Toronto Varsity Blues,68
Adriano Padoin-Castello,27:45.7,Ottawa Gee-Gees,69
Adam Blazino,27:48.7,Lakehead Thunderwolves,70
Nolan Khulberg,27:49.3,Wilfrid Laurier Golden Hawks,71
Evan Ryall,27:49.8,Brock Badgers,72
Michael Muravchik,27:50.0,York Lions,73
Owen Roney,27:52.8,Laurentian Voyageurs,74
Ethan Aarts,27:53.6,Nipissing Lakers,75
Ezra Bender,28:03.4,Wilfrid Laurier Golden Hawks,76
Oliver Waddington,28:12.2,York Lions,77
Jack Heintz,28:20.5,TMU Bold,78
Braydon Trowbridge,28:24.5,Wilfrid Laurier Golden Hawks,79
Nathan Lemire,28:24.7,Wilfrid Laurier Golden Hawks,80
Japhy-Kai Crookham,28:28.6,Nipissing Lakers,81
Keegan Sayles,28:28.7,Trent Excalibur,
Noah Cornish,28:30.5,Nipissing Lakers,82
David Akerman,28:34.7,York Lions,83
Fred Parent,28:35.9,Ottawa Gee-Gees,84
Travis Annett,28:41.6,Laurentian Voyageurs,85
Calvin Traczuk,28:43.4,Nipissing Lakers,86
Trent Wilson,28:59.9,Lakehead Thunderwolves,87
Payton Kettle,29:20.7,Trent Excalibur,
Toluwani Adebajo,29:21.3,York Lions,88
Fawwaz Khan,29:39.9,TMU Bold,89
Tom Voss,29:51.2,TMU Bold,90
Elijah Doctor-Jardine,29:52.5,York Lions,91
Samuel Bennett,29:55.4,Nipissing Lakers,92
Oliver Czerny-Holownia,29:56.7,Nipissing Lakers,93
Adam Edwards,30:01.8,Nipissing Lakers,94
Arthur Fernandes,30:50.6,York Lions,95
TJ Green,30:57.6,Laurentian Voyageurs,96
Alan Wilkin,30:58.7,Laurentian Voyageurs,97
Massimo Montanari,31:04.3,TMU Bold,98
Stephane Carrigan,31:08.0,Lakehead Thunderwolves,99
Garrett Wager,31:08.1,Brock Badgers,100
Wyatt Knockleby,31:22.7,Trent Excalibur,
Dylan Garson,31:45.9,Algoma Thunderbirds,
Rory O'Connell,32:33.7,Ottawa Gee-Gees,101
Afnan Kabir,33:38.7,TMU Bold,102
Carter Myles,33:38.9,Trent Excalibur,
Trysten Kahtava,34:22.7,Algoma Thunderbirds,
Noah Missere,35:05.0,Algoma Thunderbirds,
Alex Xiong,35:44.7,TMU Bold,103
Patrick Benner,36:39.2,TMU Bold,104
