name,time,team,points
Madelyn Eybergen,28:42.5,Windsor Lancers,1
Ashley Maguire,28:51.5,Western Mustangs,2
Olivia Roussel,28:51.7,Western Mustangs,3
Alyshia Alkerton,28:52.4,Queen's Gaels,4
Sandra Guga,28:56.2,Western Mustangs,5
Anna Carruthers,28:59.0,Western Mustangs,6
Erika Jordan,29:03.7,Western Mustangs,7
Julia Agostinelli,29:07.7,Toronto Varsity Blues,8
Ana Morariu,29:15.2,McMaster Marauders,9
Paige Breedon,29:20.3,Waterloo Warriors,10
Ella Lane,29:25.6,Queen's Gaels,11
Elizabeth Vroom,29:31.6,Queen's Gaels,12
Hillary Clark,29:36.5,Waterloo Warriors,13
Victoria Lamb,29:37.2,McMaster Marauders,14
Michelle Gray,29:48.7,Guelph Gryphons,15
Emma Elliott,29:48.9,McMaster Marauders,16
Sarah Luedke,29:51.3,Toronto Varsity Blues,17
Olivia Baggley,29:51.5,Queen's Gaels,18
Laura Yantha,29:54.1,Guelph Gryphons,19
Emma Graham,30:01.4,Queen's Gaels,20
Lauren Lowther,30:03.9,Queen's Gaels,21
Alex McDougall,30:08.4,Guelph Gryphons,22
Katherine Taylor,30:10.1,Queen's Gaels,23
Olivia Vanleeuwen,30:10.7,Waterloo Warriors,24
Kara Tichbourne,30:16.4,McMaster Marauders,25
Liana De Medeiros Liana De Medeiros,30:20.0,Toronto Varsity Blues,26
Mary Tennant,30:22.4,McMaster Marauders,27
Chloe Coutts,30:22.4,Western Mustangs,28
Chloe Vincent,30:27.5,Waterloo Warriors,29
Leah Stapleton,30:31.9,Guelph Gryphons,30
Joelle Olla,30:32.9,Windsor Lancers,31
Eliza Jane Boston,30:33.2,Western Mustangs,32
Nicole Hartnell,30:56.2,Guelph Gryphons,33
Melina Hamel,31:03.8,Ottawa Gee-Gees,34
Kristina Etezadi,31:08.5,Guelph Gryphons,35
Kaitlyn Treleaven,31:11.0,McMaster Marauders,36
Sophie Levasseur,31:14.3,Toronto Varsity Blues,37
Samantha Macdonald,31:15.7,Toronto Varsity Blues,38
Ella Madsen,31:16.7,McMaster Marauders,39
Natalie Fortier,31:22.1,Windsor Lancers,40
Ella Symon,31:31.5,Waterloo Warriors,41
Angela Mozzon,31:32.1,Laurentian Voyageurs,42
Maren Kasunich,31:33.9,Windsor Lancers,43
Sian Kniaziew,31:36.9,Windsor Lancers,44
Nicole Schindler,31:40.2,Waterloo Warriors,45
Cori Macsai,31:42.3,Brock Badgers,46
Lauren Macsai,31:42.4,Brock Badgers,47
Jocelyn Giannotti,31:46.3,Guelph Gryphons,48
Ainsley Rocheleau,31:47.8,Windsor Lancers,49
Nicole Beach,31:50.7,Wilfrid Laurier Golden Hawks,50
Avery Murrell,31:57.7,Toronto Varsity Blues,51
Kristen Mrozewski,32:02.7,Laurentian Voyageurs,52
Marie Mazzoli,32:07.5,Wilfrid Laurier Golden Hawks,53
Kylee Fowler,32:15.4,Ottawa Gee-Gees,54
Laura Peters,32:20.4,York Lions,55
Meghan Muldoon,32:29.0,TMU Bold,
Natalie Adam,32:30.2,Windsor Lancers,56
Sarah White,32:31.6,Toronto Varsity Blues,57
Hailee Masse,32:36.4,Brock Badgers,58
Sabrina Arena,32:42.5,Wilfrid Laurier Golden Hawks,59
Abby Lanteinge,32:47.6,Laurentian Voyageurs,60
Mia Sawatsky,32:55.2,Lakehead Thunderwolves,61
Riyaa Balakrishnan,32:55.3,York Lions,62
Georgia Lepage,33:01.5,Laurentian Voyageurs,63
Karlie Janes,33:03.4,Brock Badgers,64
Adeline Steiger,33:12.2,Brock Badgers,65
Belinda Guerra,33:25.7,Wilfrid Laurier Golden Hawks,66
Tegan Ceccanese,33:30.1,Wilfrid Laurier Golden Hawks,67
Iva Balcheva,33:31.0,York Lions,68
Sarah Booth,33:32.4,Laurentian Voyageurs,69
Piper Lafayette,33:33.9,Wilfrid Laurier Golden Hawks,70
Emily Sharik-Carreiro,33:45.0,Waterloo Warriors,71
Blaise Gravelle,33:45.3,Nipissing Lakers,72
Emily Drenth,33:46.7,Nipissing Lakers,73
Ryanne O'Neill,33:49.8,Trent Excalibur,74
Maya Robinson,33:51.9,Wilfrid Laurier Golden Hawks,75
Katherine Lucas,33:53.6,Lakehead Thunderwolves,76
Malak Elghobashy,34:05.7,York Lions,77
Jolanta Clark,34:24.4,Brock Badgers,78
Teresa Muggeridge,34:29.1,York Lions,79
Mackenzie Green,34:33.2,Nipissing Lakers,80
Maeve Blake,34:33.4,Laurentian Voyageurs,81
Frances Emery,34:35.2,Trent Excalibur,82
Charlotte Grenier,34:37.3,Laurentian Voyageurs,83
Kate Brock,34:40.1,TMU Bold,
Ava Sparkes,34:44.2,York Lions,84
Rachel Brown,35:05.1,Lakehead Thunderwolves,85
Elliot Tyman,35:14.5,Ottawa Gee-Gees,86
Grace Farrington,35:35.0,Ottawa Gee-Gees,87
Katerina Culhane,35:47.4,Ottawa Gee-Gees,88
Millie Copeland,35:55.5,Trent Excalibur,89
Emily McCormack,35:56.2,Trent Excalibur,90
Sarah Luttes,35:56.3,Lakehead Thunderwolves,91
Abby MacMillan,36:50.2,Nipissing Lakers,92
Isobel Stewart,36:58.2,Lakehead Thunderwolves,93
Jaime Schweyer,38:11.4,Nipissing Lakers,94
Loralie Houde,38:24.1,Ottawa Gee-Gees,95
Emma Strano,38:26.5,Ottawa Gee-Gees,96
Lily Hartley,41:28.4,Trent Excalibur,97
Isabelle Honegger,41:44.5,Trent Excalibur,98
