name,time,team
Philippe Morneau-Cartier,24:33.14,Laval Rouge et Or
Nolan Turgeon,24:55.77,Sherbrooke Vert & Or
Rudy Saal,25:13.94,Laval Rouge et Or
Julien Marion,25:18.58,École de technologie supérieure
David Girardin,25:24.29,Laval Rouge et Or
William Nolet,25:27.79,Laval Rouge et Or
Luca Messenger-Jones,25:28.25,McGill Redbirds
Mathis Mercier,25:50.44,Laval Rouge et Or
Charles Poulin,25:51.15,Laval Rouge et Or
Éliott Héroux,25:57.86,Laval Rouge et Or
Pier-Olivier Beaulieu,26:03.33,Laval Rouge et Or
Loïc Poulin Desjardins,26:04.78,Laval Rouge et Or
Mitchell Kean,26:09.68,UNB Reds
Maxime Curdy,26:14.49,Laval Rouge et Or
Louis Bouin,26:18.84,Université du Québec à Montréal Les Citadins
Jacob Girard,26:25.27,Laval Rouge et Or
Vincent Abraham,26:26.41,Université du Québec à Trois-Rivières Les Patriote
Sacha Dernoncourt,26:29.52,McGill Redbirds
Andy Manzi,26:31.62,Laval Rouge et Or
Thomas Péladeau,26:32.41,Sherbrooke Vert & Or
Ismael Thomas,26:36.09,Laval Rouge et Or
Ricardo Izquierdo-Bernier,26:41.15,Université du Québec à Montréal Les Citadins
Guillaume Gendron,26:43.48,Sherbrooke Vert & Or
Quinn Eberts,26:44.74,UNB Reds
Jules Charretier,27:04.47,UQAC Inuk
Ben Morales,27:10.19,McGill Redbirds
Laurent Chounan,27:11.07,École de technologie supérieure
Zacharie Turgeon,27:13.86,Université du Québec à Montréal Les Citadins
Jérémy Courchesne,27:25.34,Université du Québec à Trois-Rivières Les Patriote
Olivier Gervais,27:27.14,Laval Rouge et Or
Félix Bourdages,27:27.50,Club d'athlétisme de l'Université Laval
Timothé Dumont,27:40.47,Université du Québec à Montréal Les Citadins
Lucien Louvet,27:44.93,McGill Redbirds
Nicolas Fortin,27:45.38,Université du Québec à Trois-Rivières Les Patriote
Cédric Rausch,27:45.56,Laval Rouge et Or
Emile Mignault,27:47.21,McGill Redbirds
Jules Carcouet,27:47.32,UQAC Inuk
Vincent Fortin,27:48.93,McGill Redbirds
Caden Jones,27:49.20,UNB Reds
Ben Gates,27:50.27,McGill Redbirds
Louis Margot,27:51.30,France
Charles-Ugo Ouellette,27:55.65,Sherbrooke Vert & Or
Alexis Deslauriers,28:01.25,Laval Rouge et Or
Antonin Marsolet,28:06.22,Sherbrooke Vert & Or
Simon Prince,28:07.32,Montréal Carabins
Jérémie Hébert,28:09.61,Université du Québec à Montréal Les Citadins
Arnaud Gauberville,28:11.37,École de technologie supérieure
Marc Cauchy-Vaillancourt,28:12.00,Université du Québec à Montréal Les Citadins
Alistair Kiernan,28:14.03,McGill Redbirds
Émile Lévesque,28:20.47,Université du Québec à Montréal Les Citadins
Christophe Poliquin,28:21.00,Université du Québec à Trois-Rivières Les Patriote
Liam Bronsema,28:22.47,RMC Saint-Jean
Edouard Beaulieu,28:22.59,Club d'athlétisme de l'Université Laval
Philip Nadeau,28:24.79,UQAC Inuk
Julien Deschatelets,28:25.65,École de technologie supérieure
Jonathan Côté,28:31.43,Club d'athlétisme de l'Université Laval
Alexandre Huot,28:45.91,Dynamique De Laval
Lucas Levenson,28:48.36,McGill Redbirds
Timothée Courtois,28:56.77,École de technologie supérieure
Cyril Traineau,29:00.88,École de technologie supérieure
Raphaël Soucy-Giguère,29:01.52,Club d'athlétisme de l'Université Laval
Antoine Blais,29:04.66,Unattached
Raphaël Gaumond,29:06.94,UQAC Inuk
Justin Bellavance,29:08.13,UQAC Inuk
Paul Cayeux,29:08.46,Sherbrooke Vert & Or
Thibault Gestin,29:23.96,École de technologie supérieure
Zachary Dubé,29:29.04,Université du Québec à Trois-Rivières Les Patriote
Tanguy Guerry,29:30.06,École de technologie supérieure
Jean-Christophe Lasnier,29:32.02,Université du Québec à Trois-Rivières Les Patriote
Philippe Lacasse,29:33.82,Université du Québec à Trois-Rivières Les Patriote
Nathan Satge,29:36.77,UQAC Inuk
Rémi Senneville,30:05.72,Université du Québec à Trois-Rivières Les Patriote
Kossi Germain Djadja-Avonyo,30:20.27,Club d'athlétisme de l'Université Laval
Émile Pellerin,30:20.47,Montréal Carabins
Jacob Arsenault,30:27.02,École de technologie supérieure
Eliot Terrier,30:30.49,École de technologie supérieure
Jérémie Chartier,30:39.28,Université du Québec à Montréal Les Citadins
Ayman Zazaa,30:40.97,Unattached
Mavrick Cardeau,30:52.94,Club d'athlétisme de l'Université Laval
Charles Edouard Paquet,31:09.44,Club d'athlétisme de l'Université Laval
Guillaume Gagnon,31:39.37,UQAC Inuk
Thomas Saulquin,31:48.59,École de technologie supérieure
Léo Bérubé,31:55.52,RMC Saint-Jean
Félix Milot,31:58.19,Club d'athlétisme de l'Université Laval
Jean-Michel Poulin,32:00.00,RMC Saint-Jean
Louis Pitois,32:14.03,Université du Québec à Montréal Les Citadins
Olivier Jolivet,32:57.33,Club d'athlétisme de l'Université Laval
Titouan Martenot,32:59.39,UQAC Inuk
Cyprien Marais,33:37.24,RMC Saint-Jean
Renaud Soucy,34:22.41,RMC Saint-Jean
Maël Fréchette,34:24.89,RMC Saint-Jean
Samuel Frenette,34:52.33,RMC Saint-Jean
Eliott Desroches,34:56.18,RMC Saint-Jean
Antoine Trudel,38:26.18,Club d'athlétisme de l'Université Laval
