name,time,team
Elisa Tripotin,30:07.19,Université du Québec à Montréal Les Citadins
Sierra Rodrigues,30:33.57,UNB Reds
Sienna Matheson,30:34.81,McGill Martlets
Camille Boudreau,30:36.24,Laval Rouge et Or
Noémie Beaulieu,30:59.80,Laval Rouge et Or
Léa Pelletier,31:21.02,Laval Rouge et Or
Amélie Simard,31:24.47,UQAC Inuk
Marie-Renée Emond,31:26.26,Université du Québec à Trois-Rivières Les Patriote
Mathilde Collard,31:27.02,Laval Rouge et Or
Natasha Bolger,31:45.12,Club 3D
Coralie Mercier,31:51.40,Laval Rouge et Or
Louisiane Le Bail,31:51.78,Université du Québec à Montréal Les Citadins
Fanny Hotton-Daigneault,31:53.89,Laval Rouge et Or
Laurianne Heynemand,31:55.90,Sherbrooke Vert & Or
Eve Ouellet,32:10.99,Excel Athletika
Marick Thibault,32:14.96,Université du Québec à Trois-Rivières Les Patriote
Maïné Dupuis-Azizah,32:20.08,Université du Québec à Trois-Rivières Les Patriote
Viviane Azzaria,32:21.52,Laval Rouge et Or
Claire Brillon,32:32.54,McGill Martlets
Elsa Benhamou,32:34.56,Sherbrooke Vert & Or
Anaïs Côté-Morin,32:34.94,Sherbrooke Vert & Or
Juliette Bélanger,32:41.81,Sherbrooke Vert & Or
Alice Marsh,32:47.80,Laval Rouge et Or
Élodi Castonguay-Girard,33:05.38,Laval Rouge et Or
Marianne Alarie,33:06.01,Club d'athlétisme de l'Université Laval
Ann-Sophie Chalifoux,33:14.41,Laval Rouge et Or
Romy Sinotte,33:26.42,Laval Rouge et Or
Alyssa Roberge,33:28.57,RMC Saint-Jean
Laurie-Ann Morin,33:29.86,Club d'athlétisme de l'Université Laval
Charlotte Edge,33:30.32,McGill Martlets
Marie-Soleil Courchesne,33:44.53,Université du Québec à Trois-Rivières Les Patriote
Ena Smallbegovic,33:55.46,McGill Martlets
Marie-Pierre Bouffard,33:58.13,Montréal Carabins
Mia Blackmore-Barnable,34:01.26,McGill Martlets
Véronica Furno-Puglia,34:06.54,Université du Québec à Montréal Les Citadins
Ava Goncalves,34:07.81,UNB Reds
Alice Roze,34:12.93,École de technologie supérieure
Élodie Bouchard,34:28.36,Laval Rouge et Or
Dominique Gelinas,34:46.27,Université du Québec à Montréal Les Citadins
Mary-Lune Baril,34:57.02,Sherbrooke Vert & Or
Laura Auclair,35:33.04,Université du Québec à Trois-Rivières Les Patriote
Gabrielle Caron,35:48.13,UQAC Inuk
Ariane Simard,35:48.74,UQAC Inuk
Maude Tremblay,36:25.01,UQAC Inuk
Julianne Couture,36:28.00,Université du Québec à Trois-Rivières Les Patriote
Jeanne Bédard,36:29.29,Université du Québec à Trois-Rivières Les Patriote
Élizabeth Têtu,36:38.93,Université du Québec à Trois-Rivières Les Patriote
Frédérique Pérusse,36:41.57,UQAC Inuk
Rosalie Gaudet,36:42.97,Université du Québec à Trois-Rivières Les Patriote
Marilou Moreau,36:47.16,Université du Québec à Montréal Les Citadins
Marie-Ève Fortier,36:52.42,Université du Québec à Trois-Rivières Les Patriote
Arianne Brasselet,37:11.88,École de technologie supérieure
Florence Gaudreault,37:21.37,Club d'athlétisme de l'Université Laval
Coline Gauge,38:13.00,Club Athlétisme Sherbrooke
Lisa Van Asset,40:34.29,École de technologie supérieure
