name,time,team
Elisa Tripotin,29:21.7,Université du Québec à Montréal Les Citadins
Laurence Gauthier,29:29.0,Sherbrooke Vert & Or
Camille Boudreau,29:54.0,Laval Rouge et Or
Sophie Courville,30:09.9,McGill Martlets
Marine Garnier,30:13.6,Montréal Carabins
Meredith Boyer,30:28.8,Montréal Carabins
Noémie Beaulieu,30:30.5,Laval Rouge et Or
Elana Camiré Matveyenko,30:31.2,Sherbrooke Vert & Or
Léa Pelletier,30:37.9,Laval Rouge et Or
Marie-Renée Emond,30:46.5,Université du Québec à Trois-Rivières Les Patriote
Amélie Simard,30:49.0,UQAC Inuk
Mathilde Collard,30:59.2,Laval Rouge et Or
Abene Glasgow,31:03.1,McGill Martlets
Alice Marsh,31:03.7,Laval Rouge et Or
Laurianne Heynemand,31:07.5,Sherbrooke Vert & Or
Sienna Matheson,31:14.4,McGill Martlets
Marie-Ange Hébert,31:15.6,Sherbrooke Vert & Or
Chloe Desjardins,31:15.8,McGill Martlets
Audrey-Anne Caron,31:20.9,Laval Rouge et Or
Louisiane Lebail,31:22.1,Université du Québec à Montréal Les Citadins
Éloise Dubé,31:28.6,Sherbrooke Vert & Or
Victoria Leblanc,31:28.7,Montréal Carabins
Zoe Gardiner,31:32.4,McGill Martlets
Fanny Hotton-Daigneault,31:33.3,Laval Rouge et Or
Angèle-Émilie Bérubé,31:39.2,Sherbrooke Vert & Or
Elsa Benhamou,31:42.3,Sherbrooke Vert & Or
Sophie Rashid-Cocker,31:42.7,McGill Martlets
Sofia Veilleux,31:45.0,McGill Martlets
Romy Sinotte,31:50.5,Laval Rouge et Or
Véronique Ducharme,31:50.8,Sherbrooke Vert & Or
Coralie Mercier,32:00.8,Laval Rouge et Or
Juliette Bélanger,32:03.0,Sherbrooke Vert & Or
Sandrine Marin,32:05.2,Sherbrooke Vert & Or
Klara Gal,32:13.6,Montréal Carabins
Maïné Dupuis Azizah,32:21.0,Université du Québec à Trois-Rivières Les Patriote
Marick Thibault,32:24.9,Université du Québec à Trois-Rivières Les Patriote
Claire Brillon,32:25.2,McGill Martlets
Abigail McIntosh,32:26.7,McGill Martlets
Mia Blackmore-Barnable,32:35.4,McGill Martlets
Anaïs Côté,32:41.5,Sherbrooke Vert & Or
Viviane Azzaria,32:46.3,Laval Rouge et Or
Sabrina Lavigne,32:50.1,Laval Rouge et Or
Marie-Pierre Bouffard,32:51.3,Montréal Carabins
Marianne Bogus,33:00.5,UQAC Inuk
Mary-Lune Baril,33:04.2,Sherbrooke Vert & Or
Marie-Soleil Courchesne,33:06.3,Université du Québec à Trois-Rivières Les Patriote
Ariane Simard,33:12.6,UQAC Inuk
Ann-Sophie Chalifoux,33:23.3,Laval Rouge et Or
Arowyn Fitzpatrick,33:31.9,McGill Martlets
Ena Smailbegovic,33:43.7,McGill Martlets
Dominique Gélinas,33:50.0,Université du Québec à Montréal Les Citadins
Léa Gobeil,33:50.8,Université du Québec à Trois-Rivières Les Patriote
Éliana Portillo-Laflamme,33:53.2,Montréal Carabins
Justine Champagne,34:07.0,Montréal Carabins
Émy-Jade Caron,34:08.5,Sherbrooke Vert & Or
Véronica Furno-Puglia,34:10.9,Université du Québec à Montréal Les Citadins
Laura Auclair,34:16.6,Université du Québec à Trois-Rivières Les Patriote
Charli Edge,34:16.9,McGill Martlets
Élodie Castonguay-Girard,34:22.3,Laval Rouge et Or
Élodie Bouchard,34:22.6,Laval Rouge et Or
Emmanuelle Chaput,34:47.6,Sherbrooke Vert & Or
Noée Jean,34:58.5,UQAC Inuk
Gabrielle Caron,34:58.6,UQAC Inuk
Rosalie Gaudet,35:01.3,Université du Québec à Trois-Rivières Les Patriote
Justine Ratelle,35:13.9,Montréal Carabins
Romane Archambault,35:28.6,Montréal Carabins
Marilou Moreau,35:39.7,Université du Québec à Montréal Les Citadins
Frédérique Pérusse,35:53.2,UQAC Inuk
Élizabeth Têtu,36:16.4,Université du Québec à Trois-Rivières Les Patriote
Julianne Couture,36:36.9,Université du Québec à Trois-Rivières Les Patriote
Marie-Ève Fortier,37:34.3,Université du Québec à Trois-Rivières Les Patriote
Josephine Wild,38:05.0,Montréal Carabins
Emy Decelles,38:34.0,Université du Québec à Trois-Rivières Les Patriote
Nada Chabibi,41:13.2,Montréal Carabins
