name,time,team
Ron MacLean,23:10.84,Alberta Golden Bears
Yemane Mulugeta,23:12.17,Trinity Western Spartans
Jonathan Podbielski,23:30.53,Regina Cougars
Daniel Damian,23:42.86,Victoria Vikes
Justin Kiplagat,23:47.68,Trinity Western Spartans
Jaiveer Tiwana,23:52.25,UBC Thunderbirds
Will Cebuliak,23:56.19,Alberta Golden Bears
Maximilien Filion,24:02.85,UBC Thunderbirds
Quintan Fast,24:03.18,Saskatchewan Huskies
Alexander Webster,24:09.29,Saskatchewan Huskies
Ian Teichler,24:14.59,Regina Cougars
Jacob Webster,24:14.61,Victoria Vikes
David Mutai,24:15.86,Trinity Western Spartans
Hayden Woodrow,24:19.66,Victoria Vikes
Marcus Ganz,24:25.44,Victoria Vikes
Ian McAllister,24:28.18,Victoria Vikes
Owen Lloyd,24:32.55,UBCO Heat
Jason Ushko,24:33.04,Calgary Dinos
Adonias Downes,24:37.08,Alberta Golden Bears
Jonah Brost,24:39.32,UBC Thunderbirds
Jack Boden,24:44.70,Victoria Vikes
Sam Lamont,24:47.73,Manitoba Bisons
Justin Kroeker,24:53.99,Manitoba Bisons
Kaiden Deck,24:57.05,Saskatchewan Huskies
Braden Foley,24:59.68,Calgary Dinos
Kyle Porter,25:02.52,UBCO Heat
Ethan Meyer,25:03.70,Calgary Dinos
Dylan Uhrich,25:04.16,UBC Thunderbirds
Benjamin Seshadri,25:05.52,Victoria Vikes
Hayes McMillan,25:06.40,Manitoba Bisons
Jacob White,25:06.75,Saskatchewan Huskies
Calvin Brain,25:09.51,UBC Thunderbirds
Isaac Baker,25:09.98,UBCO Heat
Max Cook,25:10.45,Calgary Dinos
Rowen Suchoski,25:10.70,Victoria Vikes
Brett MacLean,25:10.78,Regina Cougars
Oscar Grainger,25:10.92,Victoria Vikes
Jayvin Cross Child,25:14.09,Saskatchewan Huskies
Edward Healy,25:17.58,Calgary Dinos
Liam Dwyer,25:18.76,UBC Thunderbirds
Elijah Headley,25:22.07,Trinity Western Spartans
David Waller,25:28.33,Victoria Vikes
Kinley Cross Child,25:29.86,Saskatchewan Huskies
James De Jager,25:31.51,Calgary Dinos
Daniel Toneguzzi,25:34.21,Trinity Western Spartans
Spencer Hardy,25:35.67,UBC Thunderbirds
Sam Prezio,25:36.86,Calgary Dinos
Nathanial Dosman,25:37.57,Alberta Golden Bears
Ben House,25:37.77,Saskatchewan Huskies
Michael Schriemer,25:40.44,UBC Thunderbirds
Aiden Small,25:42.32,UBCO Heat
Mateo Aldana,25:42.58,UBC Thunderbirds
Malcolm Reid,25:45.53,Trinity Western Spartans
Jacob Klassen,25:47.79,Alberta Golden Bears
Adam Stang,25:47.85,Alberta Golden Bears
Joshua Heuver,25:51.19,Alberta Golden Bears
Joel Worman,25:52.88,UBCO Heat
Carson Kroeker,25:55.52,Manitoba Bisons
Curtis Glanville,26:00.46,Saskatchewan Huskies
Victor Gouttin,26:02.78,Calgary Dinos
Carson Young,26:02.79,Alberta Golden Bears
Luke Suchoski,26:03.54,Victoria Vikes
Morgan Kilgour,26:06.02,Regina Cougars
Logan Kaban,26:08.84,Saskatchewan Huskies
Chris Crowe,26:11.02,UBCO Heat
Brendan Obrien,26:13.98,Trinity Western Spartans
Ethan Randall,26:17.55,Alberta Golden Bears
Ben Higham,26:23.37,Alberta Golden Bears
Luca Powell,26:25.08,Calgary Dinos
Kai Martland,26:25.49,UBC Thunderbirds
Lucien Dixon-Lawless,26:35.29,Trinity Western Spartans
Joe Green,26:35.33,Saskatchewan Huskies
Henry Sharp,26:42.47,Regina Cougars
Daniel Gutierez,26:43.95,Alberta Golden Bears
Andrew Gunnink,26:46.01,Trinity Western Spartans
Basil Parkins,26:48.21,UBCO Heat
Caleb Graham,26:51.20,UBCO Heat
Mason Muchowski,26:54.47,Regina Cougars
Joel Geake,26:59.50,UBCO Heat
Eric Dorey,27:08.52,Regina Cougars
Rian Wilson,27:13.00,UBC Thunderbirds
Kaelen Kolb,27:13.56,Regina Cougars
Manbir Briar,27:16.78,Calgary Dinos
Daniel Eiswerth,27:19.09,Regina Cougars
Mason Pronych,27:27.73,Saskatchewan Huskies
Leif Poughnet,27:39.84,Alberta Golden Bears
Markus Thompson,27:49.13,Saskatchewan Huskies
Nigel Clunie,28:01.55,Alberta Golden Bears
