name,time,team
Lauren McNeil,25:53.30,UBCO Heat
Constance Nankivell,27:09.10,Trinity Western Spartans
Holly MacGillivray,27:18.86,UBC Thunderbirds
Kaitlyn Harrison,27:20.90,Saskatchewan Huskies
Elise Coates,27:23.27,Victoria Vikes
Erin Owens,27:33.22,Victoria Vikes
Marisha Thompson,27:43.81,Victoria Vikes
Kristen Smith,28:03.09,UBCO Heat
Rachel Mortimer,28:13.63,UBC Thunderbirds
Jenica Swartz,28:15.00,Saskatchewan Huskies
Colette Reimer,28:18.66,Victoria Vikes
Amelia Pfohl,28:35.37,UBC Thunderbirds
Abby Ylipahkala,28:40.55,UBC Thunderbirds
Delaney Chan,28:46.48,Victoria Vikes
Brooke Lawlor,28:51.58,UBCO Heat
Mackenzie Campbell,28:54.20,UBC Thunderbirds
Chloe Turner,28:55.80,Calgary Dinos
Elissa Frielink,28:58.71,Victoria Vikes
Sarah MacGillivray,28:59.45,UBC Thunderbirds
Jennifer Erickson,29:00.01,UBC Thunderbirds
Elysse Fleming,29:04.54,UBC Thunderbirds
Amaia Ervin-Arambarri,29:05.13,Calgary Dinos
Katelyn Cotterell,29:17.17,UBC Thunderbirds
Hailey Abbott,29:19.56,Victoria Vikes
Lys Milne,29:23.05,UBCO Heat
Olivia Hopkins,29:25.96,Alberta Pandas
Ella Wigmore,29:27.43,UBCO Heat
Sophie Jensen,29:32.28,Calgary Dinos
Sofie Ohrling,29:37.91,Victoria Vikes
Mackenzie Cumming,29:37.91,Victoria Vikes
Lena Klassen,29:43.88,Manitoba Bisons
Sophie Hamilton,29:44.33,UBCO Heat
Angela Kroeker,30:03.82,Manitoba Bisons
Rachel McDonald,30:07.61,UBC Thunderbirds
Natalie Selvage,30:10.55,Calgary Dinos
Rayne Butler-Siemens,30:10.92,Saskatchewan Huskies
Csenia Irvin,30:13.00,Calgary Dinos
Brooklyn Roney,30:13.66,Saskatchewan Huskies
Naomi Reisdorf,30:15.04,Trinity Western Spartans
Samara Cockburn,30:18.02,Victoria Vikes
Monika Arcadi,30:29.87,Victoria Vikes
Morgan Tiede,30:32.91,Saskatchewan Huskies
Natalie Boston,30:34.77,Alberta Pandas
Madelyn Kaban,30:36.69,UBCO Heat
Sarah Novakowski,30:42.12,Saskatchewan Huskies
Zoe Unger,30:58.25,UBC Thunderbirds
Lily Gentile,31:04.86,Calgary Dinos
Libby Dunn,31:14.64,Alberta Pandas
Allison Novecosky,31:16.65,Saskatchewan Huskies
Harper Lebell,31:27.53,Regina Cougars
Eryn Kielo,31:37.83,Saskatchewan Huskies
Alison Gartner,31:39.58,Calgary Dinos
Ella Heinrich,32:10.58,Alberta Pandas
Lauren Westlake,32:16.50,Calgary Dinos
Vera Gauvin,35:11.77,Regina Cougars
Zuzana Morog,35:32.63,Alberta Pandas
Annika Yuzdepski,35:55.96,Saskatchewan Huskies
