name,team,time,points
Sophie Black,Moncton Aigles Bleu,31:00,1
Mairin Canning,St. F X,31:11,2
Allie Sandluck,St. F X,31:13,3
Breanna Sandluck,Dalhousie Tigers,31:20,4
Eileen Benoit,St. F X,31:24,5
Caroline Ash,St. F X,31:24,6
Molly Pert,Dalhousie Tigers,31:30,7
Caden Lee,St. F X,31:35,8
Sarah Watson,St. F X,31:55,9
Zoe Doorenspleet,Dalhousie Tigers,32:06,10
Grace Richard,UPEI Panthers,32:08,11
Grace Mack,Memorial Sea-Hawks,32:12,12
Darcie Stapleton,Memorial Sea-Hawks,32:12,13
Mackenzie Kitchen,Dalhousie Tigers,32:21,14
Eva Kriebel,Dalhousie Tigers,32:25,15
Hannah McIntyre,St. F X,32:32,16
Juliet Pulfrey,Dalhousie Tigers,32:48,17
Poppy Moon,St. F X,32:56,
Poppy Thomson,St. F X,32:59,
Jocelyn Ringler,Memorial Sea-Hawks,33:02,18
Maria Chafe,Memorial Sea-Hawks,33:11,19
Maisyn Battams,Dalhousie Tigers,33:20,20
Kristen Ross,Dalhousie Tigers,33:24,
Stefania Angona,UPEI Panthers,33:30,22
Katie Richard,UPEI Panthers,33:30,21
Anna Harris,UPEI Panthers,33:31,23
Eden Hildebrand,St. F X,33:34,
Gabrielle Côté,Moncton Aigles Bleu,33:42,24
Paige Quinn,St. F X,34:09,
Hannah Levyssohn,Moncton Aigles Bleu,34:13,25
Ella Campbell,Acadia,34:19,26
Ally Wilkins,Memorial Sea-Hawks,34:30,27
Amy Caissie,Moncton Aigles Bleu,34:43,28
Aidan Macdonald,Dalhousie Tigers,34:49,
Maya Black,St. F X,34:51,
Anne-Sophie Le Rudulier,Acadia,34:52,29
Clementine MacLeod,Acadia,34:54,30
Ella Jenkins,UPEI Panthers,35:04,31
Jillian Bennett,St. F X,35:26,
Katie Gautreau,UPEI Panthers,35:30,32
Maggie Graves,Acadia,35:37,33
Keeley Cox,Memorial Sea-Hawks,35:41,34
Lauren Doyle,Acadia,35:47,35
Ashley Brady,St. Mary's Huskies,36:07,36
Arleta Sadilkova,Memorial Sea-Hawks,36:11,37
Ava Joseph,Acadia,36:37,38
Jacqueline Moore,St. Mary's Huskies,36:41,39
Amanda Daniels,Acadia,38:17,40
Bhreagh Burke,St. Mary's Huskies,40:59,41
Faith Anderson,St. Mary's Huskies,40:59,42
Bianca Eagles,Moncton Aigles Bleu,50:45,43
