name,team,time
Katie Robinson,Acadia,23:25.00
Catherine Thompson,St. F X,23:28.00
Liz MacDonald,St. F X,23:28.00
Rachel MacDougall,St. F X,23:29.00
Hana Marmura,St. F X,23:32.00
Paige Chisholm,St. F X,23:35.00
Madalyn Higgins,Acadia,23:44.00
Chrissy Smith,Acadia,23:45.00
Jenna Keilty,UNB Reds,23:57.00
Ashley Robson,St. F X,24:02.00
Sarah Kromberg,Dalhousie Tigers,24:04.00
Kate Scallion,Dalhousie Tigers,24:10.00
Hannah Cormier,Dalhousie Tigers,24:23.00
Tori Fitzpatrick,Dalhousie Tigers,24:31.00
Sarah Mason,Dalhousie Tigers,24:33.00
Ellen Taggart,Acadia,24:40.00
Cailie McGuire,UNB Reds,24:48.00
Mackenzie Seagram,Acadia,24:50.00
Kali Caulier,Dalhousie Tigers,25:18.00
Emma Moore,UPEI Panthers,25:53.00
Kelsey Crouse,Acadia,26:00.00
Rachel Watts,Acadia,26:07.00
Jane Hergett,St. F X,26:12.00
Laura Bonga,Acadia,26:13.00
Paige Roznak,St. Mary's Huskies,26:13.00
Jana Giles,UNB Reds,26:38.00
Jessie Armstrong,Acadia,26:54.00
Myriam Cyr,Moncton Aigles Bleu,26:56.00
Charlotte Mawer,St. Mary's Huskies,26:57.00
Michelle MacDonald,Acadia,27:13.00
Eilidh MacDonald,St. F X,27:21.00
Maggie Oliver,St. F X,27:39.00
Jennah Lay,Acadia,27:50.00
Chelsey Hall,St. Thomas Tommies,28:02.00
Solana Purdy,St. Mary's Huskies,28:08.00
Emma Gillespie,Acadia,28:35.00
Beth Lorimer,St. Mary's Huskies,29:21.00
Sarah Polak,St. Mary's Huskies,29:27.00
Brynn Gilmour,St. Thomas Tommies,29:42.00
Jasmine Frizzell,UPEI Panthers,29:59.00
Sarah Victor,UPEI Panthers,30:12.00
Grace Weaver,UNB Reds,30:13.00
Alyssa Weeks,UPEI Panthers,30:17.00
Krystel Frenette,St. Mary's Huskies,30:18.00
Émilie Guthrie,Moncton Aigles Bleu,30:19.00
Alaina Mejia,St. Thomas Tommies,30:31.00
Myriam Cormier,Moncton Aigles Bleu,30:53.00
Jensen Elliot,St. Thomas Tommies,31:08.00
Amy Lynn Grant,Moncton Aigles Bleu,31:54.00
Caroline Bujold,Moncton Aigles Bleu,32:16.00
Haley MacIssac,UNB Reds,34:00.00
