name,team,time
Angus Rawling,St. F X,26:15.00
Alex Neuffer,St. F X,26:32.00
Mike Rogers,Dalhousie Tigers,27:05.00
Trent Lynds,Dalhousie Tigers,27:14.00
Blair Miller,Dalhousie Tigers,28:03.00
Colin Long,Dalhousie Tigers,28:07.00
Addison Derhak,St. F X,28:11.00
Edward MacDonald,St. F X,28:12.00
Drew Lefrank,St. Mary's Huskies,28:15.00
Ryan Merrett,UPEI Panthers,28:27.00
Jeremey Thompson,UPEI Panthers,28:38.00
Jacob Halloran,Dalhousie Tigers,28:48.00
Aiden Canning,St. F X,28:51.00
Jonah Shankel,St. F X,29:03.00
Brandon Higgenbotham,UPEI Panthers,29:08.00
Owen Bachelor,St. Mary's Huskies,29:13.00
Quinn Alexander,St. F X,29:15.00
Alec Brown,UPEI Panthers,29:17.00
Ryan Fuller,St. F X,29:48.00
Aaron MacDonald,St. Mary's Huskies,30:14.00
Peter Macquaid,UPEI Panthers,30:17.00
Chris Lee,St. Mary's Huskies,30:27.00
Jacob Ezeard,UPEI Panthers,30:32.00
Peter Corbin,St. F X,30:52.00
Patrick Fletcher,UPEI Panthers,31:13.00
Steeves Alex,St. Mary's Huskies,31:36.00
Darcy Norton,UPEI Panthers,32:02.00
François Poirier,Moncton Aigles Bleu,32:19.00
Ryan Terry,St. Thomas Tommies,32:44.00
Lucas Clow,UPEI Panthers,41:32.00
