name,time,team
Michelle Reddy,23:40.54,Dalhousie Tigers
Carol-Ann MacDonald,23:49.82,Moncton Aigles Bleu
Katie Robinson,23:53.16,Acadia
Catherine Thompson,23:56.62,St. F X
Liz MacDonald,23:59.12,St. F X
Madalyn Higgins,24:25.94,Acadia
Jenna MacDonald,24:31.10,Dalhousie Tigers
Chrissy Smith,24:33.98,Acadia
Rachel MacDougall,24:38.38,St. F X
Paige Chisholm,24:46.91,St. F X
Zoe Johnston,24:54.81,St. F X
Jenna Keilty,24:59.15,UNB Reds
Hana Marmura,25:05.45,St. F X
Sarah Kromberg,25:07.98,Dalhousie Tigers
Ashley Robson,25:14.38,St. F X
Ellen Taggart,25:43.59,Acadia
Melanie McKenna,26:09.42,Dalhousie Tigers
Tori Fitzpatrick,26:13.01,Dalhousie Tigers
Jane Hergett,26:21.95,St. F X
Natalie Tremblay,26:25.98,UNB Reds
Jessie Armstrong,26:30.72,Acadia
Jessica Zentner,26:43.20,Dalhousie Tigers
Rachel Watts,26:49.32,Acadia
Mackenzie Seagram,26:54.54,Acadia
Lindsey Joliat,26:58.60,Husson University
Brooklyn Rawlyk,27:10.90,Dalhousie Tigers
Laura Bonga,27:13.36,Acadia
Rachel Bennet,27:19.76,UNB Reds
Jana Giles,27:21.79,UNB Reds
Emma Moore,27:23.59,UPEI Panthers
Alyssa Goguen,27:27.50,UNB Reds
Jennah Lay,27:37.23,Acadia
Charlotte Mawer,27:41.03,St. Mary's Huskies
Morgan Clifford,27:53.87,Husson University
Abygail Pelletier,28:07.20,Moncton Aigles Bleu
Josianne Guay,28:09.77,Moncton Aigles Bleu
Caroline Burpee,28:15.28,UNB Reds
Chelsey Hall,28:32.42,St. Thomas Tommies
Eilidh MacDonald,28:43.16,St. F X
December Sampson,28:56.21,Moncton Aigles Bleu
Michelle MacDonald,29:06.37,Acadia
Emma Gillespie,30:33.51,Acadia
Grace Weaver,30:59.96,UNB Reds
Hannah Scott,31:10.19,Moncton Aigles Bleu
Alaina Mejia,31:40.18,St. Thomas Tommies
Madison Cole,31:53.17,Husson University
Kelly Broe,31:55.84,Husson University
Myriam Cormier,32:01.06,Moncton Aigles Bleu
Katherine Camire,32:05.15,Husson University
Mamie McGinn,32:40.46,Acadia
Jessica Dessert,32:56.48,Husson University
Amy Lynn Grant,33:01.96,Moncton Aigles Bleu
Laurence Guitard,33:22.43,Moncton Aigles Bleu
Shannon Staples,33:28.87,Husson University
Aricca Fraser,34:13.12,UPEI Panthers
Caroline Bujold,34:27.00,Moncton Aigles Bleu
Jensen Elliott,34:50.04,St. Thomas Tommies
Kaitlin Prescott,34:59.25,Husson University
Amanda Marcus,35:21.23,Husson University
Pascale Richard,38:29.45,Moncton Aigles Bleu
Jessica Giffen,39:24.37,Husson University
