name,time,team
Alex Neuffer,26:47.32,St. F X
Lee Weselius,27:00.90,UPEI Panthers
Michael Colford,27:06.40,UNB Reds
Paul MacLellan,27:38.25,St. F X
Callum Drever,27:41.68,Dalhousie Tigers
James Cromack,27:51.44,Dalhousie Tigers
Isaac Cull,28:02.87,UNB Reds
Trent Lynds,28:18.47,Dalhousie Tigers
Michael Rogers,28:22.49,Dalhousie Tigers
Edward MacDonald,28:32.64,St. F X
Trevor Morrison,28:48.68,UNB Reds
Jacob Halloran,28:53.10,Dalhousie Tigers
Ryan Merrett,28:53.84,UPEI Panthers
Jeremy Thompson,28:54.44,UPEI Panthers
Nassim Bousmaha,29:10.02,Moncton Aigles Bleu
Addison Derhak,29:15.26,St. F X
Colin Long,29:22.19,Dalhousie Tigers
Dan Maguire,29:33.84,Dalhousie Tigers
Jonah Shankel,29:38.39,St. F X
Ian Verschoor,29:42.78,UNB Reds
Zach Hartman,29:49.91,Husson University
Brandon Higgenbotham,29:58.62,UPEI Panthers
Ben Tremblay,30:03.44,UNB Reds
Bryan Thomas,30:07.21,Moncton Aigles Bleu
Alec Brown,30:12.04,UPEI Panthers
Shayne Dobson,30:16.84,Moncton Aigles Bleu
Peter McQuaid,30:19.17,UPEI Panthers
Dawson Nancekievil,30:25.88,UNB Reds
Ryan Fraccaro,30:27.81,St. Mary's Huskies
Jacob Ezeard,30:29.87,UPEI Panthers
Ian MacDonald,30:34.12,St. Mary's Huskies
Alec Freeman,30:49.64,Dalhousie Tigers
Aiden Canning,30:52.85,St. F X
Stephen Goodyear,30:57.44,St. Mary's Huskies
Chris Pomerleau,30:59.38,Husson University
Mason Maxwell,31:01.31,Dalhousie Tigers
Joseph Gay,31:28.06,Husson University
Alexi Roy,31:46.70,UNB Reds
Mitch Spragg,31:49.15,UNB Reds
Alex Steeves,31:55.21,St. Mary's Huskies
Ryan Terry,32:18.71,St. Thomas Tommies
Aaron MacDonald,32:22.58,St. Mary's Huskies
Patrick Fletcher,32:26.59,UPEI Panthers
Chris Lee,33:06.81,St. Mary's Huskies
Christian Haché,33:24.81,Moncton Aigles Bleu
Alexandre Leclair,33:56.43,Moncton Aigles Bleu
Darcy Norton,34:14.64,UPEI Panthers
Patrick Welch,34:31.32,Husson University
Derek Hawes,37:36.19,Husson University
Stephen Seviour,37:38.67,UPEI Panthers
Adam Hitchcock,37:52.34,Husson University
Cayd Wortman,39:51.51,Husson University
