name,time,team
Yves Sikubwabo,31:14.54,Laval Rouge et Or
Connor Black,31:18.15,Guelph Gryphons
Ben Carson,31:32.46,Western Mustangs
Russell Pennock,31:36.35,Calgary Dinos
Alexander James,31:37.41,Calgary Dinos
Dany Racine,31:40.32,Laval Rouge et Or
Eric Wynands,31:42.25,Queen's Gaels
Sergio Raez Villanueva,31:43.42,McMaster Marauders
Mark Patton,31:44.23,Guelph Gryphons
Angus Rawling,31:45.21,St. F X
Shawn Master,31:48.57,Windsor Lancers
Declan White,31:50.24,Trinity Western Spartans
Andrew Nebel,31:50.66,Windsor Lancers
Stefan Daniel,31:51.67,Calgary Dinos
Andrew Shepherd,31:56.37,Guelph Gryphons
Benjamin Workman,31:57.77,Guelph Gryphons
Jean-Simon Desgagnes,31:59.70,Laval Rouge et Or
Braydon Clarke,31:59.93,Guelph Gryphons
Joshua McGillivray,32:00.27,McMaster Marauders
Max Turek,32:00.37,McMaster Marauders
Brandon Vail,32:01.79,Victoria Vikes
Jeffrey Tweedle,32:03.34,McMaster Marauders
Adam Strueby,32:03.42,Regina Cougars
Caleb De Jong,32:03.71,Trinity Western Spartans
Jonathan Favero,32:04.74,McMaster Marauders
Benjamin Weir,32:05.51,Victoria Vikes
Eric Lutz,32:05.55,Calgary Dinos
Alex Neuffer,32:08.30,St. F X
Joe Kagumba,32:09.73,Windsor Lancers
Ryan Grieco,32:10.61,Calgary Dinos
Cal Dewolfe,32:11.35,Dalhousie Tigers
Nicolas Morin,32:11.72,Laval Rouge et Or
Robert Lawand,32:12.09,Toronto Varsity Blues
Mark Schmidt,32:14.60,Queen's Gaels
Rob Kanko,32:15.61,Queen's Gaels
Keven Bedard,32:15.94,Laval Rouge et Or
Alex Wilkie,32:16.76,Queen's Gaels
Joshua Kozelj,32:18.07,Victoria Vikes
Lee Wesselius,32:18.37,UPEI Panthers
Mitchell Ubene,32:19.50,Guelph Gryphons
Francois Jarry,32:20.80,McGill Redbirds
Brett Crowley,32:21.39,Queen's Gaels
Alexander Eiswerth,32:22.25,Regina Cougars
Kieran McDonald,32:23.02,Alberta Golden Bears
Jelmer Van Den Hadelkamp,32:24.44,Brock Badgers
Marc Turmel,32:25.49,Regina Cougars
Andrew Peverill,32:27.30,St. Mary's Huskies
Levi Neufeld,32:29.74,Trinity Western Spartans
Derrick Evans,32:32.44,Victoria Vikes
Evan Yarmuch,32:33.65,Calgary Dinos
Arthur Deloignon,32:33.81,Montréal Carabins
James Lam,32:34.94,Trinity Western Spartans
Patrick Rouleau,32:35.71,Laval Rouge et Or
Mitchell Kirby,32:36.60,Queen's Gaels
Abduselam Yussuf,32:37.16,Manitoba Bisons
Joshua Kellier,32:38.68,Guelph Gryphons
Jonathan Toombs,32:38.90,Victoria Vikes
Royden Radowits,32:40.40,Alberta Golden Bears
Patrick Deane,32:40.96,McMaster Marauders
Kevin Robertson,32:47.73,Montréal Carabins
Tyler De Jong,32:49.71,Trinity Western Spartans
John Christian MacGillivr,32:50.98,McMaster Marauders
Paul MacLellan,32:54.68,St. F X
Michael Pesce,32:56.95,Windsor Lancers
Nick D'Alessandro,33:03.55,Windsor Lancers
Daniel Heschuk,33:05.98,Manitoba Bisons
Joey Stel,33:07.54,Queen's Gaels
Miles Matthews,33:14.93,Windsor Lancers
Joe Sheridan,33:18.00,Wilfrid Laurier Golden Hawks
Maxime Lopes,33:19.64,Université du Québec à Montréal Les Citadins
Angus Brown,33:21.33,Victoria Vikes
Matthew Johnson,33:23.33,Regina Cougars
Greg Ord,33:23.55,Calgary Dinos
Jack Sheffar,33:24.25,Western Mustangs
Marc-Antoine Senneville,33:24.60,Université du Québec à Trois-Rivières Les Patriote
Zach Frangos,33:25.22,Toronto Varsity Blues
Mark Lawley,33:26.82,Alberta Golden Bears
Callum Drever,33:27.08,Dalhousie Tigers
Adam Marshall,33:27.67,Trinity Western Spartans
Matthew Noseworthy,33:30.10,Victoria Vikes
Alex Berhe,33:33.87,Ottawa Gee-Gees
Carter Wood,33:35.10,Western Mustangs
Simon Berube,33:41.07,Manitoba Bisons
Ziyad El-Hankouri,33:42.17,Ottawa Gee-Gees
Gregory Hetterley,33:45.59,Regina Cougars
Jesse Chen,33:46.38,Toronto Varsity Blues
Will Russell,33:49.96,Dalhousie Tigers
Santiago Bessai,33:50.18,McGill Redbirds
Graeme Wach,33:53.56,Dalhousie Tigers
Jacob Rothera,33:53.83,Windsor Lancers
Samuel Kinahan,33:54.69,Toronto Varsity Blues
Nicolas Gilbert,33:55.10,Université du Québec à Trois-Rivières Les Patriote
Alex Hoerner,33:56.20,Waterloo Warriors
Patrique Bulloch,33:57.82,Manitoba Bisons
Deric Kornelson,33:57.99,Manitoba Bisons
Nick Wood,34:00.26,Toronto Varsity Blues
Thomas De Vries,34:02.22,Western Mustangs
Riley Stuermer,34:02.62,Alberta Golden Bears
Dan Hilbers,34:03.45,Wilfrid Laurier Golden Hawks
Aaron Boyle,34:03.74,MacEwan Griffins
Sandy Freeland,34:04.60,Wilfrid Laurier Golden Hawks
Mathieu Desmarais,34:05.93,Manitoba Bisons
Scott Kohlman,34:08.76,MacEwan Griffins
James Cromack,34:09.29,Dalhousie Tigers
Pier-Luc Roy,34:21.60,Montréal Carabins
Luke Hanson,34:22.41,Alberta Golden Bears
Liam Donnelly,34:22.94,Western Mustangs
Felix Lawson,34:25.97,Waterloo Warriors
Samuel Poher,34:26.21,Laval Rouge et Or
Ryan Heney,34:27.23,Waterloo Warriors
Michael Charanduk,34:29.54,Wilfrid Laurier Golden Hawks
Charles Khazoom,34:29.83,Sherbrooke Vert & Or
Angus Macintosh,34:33.23,Dalhousie Tigers
Louis Bastenier-Boutin,34:34.21,Montréal Carabins
Mike Rogers,34:36.74,Dalhousie Tigers
Jake Carroll,34:42.65,Toronto Varsity Blues
Ian O'Donnell,34:44.43,Waterloo Warriors
Jonathan Peverill,34:45.26,St. Mary's Huskies
Joseph Hardy,34:53.38,Wilfrid Laurier Golden Hawks
Olivier Cyr,34:56.85,Montréal Carabins
Tony Kiprop,35:03.66,Thompson Rivers Wolfpack
Isaiah Frielink,35:03.96,Western Mustangs
Quinn Legare,35:06.23,Regina Cougars
Alexander Bimm,35:08.19,Toronto Varsity Blues
Troy Morgan,35:13.12,Thompson Rivers Wolfpack
Robert Chauvet,35:16.00,Alberta Golden Bears
Nick Bedi,35:22.46,Waterloo Warriors
Brendan Masters,35:25.94,Wilfrid Laurier Golden Hawks
Louis-Olivier Brassard,35:31.28,Montréal Carabins
Connor Boyd,35:31.69,Manitoba Bisons
Rhys Desmond,35:45.67,Waterloo Warriors
Alexander McBride,35:54.74,Regina Cougars
Bryan Thomas,36:04.82,Moncton Aigles Bleu
Conlan Sprickerhoff,36:20.31,Thompson Rivers Wolfpack
Jordan Gin,36:37.21,Trinity Western Spartans
Jean-Michel Robichaud,36:52.39,Montréal Carabins
Chris Moore,37:04.06,Waterloo Warriors
