name,time,team
Sasha Gollish,27:36.27,Toronto Varsity Blues
Claire Sumner,27:45.95,Queen's Gaels
Branna MacDougall,27:50.56,Queen's Gaels
Regan Yee,27:54.95,Trinity Western Spartans
Kristina Popadich,27:55.99,Western Mustangs
Lucia Stafford,28:17.29,Toronto Varsity Blues
Aurelie Dube-Lavoie,28:21.52,Laval Rouge et Or
Melissa Jones,28:24.69,Calgary Dinos
Stef Smith,28:27.36,Windsor Lancers
Danielle Jossinet,28:47.01,Guelph Gryphons
Courtney Hufsmith,28:52.88,Saskatchewan Huskies
Savanna Jordan,28:54.72,Dalhousie Tigers
Meggie Dargis,28:58.47,McGill Redbirds
Alison Hooper,29:02.18,Victoria Vikes
Paula Findlay,29:07.85,Alberta Pandas
Chloe Hegland,29:14.37,Victoria Vikes
Jazz Shukla,29:17.95,Toronto Varsity Blues
Valerie Belanger,29:22.23,Laval Rouge et Or
Sarah Wismer,29:26.77,Guelph Gryphons
Jessy Lacourse,29:33.23,Laval Rouge et Or
Hannah Woodhouse,29:49.19,Guelph Gryphons
Bettina Boucher,29:49.99,Wilfrid Laurier Golden Hawks
Melissa Caruso,29:54.31,McMaster Marauders
Madeleine Kelly,29:57.04,Toronto Varsity Blues
Elizabeth Hirsch,29:59.07,McGill Redbirds
Molly Steer,30:06.03,Queen's Gaels
Emily Nowak,30:06.60,McMaster Marauders
Christiana Agustin,30:09.87,Toronto Varsity Blues
Emma Edmonds,30:13.27,Victoria Vikes
Jenna Van Vliet,30:16.71,Carleton Ravens
Chloe Hewitt,30:18.38,Victoria Vikes
Taylor Sills,30:19.16,Queen's Gaels
Hannah Leggatt,30:19.33,MacEwan Griffins
Amy Stephenson,30:19.35,Queen's Gaels
Anne-Marie Gauthier,30:19.53,Laval Rouge et Or
Sofia Butseva,30:19.78,McGill Redbirds
Celine Marks,30:22.90,McGill Redbirds
Catherine Gagne,30:24.28,Laval Rouge et Or
Jouen Chang,30:25.68,Trinity Western Spartans
Gabrielle Desharnais-Pref,30:27.52,Sherbrooke Vert & Or
Emma Bibault,30:27.96,Victoria Vikes
Mikaela Smart,30:30.06,Trinity Western Spartans
Erin Mawhinney,30:31.52,McMaster Marauders
Anushree Patel,30:32.10,Alberta Pandas
Michelle Reddy,30:33.56,Dalhousie Tigers
Emma Dagenais,30:34.05,Sherbrooke Vert & Or
Dana Earhart,30:36.64,Guelph Gryphons
Rachel Faulds,30:37.96,McMaster Marauders
Jenny Bottomley,30:39.20,Laurentian Voyageurs
Joanna Williams,30:41.91,Trinity Western Spartans
Rebekah Sass,30:42.31,Manitoba Bisons
Francesca Maltais,30:45.50,Guelph Gryphons
Kathryn Chehowy,30:45.75,Calgary Dinos
Andie Wood,30:48.30,Victoria Vikes
Elisabeth Boutin,30:48.84,Université du Québec à Montréal Les Citadins
