name,time,team
Brogan MacDougall,27:48.6,Queen's Gaels
Aurelie Dube-Lavoie,28:02.1,Laval Rouge et Or
Catherine Beauchemin,28:05.4,Laval Rouge et Or
Danielle Jossinet,28:11.8,Guelph Gryphons
Melissa Jones,28:28.7,Calgary Dinos
Anne-Marie Comeau,28:31.8,Laval Rouge et Or
Lacourse Jessy,28:33.5,Laval Rouge et Or
Alison Irvine,28:34.0,Victoria Vikes
Branna MacDougall,28:45.8,Queen's Gaels
Hannah Woodhouse,28:49.4,Guelph Gryphons
Courtney Hufsmith,29:00.4,Saskatchewan Huskies
Meggie Dargis,29:01.2,McGill Martlets
Makenna Fitzgerald,29:07.5,Queen's Gaels
Nicola Symonds,29:09.6,UBC Thunderbirds
Taylor Sills,29:12.3,Queen's Gaels
Sarah MacArthur,29:15.1,UBC Thunderbirds
Emma Hubbard,29:17.2,Guelph Gryphons
Veronika Fagan,29:18.8,UBCO Heat
Michelle Reddy,29:28.7,Dalhousie Tigers
Savanna Jordan,29:33.3,Dalhousie Tigers
Elizabeth Hirsch,29:41.1,McGill Martlets
Chloe Hegland,29:41.6,Victoria Vikes
Jenny Bottomley,29:49.3,Laurentian Voyageurs
Laura Yantha,29:57.7,Queen's Gaels
Rebekkah Pyle,30:02.2,Lakehead Thunderwolves
Sarah Cranmer-Byng,30:02.9,Wilfrid Laurier Golden Hawks
Gabrielle Joffe,30:03.6,UBC Thunderbirds
Carol-Ann MacDonald,30:04.2,Moncton Aigles Bleu
Dana Earhart,30:05.3,Guelph Gryphons
Christina Sevsek,30:07.0,Trinity Western Spartans
Jouen Chang,30:07.2,Trinity Western Spartans
Katie Robinson,30:10.5,Acadia
Zoe Burke,30:12.2,Western Mustangs
Sophie Watts,30:14.6,Dalhousie Tigers
Camille Brisson,30:16.5,Sherbrooke Vert & Or
Megan Crocker,30:17.6,Laurentian Voyageurs
Jade Berube,30:18.5,Laval Rouge et Or
Celine Marks,30:18.7,McGill Martlets
Emma Steele,30:19.8,MacEwan Griffins
Jenna Van Vilet,30:24.0,Carleton Ravens
Kate Anderson,30:25.1,Calgary Dinos
Meghan Manor,30:26.1,Calgary Dinos
Kate Current,30:27.0,Western Mustangs
