name,time,team
Connor Black,31:13.0,Guelph Gryphons
Jean-Simon Desgagnes,31:13.6,Laval Rouge et Or
Russell Pennock,31:16.2,Calgary Dinos
John Gay,31:17.0,UBC Thunderbirds
Isaiah Frielink,31:18.5,Western Mustangs
Caleb De Jong,31:25.3,Trinity Western Spartans
Nick Colyn,31:28.3,Trinity Western Spartans
Jack Sheffar,31:33.1,Western Mustangs
Eric Lutz,31:34.1,Calgary Dinos
Stefan Daniel,31:36.7,Calgary Dinos
Max Turek,31:38.0,McMaster Marauders
Mitchell Delange,31:42.0,Queen's Gaels
Alexis Lepage,31:44.0,Laval Rouge et Or
Alex Drover,31:45.1,McMaster Marauders
Angus Rawling,31:52.2,St. F X
Mitchell Ubene,31:55.7,Guelph Gryphons
Mark Patton,31:56.6,Guelph Gryphons
Jonathan Favero,31:58.6,McMaster Marauders
Andrew Peverill,31:58.6,St. Mary's Huskies
Robert Lawand,31:59.6,Toronto Varsity Blues
Ryan Grieco,32:01.2,Calgary Dinos
Mostafa Elkurdy,32:04.9,Guelph Gryphons
Christopher Busset,32:06.4,Laval Rouge et Or
Sergio Raez Villanueva,32:06.6,McMaster Marauders
Alex Neuffer,32:06.8,St. F X
Matt Flood,32:09.4,Queen's Gaels
Christian MacGillivray,32:12.5,McMaster Marauders
Daniel Heschuk,32:14.8,Manitoba Bisons
Josh Kozelj,32:16.4,Victoria Vikes
Ben Carson,32:17.6,Western Mustangs
Mitchell Kirby,32:22.4,Queen's Gaels
Tyler Kiyonaga,32:24.1,Calgary Dinos
Andrew Shepherd,32:24.1,Guelph Gryphons
Ruben Sansom,32:27.4,Queen's Gaels
Keven Bedard,32:28.5,Laval Rouge et Or
James Lam,32:30.7,Trinity Western Spartans
Josh Kellier,32:31.4,Guelph Gryphons
Craig Klomp,32:33.4,Toronto Varsity Blues
Paul Sagriff,32:34.7,Laurentian Voyageurs
Dylan Alick,32:34.9,McMaster Marauders
Liam Passi,32:37.3,Laurentian Voyageurs
Thomas Broatch,32:37.9,UBC Thunderbirds
Thomas Windisch,32:38.4,Sherbrooke Vert & Or
Riley Stuermer,32:39.3,Alberta Golden Bears
Simon Berube,32:41.4,Manitoba Bisons
Brett Crowley,32:41.7,Queen's Gaels
Benjamin Workman,32:42.4,Guelph Gryphons
Rob Kanko,32:42.9,Queen's Gaels
Chet Goerzen,32:45.0,Victoria Vikes
Ben Weir,32:45.8,Victoria Vikes
Maximus Thiessen,32:46.7,Calgary Dinos
Joe Sheridan,32:47.2,Wilfrid Laurier Golden Hawks
Tyler De Jong,32:47.7,Trinity Western Spartans
Jonathan Toombs,32:50.0,Victoria Vikes
Matt Sheeler,32:51.8,Western Mustangs
Sam Kinahan,32:54.8,Toronto Varsity Blues
Tyler Dozzi,32:55.4,UBC Thunderbirds
Samuel Poher,32:58.8,Laval Rouge et Or
Xavier Grenier-Talavera,32:59.6,Concordia Stingers
Joshua McGillivray,33:00.0,McMaster Marauders
Derrick Evans,33:00.9,Victoria Vikes
Felix Lapointe-Pilote,33:03.9,Laval Rouge et Or
Rhys Kramer,33:06.1,UBC Thunderbirds
Jonathan Guidinger,33:06.3,Calgary Dinos
Deric Kornelson,33:07.6,Manitoba Bisons
Nathan Deghan,33:07.7,Queen's Gaels
