name,time,team
Kieran Lumb,30:42,UBC Thunderbirds
Mitchell Ubene,30:49,Guelph Gryphons
Russell Pennock,30:55,Calgary Dinos
Matthew Travaglini,30:58,Calgary Dinos
Alex Drover,30:59,McMaster Marauders
Max Turek,31:02,McMaster Marauders
Joshua Martin,31:05,Windsor Lancers
Kalum Delaney,31:08,Guelph Gryphons
Andrew Davies,31:09,McMaster Marauders
Mitchell Delange,31:10,Queen's Gaels
John Perrier,31:12,Guelph Gryphons
Stefan Daniel,31:15,Calgary Dinos
Thomas Broatch,31:17,UBC Thunderbirds
Felix Lapointe-Pilote,31:19,Laval Rouge et Or
Rob Kanko,31:23,Queen's Gaels
Royden Radowits,31:26,Alberta Golden Bears
Jonathan Tedeschi,31:27,Laval Rouge et Or
Jean-Simon Desgagnes,31:29,Laval Rouge et Or
Andrew Peverill,31:30,St. Mary's Huskies
Eric Lutz,31:32,Calgary Dinos
Kevin Robertson,31:35,Montréal Carabins
Tyler Dozzi,31:37,UBC Thunderbirds
Thomas Windisch,31:39,Sherbrooke Vert & Or
Mark Patton,31:45,Guelph Gryphons
Matthew Hope,31:46,Alberta Golden Bears
Maximus Thiessen,31:51,Calgary Dinos
Josh Zilles,31:55,Windsor Lancers
Nick D'Alessandro,31:57,Windsor Lancers
Joshua McGillivray,31:58,McMaster Marauders
Isaiah Frielink,32:03,Western Mustangs
Alexis Lepage,32:08,Laval Rouge et Or
Samuel Poher,32:09,Laval Rouge et Or
Brandon Vail,32:10,Victoria Vikes
Nick Colyn,32:12,Trinity Western Spartans
Evan Ubene,32:13,McMaster Marauders
Liam Passi,32:15,Laurentian Voyageurs
Chet Goerzen,32:16,Victoria Vikes
Brandon Simone,32:16,Windsor Lancers
Gavin Hughes,32:17,Guelph Gryphons
Christopher Busset,32:19,Laval Rouge et Or
Joshua Kozelj,32:21,Victoria Vikes
Nathan Dehghan,32:21,Queen's Gaels
Marcel Scheele,32:22,Western Mustangs
Mitchell Cauchi,32:23,Windsor Lancers
Joshua Kellier,32:25,Guelph Gryphons
Mitchell Kirby,32:26,Queen's Gaels
Riley Stuermer,32:29,Alberta Golden Bears
Dylan Alick,32:30,McMaster Marauders
Nicholas Bannon,32:33,Guelph Gryphons
Samuel Kinahan,32:35,Toronto Varsity Blues
Jonathan Guidinger,32:37,Calgary Dinos
Robert Chauvet,32:39,Alberta Golden Bears
Jonathan Rioux,32:39,Windsor Lancers
Sergio Raez Villanueva,32:40,McMaster Marauders
Alexander James,32:40,Calgary Dinos
Christian Gravel,32:42,UBC Thunderbirds
Rohan Nowbotsing,32:43,Toronto Varsity Blues
Marc-Andre Trudeau-Perron,32:45,Montréal Carabins
Ethan Loucks,32:46,Western Mustangs
Simon Berube,32:47,Manitoba Bisons
Cole Dinsdale,32:48,UBC Thunderbirds
Craig Klomp,32:51,Toronto Varsity Blues
Cameron Cira,32:51,Toronto Varsity Blues
Joshua Woolgar,32:52,Trinity Western Spartans
Mathew Pardo,32:53,Queen's Gaels
Isaac Cull,32:54,UNB Reds
David Girardin,32:57,Laval Rouge et Or
Eric Gareau,32:58,Laurentian Voyageurs
Dominic Perreault,32:58,Sherbrooke Vert & Or
Hudson Grimshaw-Surette,32:59,Dalhousie Tigers
Paul MacLellan,33:00,St. F X
Jonathan Goodridge,33:00,Dalhousie Tigers
Nick Robertson,33:03,Dalhousie Tigers
Michael Mitchell,33:03,UBCO Heat
Keon Wallingford,33:05,Laurentian Voyageurs
Nicolas Gilbert,33:05,Université du Québec à Trois-Rivières Les Patriote
Mitchell Heyink,33:06,Windsor Lancers
Miles Brackenbury,33:09,Queen's Gaels
Will Cox,33:10,Dalhousie Tigers
Deric Kornelson,33:13,Manitoba Bisons
Jack Boden,33:16,Victoria Vikes
Tyson Keddie,33:17,Alberta Golden Bears
Gabe Van Hezewijk,33:21,Victoria Vikes
Logan Arthur,33:22,Alberta Golden Bears
Matt Flood,33:24,Queen's Gaels
Jake Carroll,33:26,Toronto Varsity Blues
Levi Moulton,33:28,Memorial Sea-Hawks
Jacob Halloran,33:31,Dalhousie Tigers
Will Riley,33:36,UBC Thunderbirds
Graydon Staples,33:38,St. F X
Matthew Johnson,33:40,Regina Cougars
Cassian Murray-White,33:42,Alberta Golden Bears
Jrmy Courchesne,33:42,Université du Québec à Trois-Rivières Les Patriote
Jan Fiedler,33:43,Western Mustangs
Caleb Beland,33:45,Laurentian Voyageurs
Chase Canty,33:48,Laurentian Voyageurs
Callum Drever,33:49,Dalhousie Tigers
Gabriel Desbiens,33:51,Montréal Carabins
Nicholas Roberts,33:52,Ottawa Gee-Gees
Jacob Benoit,33:52,St. F X
Tanner Geary,33:55,UBC Thunderbirds
Nickolas Kosmenko,34:01,Manitoba Bisons
Brendan Hoff,34:01,Victoria Vikes
Erik Ohrling,34:03,Western Mustangs
Greg Danayan,34:08,Western Mustangs
Dilan Brar,34:09,Western Mustangs
Luc Gallant,34:09,St. F X
Nick Cherenfant,34:11,Université du Québec à Montréal Les Citadins
Addison Derhak,34:12,St. F X
Antoine Veilleux,34:13,Sherbrooke Vert & Or
Olivier Ouellet,34:16,Sherbrooke Vert & Or
Alexandre Fishbein-Ouimette,34:19,Laurentian Voyageurs
Daniel Hilbers,34:27,Wilfrid Laurier Golden Hawks
Mike Rogers,34:28,Dalhousie Tigers
Alexander Farlinger,34:29,Victoria Vikes
Owen Harris,34:31,UBCO Heat
Ben Devito,34:31,Toronto Varsity Blues
Evan Knight,34:34,St. F X
Joey Hardy,34:34,Wilfrid Laurier Golden Hawks
Melvyn Bracon,34:36,Montréal Carabins
Jack Stanley,34:38,Toronto Varsity Blues
Calvin Reimer,34:39,Manitoba Bisons
Findlay Day,34:42,St. F X
Tristan Lalumire-Roberge,34:49,Sherbrooke Vert & Or
Eric Hill,34:51,Wilfrid Laurier Golden Hawks
