name,time,team
Jessy Lacourse,00:28:25.5,Laval Rouge et Or
Lauren McNeil,00:28:28.2,UBCO Heat
Catherine Beauchemin,00:28:41.8,Laval Rouge et Or
Anne-Marie Comeau,00:28:43.2,Laval Rouge et Or
Kaitlyn Harrison,00:28:45.6,Saskatchewan Huskies
Joanna Brown,00:28:47.6,UBCO Heat
Jazz Shukla,00:29:08.0,Toronto Varsity Blues
Kiana Gibson,00:29:09.0,Guelph Gryphons
Jade Bérubé,00:29:13.3,Laval Rouge et Or
Olivia Roussel,00:29:17.3,Guelph Gryphons
Heidi Ohrling,00:29:30.4,Western Mustangs
Mackenzie Campbell,00:29:35.5,UBC Thunderbirds
Siona Chisholm,00:29:39.1,St. F X
Zoe Burke,00:29:40.2,Western Mustangs
Olivia Cooper,00:29:47.3,Alberta Pandas
Beatrix Maddocks,00:29:52.0,Guelph Gryphons
Zoë Doorenspleet,00:29:52.5,UBC Thunderbirds
Sara-Pier Paquet,00:29:52.5,Laval Rouge et Or
Kate Current,00:29:53.9,Western Mustangs
Marie-Ève Turcotte,00:30:04.6,Laval Rouge et Or
Christina Esposito,00:30:08.3,Toronto Varsity Blues
Glynis Sim,00:30:11.1,UBC Thunderbirds
Sadie-Jane Hickson,00:30:12.2,Guelph Gryphons
Jasmine Feddema,00:30:12.6,Alberta Pandas
Georgia Ginther,00:30:16.5,Victoria Vikes
Jenna McFadyen,00:30:18.8,Saskatchewan Huskies
Allison Grajczyk-Jelinski,00:30:19.7,Saskatchewan Huskies
Mawhinney Erin,00:30:23.6,McMaster Marauders
Courtney Hufsmith,00:30:29.3,Saskatchewan Huskies
Stephanie Ryall,00:30:30.1,Western Mustangs
Mairin Canning,00:30:30.3,St. F X
Sophie Coutts,00:30:32.1,Western Mustangs
Murielle Aglot,00:30:32.4,Montréal Carabins
Chloe Fleurent-Gregoire,00:30:33.4,McGill Martlets
Sihaam Khalid,00:30:35.5,Calgary Dinos
Annika Austin,00:30:35.6,UBC Thunderbirds
Jamie Hennessey,00:30:43.9,UBC Thunderbirds
Tori Bouck,00:30:44.3,Queen's Gaels
Camille Galloway,00:30:45.5,UBCO Heat
Forbes Caroline,00:30:46.3,McMaster Marauders
Lamb Victoria,00:30:47.0,McMaster Marauders
Kelsey Hogan,00:30:49.0,Dalhousie Tigers
Katherine Newlove,00:30:49.2,UBC Thunderbirds
Myriam Poirier,00:30:51.6,Montréal Carabins
Elissa Frielink,00:30:52.8,Victoria Vikes
Goodjohn Hannah,00:30:53.8,McMaster Marauders
Élisa Tripotin,00:30:55.2,Université du Québec à Montréal Les Citadins
Tamara Goddard,00:30:55.6,Queen's Gaels
Laurence Gauthier,00:30:56.4,Sherbrooke Vert & Or
Delphine Hansen,00:30:56.8,Montréal Carabins
Nolan Sarah,00:31:02.7,McMaster Marauders
Natalie Tsang,00:31:03.7,Waterloo Warriors
Jeanne Carrier Carpentier,00:31:05.4,Montréal Carabins
Chloe Hewitt,00:31:07.0,Western Mustangs
Claudia Heeney,00:31:11.1,Waterloo Warriors
Waddington Emma,00:31:12.9,McMaster Marauders
Eileen Benoit,00:31:13.1,St. F X
Aidan MacDonald,00:31:13.2,St. F X
Camille Riopel,00:31:14.6,Laval Rouge et Or
Avery Pearson,00:31:15.6,Saskatchewan Huskies
Lisanne Guérin,00:31:16.9,Université du Québec à Trois-Rivières Les Patriote
Eirlys Rauliuk Dunn,00:31:18.1,Guelph Gryphons
Manon Plouvier,00:31:20.9,Queen's Gaels
Amy Miller,00:31:22.9,Calgary Dinos
Allie Sandluck,00:31:23.5,St. F X
Natalia Bidulka,00:31:24.1,Saskatchewan Huskies
Jade Watson,00:31:29.6,Queen's Gaels
Hailee Morisseau,00:31:32.2,Manitoba Bisons
Chloe Coutts,00:31:32.9,Western Mustangs
Treleaven Kaitlyn,00:31:33.2,McMaster Marauders
Jouen Chang,00:31:36.3,Trinity Western Spartans
Sophie Levasseur,00:31:37.3,Toronto Varsity Blues
Laura Yantha,00:31:37.4,Queen's Gaels
Sandra Guga,00:31:42.1,Guelph Gryphons
