name,team,time
Max Turek,McMaster Marauders,24:21
Philippe Morneau-Cartier,Laval Rouge et Or,24:24
Andrew Davies,McMaster Marauders,24:31
Mitch Kirby,Queen's Gaels,24:35
Alex Drover,McMaster Marauders,24:42
Andrew Peverill,St. Mary's Huskies,24:47
Tyler Dozzi,UBC Thunderbirds,24:49
Jared Howse,UNB Reds,24:54
Nicholas Bannon,Guelph Gryphons,24:58
Matthew Beaudet,McGill Redbirds,25:02
Jacob Benoit,St. F X,25:04
Cameron Cira,Windsor Lancers,25:06
Jonathan Tedeschi,Laval Rouge et Or,25:10
Dylan Alick,McMaster Marauders,25:10
Riley Stuermer,Alberta Golden Bears,25:13
Sam Nusselder,McMaster Marauders,25:14
Ron MacLean,Alberta Golden Bears,25:17
Jude Wheeler-Dee,Queen's Gaels,25:20
John Perrier,UBC Thunderbirds,25:22
Marcel Scheele,Western Mustangs,25:24
Roman Mironov,Queen's Gaels,25:26
Christian Rachner,Guelph Gryphons,25:28
Thomas Laviolette,Montréal Carabins,25:28
Daniel Rosen,Dalhousie Tigers,25:30
Will Cox,Dalhousie Tigers,25:30
Jonathan Rioux,Windsor Lancers,25:31
Hudson Grimshaw-Surette,Dalhousie Tigers,25:32
Anton Kuipers,Victoria Vikes,25:33
Tom Secheyron,McGill Redbirds,25:35
Rudy Saal,Laval Rouge et Or,25:36
Félix Quirion - R,Sherbrooke Vert & Or,25:37
Bill Makwae,UBC Thunderbirds,25:38
Miles Brackenbury,Queen's Gaels,25:39
David Girardin,Laval Rouge et Or,25:40
Levi Moulton,Memorial Sea-Hawks,25:42
Anthony Antaya,Saskatchewan Huskies,25:43
Jaiveer Tiwana,UBC Thunderbirds,25:43
Mark Royce,Western Mustangs,25:45
Jaxon Kuchar - R,Victoria Vikes,25:45
Erik Ohrling,Western Mustangs,25:46
Ben Fox,Western Mustangs,25:47
Jett Dobson,Lakehead Thunderwolves,25:47
Andre Alie-Lamarche,Ottawa Gee-Gees,25:48
Raphael Giguere,Laval Rouge et Or,25:49
Riley Miller,UBC Thunderbirds,25:51
Connor Macintosh,Lakehead Thunderwolves,25:53
Ben Shore,Toronto Varsity Blues,25:54
Max Davies,Guelph Gryphons,25:55
Alec Purnell,Guelph Gryphons,25:55
Alexander Webster,Saskatchewan Huskies,25:55
Nick Robertson,Dalhousie Tigers,25:56
Gaetano Pocchi - R,Guelph Gryphons,25:56
Gavin Hughes,Guelph Gryphons,25:59
Liam Dwyer,UBC Thunderbirds,26:00
Thibault Niederhauser,UBC Thunderbirds,26:00
Jack Lehto - R,Guelph Gryphons,26:01
Joshua Woolgar,Trinity Western Spartans,26:02
Tion McLeish - R,Victoria Vikes,26:04
Noah El Ramawi-Fine,McGill Redbirds,26:04
Cassian Murray-White,Alberta Golden Bears,26:07
Jack Stanley,McGill Redbirds,26:08
Ben Miske,Queen's Gaels,26:08
Leif Buxton,Lakehead Thunderwolves,26:08
Mitchell Kean,UNB Reds,26:11
Benjamin Perrett,UNB Reds,26:13
Daniel Damian,Victoria Vikes,26:14
Mathis Richard - R,Sherbrooke Vert & Or,26:14
Max Cook - R,Calgary Dinos,26:15
Rowen Suchoski - R,Victoria Vikes,26:15
Dan Coolican - R,Queen's Gaels,26:18
Will Cebuliak,Alberta Golden Bears,26:23
Chance Blackstone,UNB Reds,26:24
Aidan Goslett,Dalhousie Tigers,26:25
Andrew Lehman,Lakehead Thunderwolves,26:25
Liam McCullagh - R,St. F X,26:26
Jérémy Courchesne,Université du Québec à Trois-Rivières Les Patriote,26:30
Sam Lamont,UNB Reds,26:30
Paul Molinier,Sherbrooke Vert & Or,26:31
Antoine Minfray,Laval Rouge et Or,26:32
Frédérick Turgeon,Sherbrooke Vert & Or,26:33
Luc Gallant,St. F X,26:34
Mitch De Lange,Western Mustangs,26:35
Rory McGarvey,St. Mary's Huskies,26:38
Treyton Pernitsky,Saskatchewan Huskies,26:39
Quincy Fast,Saskatchewan Huskies,26:40
Nicholas Roberts,Ottawa Gee-Gees,26:41
Brandon Raftis,Toronto Varsity Blues,26:41
Antoine Veilleux,Sherbrooke Vert & Or,26:42
Anton Mlynczk,Toronto Varsity Blues,26:42
William Boyle,UNB Reds,26:43
Jason Ushko,Alberta Golden Bears,26:44
David Marchant,McMaster Marauders,26:45
Teagan Scott,St. Mary's Huskies,26:47
Chris Hoftyzer,McMaster Marauders,26:47
Logan Arthur,Alberta Golden Bears,26:48
Jeremie Roy,Sherbrooke Vert & Or,26:49
Daniel Toneguzzi,Trinity Western Spartans,26:50
Felix Bedard,McGill Redbirds,26:50
Adrian Fournier,Ottawa Gee-Gees,26:51
Keithan Sivapragasam,Western Mustangs,26:52
Ben Seshadri,Victoria Vikes,26:53
Calvin Reimer,Manitoba Bisons,26:54
Jerome Jacques - R,McGill Redbirds,26:56
Tanner Hueglin - R,Queen's Gaels,26:56
Adrien Jean-Pierre,Montréal Carabins,26:58
Adam Huras,Waterloo Warriors,26:58
Simon Paccard,Sherbrooke Vert & Or,26:59
Liam Patterson - R,St. F X,27:02
Ben Good,St. F X,27:05
Marcus Ganz,Victoria Vikes,27:07
Eliott Heroux,Laval Rouge et Or,27:08
William McDonough,Lakehead Thunderwolves,27:11
Joshua Bateman,Calgary Dinos,27:14
Adam Pralat - R,Toronto Varsity Blues,27:16
Nick Cherenfant,Université du Québec à Montréal Les Citadins,27:18
Louis-Olivier Brassard,Montréal Carabins,27:19
David McNish,Calgary Dinos,27:19
Dylan Bauman,Saskatchewan Huskies,27:26
Luke Mawhinney,Windsor Lancers,27:26
Ethan Loucks,Western Mustangs,27:27
Jack O'Connell - R,St. F X,27:28
Loic Demarbre,Montréal Carabins,27:29
Sam Seshadri,Saskatchewan Huskies,27:32
Zach Sikka - R,Ottawa Gee-Gees,27:36
Andrew Carlson,Calgary Dinos,27:36
Lukas Rudaitis,Dalhousie Tigers,27:39
Jack Roberts,UPEI Panthers,27:40
Owen Moloney,Toronto Varsity Blues,27:41
Noah Defreyne,Memorial Sea-Hawks,27:45
Cameron Harris,UNB Reds,27:50
Jack Djondrc-Powell,Toronto Varsity Blues,27:52
Alec Freeman,Dalhousie Tigers,27:55
Paul Nunez,Toronto Varsity Blues,27:55
Luke MacDonald - R,St. F X,28:12
Ethan Langenberger,Calgary Dinos,28:12
Louis-Simon Guité,Montréal Carabins,28:16
Atsushi Satomura,Montréal Carabins,28:20
Lucien Louvet,McGill Redbirds,28:29
Nicholas Lightwood - R,Lakehead Thunderwolves,28:39
Nicolas Abanto Enns,Ottawa Gee-Gees,28:42
Kaden Nilson,Saskatchewan Huskies,28:48
Miguel Macedo Teran,Calgary Dinos,28:49
Nathan Gars - R,Montréal Carabins,28:51
Damien Canal,Moncton Aigles Bleu,28:55
Colin Warwick,Lakehead Thunderwolves,28:59
Braden Foley,Calgary Dinos,29:05
Fred Parent - R,Ottawa Gee-Gees,29:13
Julien Thibodeau,Moncton Aigles Bleu,29:14
Brendan Simone,Alberta Golden Bears,29:24
Alain Lavoie,Moncton Aigles Bleu,29:26
Joe Stewart,St. Mary's Huskies,30:03
Maxime Savoie,Moncton Aigles Bleu,30:17
Riley Fitzpatrick,UPEI Panthers,30:21
Jonathan Roy,Moncton Aigles Bleu,30:38
Yannick Dupuis - R,Moncton Aigles Bleu,30:49
Eli Ford,St. Mary's Huskies,31:05
Adrien Bouhtiauy,Moncton Aigles Bleu,33:07
