name,team,time
Glynis Sim,UBC Thunderbirds,28:19
Jessy Lacourse,Laval Rouge et Or,28:31
Kiana Gibson,UBC Thunderbirds,28:54
Sadie-Jane Hickson,Guelph Gryphons,29:02
Nina Whitford,Guelph Gryphons,29:04
Catherine Beauchemin,Laval Rouge et Or,29:13
Sophie Coutts,Western Mustangs,29:14
Joanna Brown,UBCO Heat,29:14
Olivia Roussel,Guelph Gryphons,29:18
Olivia Cooper,Alberta Pandas,29:31
Marley Beckett,UBC Thunderbirds,29:35
Jade Berube,Laval Rouge et Or,29:35
Erika Jordan,Western Mustangs,29:37
Sara-Pier Paquet,Laval Rouge et Or,29:42
Florence Caron,Laval Rouge et Or,29:46
Georgia Ginther,Victoria Vikes,29:50
Kyla Becker,UBC Thunderbirds,29:52
Holly MacGillivray,UBC Thunderbirds,29:54
Anna Carruthers,Western Mustangs,29:59
Murielle Aglot,Montréal Carabins,30:05
Claudia Heeney,Waterloo Warriors,30:05
Laurence Gauthier,Sherbrooke Vert & Or,30:09
Jamie Hennessey,UBC Thunderbirds,30:09
Manon Plouvier,Queen's Gaels,30:09
Kaitlyn Harrison,Saskatchewan Huskies,30:10
Heidi Ohrling,Western Mustangs,30:12
Emily Simpson,UBCO Heat,30:15
Sandra Guga,Guelph Gryphons,30:16
Elizabeth Vroom - R,Queen's Gaels,30:18
Rosalyn Barrett,McMaster Marauders,30:20
Katie Newlove,UBC Thunderbirds,30:23
Nicole Larue,Windsor Lancers,30:27
Camille Boudreau - R,Laval Rouge et Or,30:31
Marine Garnier,Montréal Carabins,30:35
Lauren Lowther,Dalhousie Tigers,30:35
Hannah Goodjohn,McMaster Marauders,30:36
Noemie Beauregard - R,Ottawa Gee-Gees,30:36
Eliyah Brawdy,UBCO Heat,30:39
Myriam Poirier,Montréal Carabins,30:41
Chloe Coutts,Western Mustangs,30:42
Delaney Chan,Victoria Vikes,30:42
Caitlin Mann,Victoria Vikes,30:43
Jasmine Feddema,Alberta Pandas,30:45
Allison Grajczyk-Jelinski,Saskatchewan Huskies,30:46
Allie Sandluck,St. F X,30:47
Kristen Smith,UBCO Heat,30:47
Jenna McFadyen,Saskatchewan Huskies,30:48
Michelle Gray - R,Guelph Gryphons,30:52
Laura Yantha,Guelph Gryphons,30:53
Sierra Rodrigues - R,UNB Reds,30:56
Kate Milne,UBCO Heat,31:01
Sarah Nolan,McMaster Marauders,31:04
Kaitlyn Treleaven,McMaster Marauders,31:06
Emma Waddington,McMaster Marauders,31:07
Eileen Benoit,St. F X,31:09
Hailee Morisseau,Manitoba Bisons,31:18
Samara Quanz,Windsor Lancers,31:22
Mairin Canning,St. F X,31:25
Christina Esposito,Toronto Varsity Blues,31:27
Gabrielle Champigny,Montréal Carabins,31:28
Gunther Nina,Ottawa Gee-Gees,31:28
Sophie Courville - R,McGill Martlets,31:30
Élana Camiré Matveyenko,Sherbrooke Vert & Or,31:30
Caroline Ash - R,St. F X,31:34
Jennifer Erickson,Victoria Vikes,31:34
Georgia Bernhard - R,UNB Reds,31:35
Angela Kroeker,Manitoba Bisons,31:36
Morgan McKeown,McMaster Marauders,31:36
Hilary Bishop,UNB Reds,31:37
Marie-Eve Turcotte,Laval Rouge et Or,31:38
Sihaam Khalid,Calgary Dinos,31:38
Mélanie Desautel,Sherbrooke Vert & Or,31:40
Paige Breedon - R,Western Mustangs,31:44
Christina Peet Williams - R,Victoria Vikes,31:48
Auxane Faugier - R,Montréal Carabins,31:50
Emily Doucet,UNB Reds,31:51
Rhian Paterson,Calgary Dinos,31:53
