name,time,team,points
Katie Newlove,29:06.8,UBC Thunderbirds,1
Catherine Beauchemin,29:18.2,Laval Rouge et Or,2
Erika Jordan,29:24.7,Western Mustangs,3
Jennifer Erickson,29:27.4,UBC Thunderbirds,4
Kaitlyn Harrison,29:28.2,Saskatchewan Huskies,5
Mairin Canning,29:28.2,St. F X,6
Eileen Benoit,29:29.2,St. F X,7
Holly MacGillivray,29:30.5,UBC Thunderbirds,8
Olivia Roussel,29:31.1,Western Mustangs,9
Allie Sandluck,29:31.5,St. F X,10
Marley Beckett,29:33.5,UBC Thunderbirds,11
Emily Doucet,29:35.1,UNB Reds,12
Rosalyn Barrett,29:37.1,McMaster Marauders,13
Tori Bouck,29:37.3,UBCO Heat,
Rachel Mortimer,29:37.6,UBC Thunderbirds,14
Kyla Becker,29:37.6,UBC Thunderbirds,15
Julia Agostinelli,29:40.2,Guelph Gryphons,16
Chloe Coutts,29:43.3,Western Mustangs,17
Anja Krueger,29:45.0,Victoria Vikes,18
Sandra Guga,29:47.3,Western Mustangs,19
Elise Coates,29:53.7,Victoria Vikes,20
Hannah Goodjohn,29:59.6,McMaster Marauders,21
Waverley Mulligan,30:00.8,Dalhousie Tigers,
Olivia Cooper,30:01.5,Alberta Pandas,22
Sophie Coutts,30:01.9,Western Mustangs,23
Alexandra McDougall,30:05.9,Guelph Gryphons,24
Cameron Ormond,30:07.2,Guelph Gryphons,25
Paige Breedon,30:07.5,Waterloo Warriors,26
Sierra Rodrigues,30:08.5,UNB Reds,27
Jade Berube,30:10.4,Laval Rouge et Or,28
Nicole Larue,30:12.5,Windsor Lancers,29
Heidi Ohrling,30:12.9,Western Mustangs,30
lisa Tripotin,30:13.7,Université du Québec à Montréal Les Citadins,31
Nina Whitford,30:13.9,Guelph Gryphons,32
Laurence Gauthier,30:18.0,Sherbrooke Vert & Or,33
Janelle Bykowski,30:18.9,Windsor Lancers,34
Eve Carreau,30:20.8,St. F X,35
Jouen Chang,30:21.3,UBC Thunderbirds,36
