name,time,team,points
Philippe Morneau-Cartier,24:17.6,Laval Rouge et Or,1
Jean-Simon Desgagnes,24:20.9,Laval Rouge et Or,2
Andrew Davies,24:24.7,UBC Thunderbirds,3
Jacob Benoit,24:42.5,Dalhousie Tigers,
John Perrier,24:44.4,UBC Thunderbirds,4
Thomas Laviolette,24:46.2,Montréal Carabins,5
Jared Howse,24:48.1,UNB Reds,6
Jude Wheeler-Dee,24:58.1,Queen's Gaels,7
Roman Mironov,25:00.8,Queen's Gaels,8
Jaiveer Tiwana,25:01.4,UBC Thunderbirds,9
Jonathan Podbielski,25:01.5,Regina Cougars,
Nicholas Bannon,25:03.8,Guelph Gryphons,10
Jonathan Tedeschi,25:07.0,Laval Rouge et Or,11
Max Davies,25:14.3,Guelph Gryphons,12
Rudy Saal,25:18.0,Laval Rouge et Or,13
Daniel Damian,25:21.9,Victoria Vikes,14
Riley Miller,25:22.4,UBC Thunderbirds,15
Xavier Lemaitre,25:22.7,Sherbrooke Vert & Or,16
Will Cox,25:24.7,Queen's Gaels,17
Marcel Scheele,25:26.6,Western Mustangs,18
Felix Quirion,25:27.9,Sherbrooke Vert & Or,19
Tion McLeish,25:30.3,Victoria Vikes,20
Dylan Uhrich,25:31.6,UBC Thunderbirds,21
William Boyle,25:32.1,UNB Reds,22
Jack Lehto,25:32.9,Guelph Gryphons,23
Gaetano Pocchi,25:33.6,Guelph Gryphons,24
Jacob Fitzpatrick,25:34.4,Windsor Lancers,25
Andre Alie-Lamarche,25:35.6,Ottawa Gee-Gees,
Ben Fox,25:36.3,Western Mustangs,26
Ethan Rashid-Cocker,25:40.7,Queen's Gaels,27
Rohan Nowbotsing,25:40.7,Guelph Gryphons,28
Mathis Richrd,25:41.6,Sherbrooke Vert & Or,29
Connor Lashley,25:42.5,McMaster Marauders,30
Miles Brackenbury,25:43.3,Queen's Gaels,31
Brandon Raftis,25:43.5,Toronto Varsity Blues,32
David Girardin,25:45.1,Laval Rouge et Or,33
Justin Kroeker,25:46.7,Manitoba Bisons,34
Jaxon Kuchar,25:50.1,Victoria Vikes,35
Jett Dobson,25:50.9,Lakehead Thunderwolves,36
Angus Skinner,25:51.7,Queen's Gaels,37
Pierre-Yves Normandin,25:52.2,Laval Rouge et Or,38
Kamran Brar,25:52.4,McMaster Marauders,39
Jerome Jacques,25:53.1,McGill Redbirds,
Nick Robertson,25:53.2,Dalhousie Tigers,
Andrew Lehman,25:54.0,Lakehead Thunderwolves,40
Justin Kiplagat,25:54.8,Trinity Western Spartans,41
Mitchell Kean,25:57.1,UNB Reds,42
Will Cebuliak,25:57.2,Alberta Golden Bears,43
Anton Kuipers,25:57.5,Victoria Vikes,44
Alexander Webster,25:58.9,Saskatchewan Huskies,45
Levi Moulton,25:59.5,Memorial Sea-Hawks,
Griffin Gamble,26:01.3,St. F X,46
Ben Shore,26:01.9,Toronto Varsity Blues,47
Rory McGarvey,26:02.1,St. Mary's Huskies,
Dylan Bauman,26:02.1,Saskatchewan Huskies,48
Tanner Hueglin,26:03.4,Queen's Gaels,49
Noah Fillion,26:04.8,Manitoba Bisons,50
Ben Perrett,26:06.2,UNB Reds,51
Adam Schmidt,26:06.4,Guelph Gryphons,52
Zach Frangos,26:08.5,Toronto Varsity Blues,53
Lukas Vadeika,26:09.6,McMaster Marauders,54
Luc Gallant,26:10.7,St. F X,55
Keon Wallingford,26:10.7,Laurentian Voyageurs,
Samuel Hepworth,26:11.9,McGill Redbirds,
Tom Boers,26:12.4,Western Mustangs,56
Gabriel Vanasse,26:12.4,UQAC Inuk,
Vincent Abraham,26:12.5,Université du Québec à Trois-Rivières Les Patriote,
Joel Gallant,26:13.6,St. F X,57
Owen Parkes,26:17.2,Western Mustangs,58
Christian Rachner,26:19.9,Guelph Gryphons,59
Frederick Turgeon,26:27.2,Sherbrooke Vert & Or,60
Mark Royce,26:28.5,Western Mustangs,61
Atsushi Satomura,26:29.3,Montréal Carabins,62
Giancarlo Farruggia,26:30.1,McMaster Marauders,63
Ian Young,26:30.6,Wilfrid Laurier Golden Hawks,
Hayden Woodrow,26:30.7,Victoria Vikes,64
William Weist,26:31.0,McMaster Marauders,65
Luke Mawhinney,26:31.3,Windsor Lancers,66
Kyle Koyanagi,26:32.9,Western Mustangs,67
Max Cook,26:33.8,Calgary Dinos,
Luke MacDonald,26:34.0,St. F X,68
Sacha Schimmelpenninck,26:34.8,UBC Thunderbirds,69
Jason Ushko,26:35.8,Alberta Golden Bears,70
Liam Patterson,26:37.1,St. F X,71
Jacob Webster,26:37.9,Victoria Vikes,72
