name,team,time
Madelyn Eybergen,Victoria Vikes,27:10.00
Lauren Mcneil,UBCO Heat,27:24.00
Alexandra Mcdougall,Guelph Gryphons,28:06.00
Julia Agostinelli,Toronto Varsity Blues,28:22.00
Sophie Courville,McGill Martlets,28:30.00
Marisha Thompson,Victoria Vikes,28:35.00
Elisa Tripotin,Université du Québec à Montréal Les Citadins,28:46.00
Caroline Ash,St. F X,28:47.00
Olivia Cooper,Alberta Pandas,28:47.00
Maria Linton,Western Mustangs,28:50.00
Sophie Coutts,Western Mustangs,28:59.00
Leane Baril,Laval Rouge et Or,29:01.00
Laurence Gauthier,Sherbrooke Vert & Or,29:01.00
Samara Quanz,Windsor Lancers,29:02.00
Morgane Drouin,Laval Rouge et Or,29:02.00
Eileen Benoit,St. F X,29:05.00
Frances Macleod,St. Mary's Huskies,29:07.00
Erin Owens,Victoria Vikes,29:10.00
Mackenzie Campbell,UBC Thunderbirds,29:17.00
Caden Lee,St. F X,29:19.00
Caleigh Pribaz,Queen's Gaels,29:20.00
Elysse Fleming,UBC Thunderbirds,29:21.00
Chloe Turner,Calgary Dinos,29:23.00
Amelia Pfohl,UBC Thunderbirds,29:25.00
Natalie Boston,Alberta Pandas,29:25.00
Grace Mack,Memorial Sea-Hawks,29:27.00
Elizabeth Vroom,Queen's Gaels,29:27.00
Nikolina Kapovic,UNB Reds,29:29.00
Victoria Lamb,Western Mustangs,29:33.00
Abby Ylipahkala,UBC Thunderbirds,29:36.00
Juliette Secretin,Laval Rouge et Or,29:37.00
Molly Pert,Dalhousie Tigers,29:38.00
Poppy Moon,St. F X,29:42.00
Kaitlyn Treleaven,McMaster Marauders,29:44.00
Sierra Rodrigues,UNB Reds,29:45.00
Sienna Matheson,McGill Martlets,29:45.00
Joelle Olla,Windsor Lancers,29:45.00
Sophie Trott,McMaster Marauders,29:48.00
Madison Mcdermott,Queen's Gaels,29:49.00
Tori Bouck,UBCO Heat,29:50.00
Ella Lane,Victoria Vikes,29:50.00
Emily Doucet,UNB Reds,29:53.00
Paige Breedon,Waterloo Warriors,29:54.00
Lauren Macsai,Brock Badgers,29:55.00
Elissa Frielink,Victoria Vikes,29:57.00
Laurie Fournier,Sherbrooke Vert & Or,30:02.00
Hannah Goodjohn,Queen's Gaels,30:04.00
Jenna Conrad,Calgary Dinos,30:05.00
Colette Reimer,Victoria Vikes,30:06.00
Natalie Fortier,Windsor Lancers,30:06.00
Victoria Leblanc,Montréal Carabins,30:06.00
Feron Wallace,St. F X,30:11.00
Marie-renee Emond,Laval Rouge et Or,30:12.00
Zoe Gardiner,Ottawa Gee-Gees,30:15.00
Jasmine Stokes,Queen's Gaels,30:15.00
Kara Tichbourne,McMaster Marauders,30:16.00
Ivy Bialowas,UNB Reds,30:16.00
Sarah Macgillivray,UBC Thunderbirds,30:17.00
Meredith Boyer,Montréal Carabins,30:18.00
Darcie Stapleton,Memorial Sea-Hawks,30:18.00
Sophie Jensen,Calgary Dinos,30:19.00
Emma Elliott,McMaster Marauders,30:24.00
Kayla Overholt,McMaster Marauders,30:25.00
Olivia Macaskill,McMaster Marauders,30:25.00
Clare Goodison,UBC Thunderbirds,30:26.00
Juliet Pulfrey,Dalhousie Tigers,30:27.00
Michelle Gray,Guelph Gryphons,30:27.00
Sarah White,Toronto Varsity Blues,30:28.00
Charlotte Chabbert,Montréal Carabins,30:29.00
Clara Fava,Western Mustangs,30:30.00
Grace Richard,UPEI Panthers,30:35.00
Rachel Mcdonald,UBC Thunderbirds,30:36.00
Mikayla Battams,McMaster Marauders,30:36.00
Lena Klassen,Manitoba Bisons,30:37.00
Olivia Baggley,Queen's Gaels,30:37.00
Mia Blackmore-barnable,McGill Martlets,30:38.00
Rosalyn Barrett,Queen's Gaels,30:40.00
Amaia Ervin-arambarri,Calgary Dinos,30:41.00
Maraid Johnson,UBCO Heat,30:42.00
Sian Kniaziew,Windsor Lancers,30:43.00
Leah Stapleton,Guelph Gryphons,30:44.00
Bridget Jeffery,UNB Reds,30:44.00
Morgan Tiede,Saskatchewan Huskies,30:44.00
Charlotte Fournier,Sherbrooke Vert & Or,30:44.00
Hannah Mcintyre,St. F X,30:45.00
Beatrice Normand,Université du Québec à Montréal Les Citadins,30:46.00
Anna May,Guelph Gryphons,30:48.00
Georgia Bernhard,UNB Reds,30:52.00
Jocelyn Ringler,Memorial Sea-Hawks,30:54.00
Ainsley Rocheleau,Windsor Lancers,30:56.00
Ella Ballard,Victoria Vikes,30:57.00
Coralie Bouchard,Montréal Carabins,30:58.00
Elana Camire matveyenko,Sherbrooke Vert & Or,30:58.00
Jamie Gladdish,Alberta Pandas,30:58.00
Sophie Hamilton,UBCO Heat,31:00.00
Stefania Angona,UPEI Panthers,31:02.00
Ella Wigmore,UBCO Heat,31:07.00
Juliana Hendrikx,Western Mustangs,31:08.00
Maren Kasunish,Windsor Lancers,31:09.00
Anastasia Kirova,York Lions,31:09.00
Lea Pelletier,Laval Rouge et Or,31:09.00
Natasha Bolger,Université du Québec à Montréal Les Citadins,31:10.00
Maeve Pestonji,Guelph Gryphons,31:11.00
Mila Souilliere,Dalhousie Tigers,31:13.00
Brooklyn Roney,Saskatchewan Huskies,31:16.00
Eva Kriebel,Dalhousie Tigers,31:17.00
Maria Chafe,Memorial Sea-Hawks,31:18.00
Nathalie Toledo,Saskatchewan Huskies,31:19.00
Sofia Veilleux,McGill Martlets,31:23.00
Poppy Thomson,St. F X,31:24.00
Mathilde Collard,Laval Rouge et Or,31:25.00
Marick Thibault,Université du Québec à Trois-Rivières Les Patriote,31:26.00
Frances Terichow parrott,Manitoba Bisons,31:28.00
Laurianne Heynemand,Sherbrooke Vert & Or,31:29.00
Grace Wheeler,Guelph Gryphons,31:29.00
Alice Marsh,Laval Rouge et Or,31:29.00
Sharanya Vijayaragahaven,UBCO Heat,31:30.00
Erika Gordon,Western Mustangs,31:32.00
Gabrielle Cote,Moncton Aigles Bleu,31:34.00
Cori Macsai,Brock Badgers,31:34.00
Sadie Maciura,Manitoba Bisons,31:35.00
Zoe Fullarton,Dalhousie Tigers,31:37.00
Elodie Hebert,Sherbrooke Vert & Or,31:37.00
Annie Beveridge-warick,Saskatchewan Huskies,31:38.00
Katie Richard,UPEI Panthers,31:40.00
Klara Gal,Montréal Carabins,31:41.00
Marie-soleil Courchesne,Université du Québec à Trois-Rivières Les Patriote,31:42.00
Louisiane Le bail,Université du Québec à Montréal Les Citadins,31:43.00
Evelyn Wang,York Lions,31:44.00
Karine Belleau-beliveau,Université du Québec à Trois-Rivières Les Patriote,31:46.00
Hallee Knelsen,Western Mustangs,31:47.00
Madelyn Bullock,Toronto Varsity Blues,31:48.00
Csenia Irvin,Calgary Dinos,31:49.00
Karlie Janes,Brock Badgers,31:49.00
Ella Heinrich,Alberta Pandas,31:49.00
Gabrielle Kelland-fortin,Montréal Carabins,31:50.00
Jessica Belisle,Université du Québec à Trois-Rivières Les Patriote,31:54.00
Brooke Spina,Guelph Gryphons,31:56.00
Shelby Spencer,Toronto Varsity Blues,32:00.00
Julie-anne Bouchard,UQAC Inuk,32:00.00
Juliana Lemaire,Moncton Aigles Bleu,32:04.00
Libby Dunn,Alberta Pandas,32:04.00
Natalie Adam,Windsor Lancers,32:09.00
Madison Sparkman,Toronto Varsity Blues,32:13.00
Ariane Carrier,Université du Québec à Trois-Rivières Les Patriote,32:14.00
Claire Nolet,Toronto Varsity Blues,32:15.00
Riyaa Balakrishnan,York Lions,32:17.00
Marie-ange Hebert,Sherbrooke Vert & Or,32:18.00
Elena Anthony,Alberta Pandas,32:20.00
Danielle Keefe,Dalhousie Tigers,32:23.00
Zoe Flaman,Alberta Pandas,32:25.00
Ava Goncalves,UNB Reds,32:27.00
Alice Roze,École de technologie supérieure,32:27.00
Ariane Simard,UQAC Inuk,32:33.00
Kyra Shelton,Saskatchewan Huskies,32:35.00
Hailee Masse,Brock Badgers,32:35.00
Kaitlyn Koyanagi,Toronto Varsity Blues,32:37.00
Marianne Bogus,UQAC Inuk,32:40.00
Justine Champagne,Montréal Carabins,32:41.00
Petra Tymko,Saskatchewan Huskies,32:41.00
Marcail Philp,Calgary Dinos,32:42.00
Dominique Gelinas,Université du Québec à Montréal Les Citadins,32:46.00
Attleigh Maloney,Saskatchewan Huskies,32:47.00
Eloisa Castillo,Calgary Dinos,33:07.00
Ava Snyder,Brock Badgers,33:24.00
Noee Jean,UQAC Inuk,33:26.00
Malak Elghobashy,York Lions,33:57.00
Ariane Brasselet,École de technologie supérieure,34:07.00
Ava Sparkes,York Lions,34:13.00
Grace Whitley,York Lions,34:32.00
Gabrielle Caron,UQAC Inuk,34:59.00
Teresa Muggeridge,York Lions,35:02.00
Mahisha Lavoie,Université du Québec à Montréal Les Citadins,35:13.00
Alexandra Collignon,Université du Québec à Montréal Les Citadins,37:26.00
