name,team,time
Philippe Morneau-cartier,Laval Rouge et Or,24:14.00
Thomas Laviolette,Montréal Carabins,24:19.00
Jude Wheeler-dee,Queen's Gaels,24:24.00
Nolan Turgeon,Sherbrooke Vert & Or,24:32.00
Felix Quirion,Sherbrooke Vert & Or,24:37.00
Jack Lehto,Guelph Gryphons,24:37.00
Max Davies,Guelph Gryphons,24:42.00
Roman Mironov,Queen's Gaels,24:44.00
Jaxon Kuchar,Victoria Vikes,24:45.00
Jared Howse,UNB Reds,24:46.00
Angus Skinner,Queen's Gaels,24:47.00
Rudy Saal,Laval Rouge et Or,24:50.00
Christian Rachner,Guelph Gryphons,24:52.00
Samuel Patrick,McMaster Marauders,24:54.00
Jacob Fitzpatrick,Windsor Lancers,25:00.00
Vincent Abraham,Université du Québec à Trois-Rivières Les Patriote,25:04.00
Tanner Hueglin,Queen's Gaels,25:10.00
Pierre-yves Normandin,Sherbrooke Vert & Or,25:10.00
Iain Thomson,McMaster Marauders,25:16.00
Maximilien Filion,UBC Thunderbirds,25:17.00
Noah Costa,Windsor Lancers,25:17.00
Jett Dobson,Lakehead Thunderwolves,25:19.00
Liam Smith,Western Mustangs,25:23.00
Peter Neill,Queen's Gaels,25:24.00
Mathis Richard,Sherbrooke Vert & Or,25:25.00
Keon Wallingford,Laurentian Voyageurs,25:27.00
Ian Teichler,Regina Cougars,25:28.00
Patrick Dean,Waterloo Warriors,25:30.00
Ian Mcallister,Victoria Vikes,25:30.00
Anthony Antaya,Saskatchewan Huskies,25:31.00
Abdullahi Abdullahi,Windsor Lancers,25:36.00
Brett King,St. F X,25:37.00
Ethan Meyer,Calgary Dinos,25:37.00
Robin Faricier,Western Mustangs,25:38.00
Leo Bedard,Sherbrooke Vert & Or,25:39.00
Sacha Dernoncourt,McGill Redbirds,25:40.00
Henry Bristol,Victoria Vikes,25:40.00
William Weist,McMaster Marauders,25:40.00
Charles Gendron-jette,Sherbrooke Vert & Or,25:41.00
Xavier Duchesneau,Laval Rouge et Or,25:42.00
Tristan Bouius,McMaster Marauders,25:45.00
Satveer Gill,Western Mustangs,25:46.00
Charles Poulin,Laval Rouge et Or,25:51.00
William Boyle,UNB Reds,25:51.00
Charlie Shaw,Guelph Gryphons,25:55.00
Liam Patterson,St. F X,25:55.00
Pier-olivier Beaulieu,Laval Rouge et Or,25:56.00
Liam Palmer,UNB Reds,25:56.00
Ethan Rashid-cocker,Queen's Gaels,25:56.00
Sam Richter,McMaster Marauders,25:56.00
Nico Stockwell,Victoria Vikes,25:57.00
Loic Poulin desjardins,Laval Rouge et Or,25:57.00
Alexander Webster,Saskatchewan Huskies,25:57.00
Eric Mann,Lakehead Thunderwolves,25:58.00
Frederick Turgeon,Sherbrooke Vert & Or,25:59.00
Brett Maclean,Regina Cougars,26:00.00
Alec Teichler,Regina Cougars,26:00.00
Owen Danby,Queen's Gaels,26:01.00
Griffin Gamble,St. F X,26:02.00
Noah Fillion,Manitoba Bisons,26:02.00
Luc Doucette,UPEI Panthers,26:05.00
Ryan Davies,McMaster Marauders,26:07.00
Steven Brittain,UBC Thunderbirds,26:10.00
Luc Fillion,Manitoba Bisons,26:11.00
Emile Mignault,McGill Redbirds,26:12.00
Braden Foley,Calgary Dinos,26:12.00
Liam Mccullagh,St. F X,26:13.00
Hayes Mcmillan,Manitoba Bisons,26:14.00
Charles Mills,Guelph Gryphons,26:14.00
Nima Ashtari,Toronto Varsity Blues,26:14.00
Dylan Uhrich,UBC Thunderbirds,26:14.00
Alex Rogers,Dalhousie Tigers,26:15.00
Nicholas Lightwood,Lakehead Thunderwolves,26:15.00
Owen Lloyd,UBCO Heat,26:15.00
Andreas Pardalis,Windsor Lancers,26:16.00
Mathew Lawton,St. F X,26:17.00
Mathieu Giasson,Université du Québec à Montréal Les Citadins,26:17.00
Caden Jones,UNB Reds,26:18.00
Jacob Klassen,Regina Cougars,26:19.00
Ben Gates,McGill Redbirds,26:20.00
Luke Macdonald,St. F X,26:21.00
Parker Levac,Toronto Varsity Blues,26:23.00
Max Cook,Calgary Dinos,26:25.00
Roman Bordo,McGill Redbirds,26:25.00
Nicolas Belan,Guelph Gryphons,26:25.00
Rory Mcgarvey,Western Mustangs,26:26.00
Joel Gallant,UPEI Panthers,26:27.00
Andrej Prekajski,Toronto Varsity Blues,26:27.00
Isaac Iannarelli,Brock Badgers,26:27.00
Zacharie Turgeon,Université du Québec à Montréal Les Citadins,26:28.00
James Wheeler,Windsor Lancers,26:30.00
Grayson Butler,Dalhousie Tigers,26:31.00
Jerome Jacques,Montréal Carabins,26:33.00
Kai Martland,UBC Thunderbirds,26:34.00
Isaac Maclean,Dalhousie Tigers,26:35.00
Skyler Grossi,Western Mustangs,26:35.00
Conlan Mackenzie,St. F X,26:36.00
Carson Kroeker,Manitoba Bisons,26:36.00
Steph Snyman,UNB Reds,26:37.00
Jacob Webster,Victoria Vikes,26:38.00
Austin Mcgoey,McMaster Marauders,26:40.00
Louis Margot,Laval Rouge et Or,26:42.00
Sean Adams,McGill Redbirds,26:43.00
Timothe Dumont,Université du Québec à Montréal Les Citadins,26:44.00
Ben House,Saskatchewan Huskies,26:45.00
James Doughty,UBC Thunderbirds,26:45.00
Ethan Cannon,Western Mustangs,26:46.00
Gregoire Chevalier,Montréal Carabins,26:46.00
Ricardo Izquierdo-bernier,Université du Québec à Trois-Rivières Les Patriote,26:47.00
Luke Feltham,Guelph Gryphons,26:48.00
Brodie Pennie,UNB Reds,26:48.00
Adonias Downes,Regina Cougars,26:50.00
Rowen Suchoski,Victoria Vikes,26:54.00
Jack Roberts,UPEI Panthers,26:56.00
Jack Oconnell,Toronto Varsity Blues,26:56.00
Andrew Corbeil,UBC Thunderbirds,26:58.00
Leif Buxton,Lakehead Thunderwolves,27:00.00
Jayvin Cross child,Saskatchewan Huskies,27:01.00
Jacob White,Saskatchewan Huskies,27:04.00
Saurang Puthenkulangara,Western Mustangs,27:04.00
Nicolas Fortin,Université du Québec à Trois-Rivières Les Patriote,27:07.00
Lukas Rudaitis,Dalhousie Tigers,27:08.00
Milan Sebestik,Montréal Carabins,27:12.00
Jacob Mclean,Toronto Varsity Blues,27:13.00
Kade Campbell,Windsor Lancers,27:13.00
Ben Mundle,Dalhousie Tigers,27:14.00
