name,time,team,points
Madelyn Eybergen,29:50.2,Windsor Lancers,1
Julia Agostinelli,30:00.3,Toronto Varsity Blues,2
Sophie Coutts,30:05.9,Western Mustangs,3
Paige Breedon,30:12.3,Waterloo Warriors,4
Sandra Guga,30:20.0,Western Mustangs,5
Olivia Roussel,30:23.9,Western Mustangs,6
Anna Carruthers,30:25.3,Western Mustangs,7
Erika Jordan,30:28.7,Western Mustangs,8
Laura Yantha,30:30.0,Guelph Gryphons,9
Chloe Coutts,30:47.8,Western Mustangs,10
Ana Morariu,31:05.5,McMaster Marauders,11
Ivy Bialowas,31:24.6,UNB Reds,12
Michelle Gray,31:26.3,Guelph Gryphons,13
Kaitlyn Treleaven,31:27.4,McMaster Marauders,14
Hillary Clark,31:28.3,Waterloo Warriors,15
Maria Sandor,31:29.9,Guelph Gryphons,16
Pascale Gendron,31:34.2,Western Mustangs,17
Olivia Vanleeuwen,31:36.2,Waterloo Warriors,18
Mary Tennant,31:39.1,McMaster Marauders,19
Leah Stapleton,31:41.3,Guelph Gryphons,20
Ella Madsen,31:43.6,McMaster Marauders,21
Emma Elliott,31:45.7,McMaster Marauders,22
EJ Boston,31:48.2,Western Mustangs,
Emily Doucet,31:50.7,UNB Reds,23
Kayla Overholt,31:55.8,McMaster Marauders,24
Georgia Bernhard,31:55.9,UNB Reds,25
Maeve Pestonji,32:04.8,Guelph Gryphons,26
Sarah Luedke,32:05.4,Toronto Varsity Blues,27
Sophie Levasseur,32:11.4,Toronto Varsity Blues,28
Alex McDougall,32:15.2,Guelph Gryphons,29
Chloe Vincent,32:15.6,Waterloo Warriors,30
Joelle Olla,32:15.9,Windsor Lancers,31
Liana De Medeiros,32:17.6,Toronto Varsity Blues,32
Hallee Knelsen,32:27.2,Western Mustangs,
Maya Parkin,32:29.8,McMaster Marauders,33
Clara Fava,32:32.2,Western Mustangs,
Victoria Lamb,32:33.7,McMaster Marauders,
Laura Kuszaj,32:33.9,Guelph Gryphons,34
Kara Tichbourne,32:33.9,McMaster Marauders,
Anna May,32:34.7,Guelph Gryphons,
Samantha Macdonald,32:48.2,Toronto Varsity Blues,35
Brooke Spina,32:48.7,Guelph Gryphons,
Nicole Hartnell,32:49.6,Guelph Gryphons,
Kristen Mrozewski,32:53.2,Laurentian Voyageurs,36
Natalie Fortier,32:53.8,Windsor Lancers,37
Angela Mozzon,32:59.5,Laurentian Voyageurs,38
Maria Linton,33:01.1,Western Mustangs,
Grace Wheeler,33:17.3,Guelph Gryphons,
Brooke Power,33:18.8,Western Mustangs,
Haley Davis,33:22.9,Guelph Gryphons,
Sarah White,33:23.7,Toronto Varsity Blues,39
Nicole Beach,33:24.0,Wilfrid Laurier Golden Hawks,40
Lauren Macsai,33:24.8,Brock Badgers,41
Claire Hamilton,33:27.1,UNB Reds,42
Mikayla Battams,33:31.3,McMaster Marauders,
Marie Mazzoli,33:32.0,Wilfrid Laurier Golden Hawks,43
Cori Macsai,33:40.7,Brock Badgers,44
Kayla Sanderson-Kirby,33:42.2,Guelph Gryphons,
Natalie Adam,33:46.5,Windsor Lancers,45
Sarah Booth,33:57.0,Laurentian Voyageurs,46
Catherine Rodriguez,33:57.7,Toronto Varsity Blues,47
Sophie Trott,33:58.8,McMaster Marauders,
Avery Murrell,34:00.4,Toronto Varsity Blues,
Laura Peters,34:02.2,York Lions,
Karen Castillo,34:02.4,Windsor Lancers,48
Sabrina Arena,34:13.1,Wilfrid Laurier Golden Hawks,49
Grace McCarthy,34:13.2,Guelph Gryphons,
Nicole Seagris,34:13.3,Windsor Lancers,50
Juliana Hendrikx,34:21.8,Western Mustangs,
Jardine Lam-Colling,34:26.3,Guelph Gryphons,
Lilly Brydon,34:29.8,Western Mustangs,
Claire Hickey,34:33.5,Western Mustangs,
Joud Dabous,34:36.6,Toronto Varsity Blues,
Layla Masse,34:43.8,Windsor Lancers,51
Marie Berube-Boutin,34:45.5,Toronto Varsity Blues,
Nicole Schindler,34:50.9,Waterloo Warriors,52
Julia Scarrow,34:53.4,Windsor Lancers,
Alexandra Benevides,34:57.7,UNB Reds,53
Abby Lanteigne,35:07.4,Laurentian Voyageurs,54
Aidan Pattison,35:29.5,Toronto Varsity Blues,
Isabella Goveia,35:30.5,Windsor Lancers,
Riyaa Balakrishnan,35:35.4,York Lions,
Belinda Guerra,35:43.1,Wilfrid Laurier Golden Hawks,55
Mackenzie Green,35:44.3,Nipissing Lakers,56
Georgia Lepage,35:53.0,Laurentian Voyageurs,57
Agatha Godlewski,35:56.2,Windsor Lancers,
Mackenzie Gallagher,36:03.7,Guelph Gryphons,
Piper Lafayette,36:07.3,Wilfrid Laurier Golden Hawks,58
Abbey Davis,36:08.6,Waterloo Warriors,59
Ryanne O'neill,36:10.1,Trent Excalibur,
Ella Heredi,36:15.9,Windsor Lancers,
Blaise Gravelle,36:18.4,Nipissing Lakers,60
Hailee Masse,36:22.8,Brock Badgers,61
Tegan Ceccanese,36:24.5,Wilfrid Laurier Golden Hawks,62
Emily Sharik-Carreiro,36:26.0,Waterloo Warriors,63
Maya Robinson,36:48.1,Wilfrid Laurier Golden Hawks,64
Julie Mak,36:58.7,Brock Badgers,65
Frances Emery,37:07.5,Trent Excalibur,
