name,time,team
Philippe Morneau-Cartier,24:28.7,Laval Rouge et Or
Nolan Turgeon,24:37.4,Sherbrooke Vert & Or
Félix Quirion,24:54.3,Sherbrooke Vert & Or
Thomas Laviolette,25:03.9,Montréal Carabins
Pierre Pereira,25:10.4,Montréal Carabins
Rudy Saal,25:15.5,Laval Rouge et Or
Devin Chapple,25:19.1,McGill Redbirds
Luca Messenger-Jones,25:21.1,McGill Redbirds
Mathis Richard,25:29.5,Sherbrooke Vert & Or
Émile Toupin,25:29.6,Laval Rouge et Or
Samuel Hepworth,25:31.3,McGill Redbirds
Vincent Troullier,25:33.6,Sherbrooke Vert & Or
David Girardin,25:36.6,Laval Rouge et Or
Frédérick Turgeon,25:39.5,Sherbrooke Vert & Or
William Nolet,25:40.2,Laval Rouge et Or
Julien Marion,25:41.6,ETS Piranhas
Mathis Mercier,25:43.6,Laval Rouge et Or
Loic Poulin-Desjardins,25:50.5,Laval Rouge et Or
Vincent Abraham,25:52.6,Université du Québec à Trois-Rivières Les Patriote
Eliott Héroux,26:00.0,Laval Rouge et Or
Louis Bouin,26:01.7,Université du Québec à Montréal Les Citadins
Jack Stanley,26:03.7,McGill Redbirds
Pier-Olivier Beaulieu,26:06.8,Laval Rouge et Or
Alex Andy Manzy,26:17.3,Laval Rouge et Or
Noah El Rimawi-Fine,26:17.6,McGill Redbirds
Thomas Péladeau,26:20.3,Sherbrooke Vert & Or
Léo Bédard,26:22.7,Sherbrooke Vert & Or
Pietro Freiburger,26:23.8,Montréal Carabins
Sacha Dernoncourt,26:24.4,McGill Redbirds
Charles Poulin,26:27.2,Laval Rouge et Or
Jules Charretier,26:30.0,UQAC Inuk
Atsushi Satomura,26:35.9,Montréal Carabins
Jerome Jacques,26:39.9,McGill Redbirds
Nazim Berrichi,26:40.2,Montréal Carabins
Sean Adams,26:41.0,McGill Redbirds
Guillaume Gendron,26:42.5,Sherbrooke Vert & Or
Zed Roy,26:43.6,Montréal Carabins
Laurent Chounan,26:44.1,ETS Piranhas
Jacob Girard,26:48.8,Laval Rouge et Or
Félix-Antoine Bédard,26:49.5,Université du Québec à Montréal Les Citadins
Nicolas Riopel,26:49.5,Montréal Carabins
Timothé Dumont,26:51.9,Université du Québec à Montréal Les Citadins
Ricardo Izquierdo-Bernier,26:54.1,Université du Québec à Montréal Les Citadins
Grégoire Chevalier,26:56.0,Montréal Carabins
Zacharie Turgeon,26:56.2,Université du Québec à Montréal Les Citadins
Antonin Marsolet,27:00.4,Sherbrooke Vert & Or
Adrien Jean-Pierre,27:00.5,Montréal Carabins
Simon Picard,27:03.7,McGill Redbirds
Ismael Thomas,27:04.5,Laval Rouge et Or
Benjamin Morales,27:05.3,McGill Redbirds
Jérémy Courchesne,27:07.7,Université du Québec à Trois-Rivières Les Patriote
Louis-Philippe Poulin,27:10.0,Montréal Carabins
Émile Girouard-Laflamme,27:12.0,ETS Piranhas
Lucien Louvet,27:12.4,McGill Redbirds
Thibaut Appert,27:15.0,UQAC Inuk
Axel Piasecki,27:23.4,UQAC Inuk
Jules Carcouet,27:28.6,UQAC Inuk
Benjamin Gates,27:32.4,McGill Redbirds
Alexis Chabanne,27:34.5,UQAC Inuk
Nicolas Fortin,27:39.4,Université du Québec à Trois-Rivières Les Patriote
Emile Mignault,27:42.2,McGill Redbirds
Louis-Simon Guité,27:43.6,Montréal Carabins
Emile Garon,27:43.6,Montréal Carabins
Philip Nadeau,28:05.3,UQAC Inuk
Étienne Compans,28:05.8,Sherbrooke Vert & Or
Arnaud Gauberville,28:07.4,ETS Piranhas
Christophe Poliquin,28:07.9,Université du Québec à Trois-Rivières Les Patriote
Paul Cayeux,28:15.3,Sherbrooke Vert & Or
Marek Cauchy-Vaillancourt,28:17.4,Université du Québec à Montréal Les Citadins
Charles-Ugo Ouellet,28:19.7,Sherbrooke Vert & Or
Julien Deschatelets,28:27.5,ETS Piranhas
Liam Bronsema,28:28.1,RMC Saint-Jean
Vincent Fortin,28:30.6,McGill Redbirds
Léopold Chec,28:39.4,UQAC Inuk
Joseph Deslandes,28:39.4,UQAC Inuk
Élie Mauger,28:42.4,Université du Québec à Montréal Les Citadins
Iwan Le Mouel,28:48.0,ETS Piranhas
Nathan Satgé,28:50.4,UQAC Inuk
Tanguy Guerrer,28:52.0,ETS Piranhas
Emile Lévesque,28:54.1,Université du Québec à Montréal Les Citadins
Jérémie Hébert,28:56.7,Université du Québec à Montréal Les Citadins
Timothée Courtois,29:05.4,ETS Piranhas
Philippe Lacasse,29:15.0,Université du Québec à Trois-Rivières Les Patriote
Zacharie Dubé,29:25.1,Université du Québec à Trois-Rivières Les Patriote
Cyril Traineau,29:31.4,ETS Piranhas
Simon Prince,29:31.4,Montréal Carabins
Raphaël Gaumond,29:34.1,UQAC Inuk
