name,team,time
Thomas Laviolette,Montréal Carabins,00:25:07
Julien Marion,École de technologie supérieure,00:25:12
Felix Quirion,Sherbrooke Vert & Or,00:25:19
Luca Messenger-Jones,McGill Redbirds,00:25:24
Mathis Richard,Sherbrooke Vert & Or,00:25:24
Devin Chapple,McGill Redbirds,00:25:26
Pierre Pereira,Montréal Carabins,00:25:34
Vincent Troullier,Sherbrooke Vert & Or,00:25:43
Jack John Stanley,McGill Redbirds,00:25:59
Samuel Hepworth,McGill Redbirds,00:26:03
Vincent Abraham,Université du Québec à Trois-Rivières Les Patriote,00:26:13
Louis Bouin,Université du Québec à Montréal Les Citadins,00:26:16
Frederick Turgeon,Sherbrooke Vert & Or,00:26:24
Sacha Dernoncourt,McGill Redbirds,00:26:39
Noah El Rimawi-Fine,McGill Redbirds,00:26:40
Sean Adams,McGill Redbirds,00:26:42
Ricardo Izquierdo-Bernier,Université du Québec à Montréal Les Citadins,00:26:55
Nicolas Riopel,Montréal Carabins,00:26:59
Pietro Freiburger,Montréal Carabins,00:27:01
Zed Roy,Montréal Carabins,00:27:03
Gregoire Chevalier,Montréal Carabins,00:27:05
Ben Morales,McGill Redbirds,00:27:06
Adrien Jean-Pierre,Montréal Carabins,00:27:07
Atsushi Satomura,Montréal Carabins,00:27:11
Jeremy Courchesne,Université du Québec à Trois-Rivières Les Patriote,00:27:11
Laurent Chounan,École de technologie supérieure,00:27:12
Timothe Dumont,Université du Québec à Montréal Les Citadins,00:27:12
Louis-Philippe Poulin,Montréal Carabins,00:27:15
Emile Girouard-Laflamme,École de technologie supérieure,00:27:18
Felix Antoine Bedard,Université du Québec à Montréal Les Citadins,00:27:26
Zachary Sikka,Ottawa Gee-Gees,00:27:31
Axel Piasecki,UQAC Inuk,00:27:33
Thibaut Appert,UQAC Inuk,00:27:33
Emile Garon,Montréal Carabins,00:27:34
Zacharie Turgeon,Université du Québec à Montréal Les Citadins,00:27:36
Nazim Berrichi,Montréal Carabins,00:27:37
Simon Picard,McGill Redbirds,00:27:38
Leo Bedard,Sherbrooke Vert & Or,00:27:42
Thomas Durbain,Montréal Carabins,00:27:42
Ben Gates,McGill Redbirds,00:27:42
Nicolas Fortin,Université du Québec à Trois-Rivières Les Patriote,00:27:43
Nicolas Abanto Enns,Ottawa Gee-Gees,00:27:47
Etienne Compans,Sherbrooke Vert & Or,00:27:49
Alexis Chabanne,UQAC Inuk,00:27:54
Emile Mignault,McGill Redbirds,00:27:58
Louis-Simon Guite,Montréal Carabins,00:27:58
Liam Bronsema,RMC Saint-Jean,00:28:04
Lucien Louvet,McGill Redbirds,00:28:08
Adriano Padoin-Castillo,Ottawa Gee-Gees,00:28:09
Simon Prince,Montréal Carabins,00:28:10
Alex Colsell,Montréal Carabins,00:28:14
Christophe Poliquin,Université du Québec à Trois-Rivières Les Patriote,00:28:20
Alistair Kiernan,McGill Redbirds,00:28:21
Arnaud Gauberville,École de technologie supérieure,00:28:24
Joseph Deslandes,UQAC Inuk,00:28:26
Nathan Gars,Montréal Carabins,00:28:30
Emile Levesque,Université du Québec à Montréal Les Citadins,00:28:31
Marek Cauchy-Vaillancourt,Université du Québec à Montréal Les Citadins,00:28:32
Julien Deschatelets,École de technologie supérieure,00:28:34
Loic Demarbre,Montréal Carabins,00:28:42
Elie Mauger,Université du Québec à Montréal Les Citadins,00:28:47
Henri Chaudoir,Montréal Carabins,00:28:51
Jeremie Hebert,Université du Québec à Montréal Les Citadins,00:28:53
Adrien Durand,Montréal Carabins,00:28:55
Leopold Chec,UQAC Inuk,00:28:60
Fred Parent,Ottawa Gee-Gees,00:28:60
Thibault Gestin,École de technologie supérieure,00:29:02
Tanguy Guerry,École de technologie supérieure,00:29:04
Thimotee Courtois,École de technologie supérieure,00:29:04
Zachary Dube,Université du Québec à Trois-Rivières Les Patriote,00:29:05
Philippe Lacasse,Université du Québec à Trois-Rivières Les Patriote,00:29:08
Raphael Gaumond,UQAC Inuk,00:29:13
Cyril Traineau,École de technologie supérieure,00:29:29
Thierry Hebert,Montréal Carabins,00:29:38
Remi Senneville,Université du Québec à Trois-Rivières Les Patriote,00:29:43
Jeremie Chartier,Université du Québec à Montréal Les Citadins,00:29:47
Jean-Christophe Lasnier,Université du Québec à Trois-Rivières Les Patriote,00:29:56
Romain Kapps,UQAC Inuk,00:30:05
Emile Letourneau-Rancourt,Université du Québec à Montréal Les Citadins,00:30:06
Marc-Antoine Masse,UQAC Inuk,00:30:10
Eliot Terrier,École de technologie supérieure,00:30:12
Philipe-Antoine Proulx,UQAC Inuk,00:30:16
Antoine Laurent,Montréal Carabins,00:30:21
Jacob Arsenault,École de technologie supérieure,00:30:23
Iwan Le Mouel,École de technologie supérieure,00:31:05
Emile Pellerin,Montréal Carabins,00:31:06
Luc Brennan,Montréal Carabins,00:31:16
Leo Berube,RMC Saint-Jean,00:31:29
Renaud Soucy,RMC Saint-Jean,00:31:35
Thomas Saulquin,École de technologie supérieure,00:31:38
Rory OConnell,Ottawa Gee-Gees,00:32:12
Jean-Christophe Alary-Forget,RMC Saint-Jean,00:32:27
Cyprien Marais,RMC Saint-Jean,00:33:14
Pushker Ramachandran,Ottawa Gee-Gees,00:33:24
Tristan Lapointe,RMC Saint-Jean,00:33:38
Edmond Piche,RMC Saint-Jean,00:33:58
Titouan Martenot,UQAC Inuk,00:34:04
