name,team,time,points
Jacob Benoit,Dalhousie Tigers,25:04,1
Joel Gallant,St. F X,25:55,2
Liam McCullagh,St. F X,26:16,3
Griffin Gamble,St. F X,26:16,4
Luke Macdonald,St. F X,26:22,5
Brett King,St. F X,26:40,6
Lukas Rudaitis,Dalhousie Tigers,26:52,7
Conlan MacKenzie,St. F X,26:54,8
Alex Rogers,Dalhousie Tigers,27:12,9
Maksym Pokotylets,Dalhousie Tigers,27:17,10
Ben Mundle,Dalhousie Tigers,27:19,11
Isaac MacLean,Dalhousie Tigers,27:24,12
David Mack,Memorial Sea-Hawks,27:26,13
Jack Roberts,UPEI Panthers,27:34,14
Grayson Butler,Dalhousie Tigers,27:40,15
Josh Varley,Dalhousie Tigers,27:48,
Aidan Goslett,Dalhousie Tigers,28:03,
Nicholas Hawe,Memorial Sea-Hawks,28:16,16
James Power,Memorial Sea-Hawks,28:34,17
Markus Spingle,Memorial Sea-Hawks,28:35,18
Briac Breen,Dalhousie Tigers,28:38,
Max MacIsaac,UPEI Panthers,28:40,19
Mathew Lawton,St. F X,28:42,20
Cole Miller,St. Mary's Huskies,28:43,21
Jacob Dalton,UPEI Panthers,28:54,22
Ryan Macdonald,UPEI Panthers,28:58,23
Thomas Avery,Memorial Sea-Hawks,29:00,24
Yannick Dupuis,Moncton Aigles Bleu,29:13,25
Andrew Lupenette,St. F X,29:14,
Brady Kyle,St. Mary's Huskies,29:17,26
Pascal LeBlanc,Moncton Aigles Bleu,29:24,27
Matthew Mundy,St. Mary's Huskies,29:26,28
Campbell Brown,UPEI Panthers,29:27,29
Julien Thibodeau,Moncton Aigles Bleu,29:34,30
Logan Reid,Memorial Sea-Hawks,29:41,31
Alex Labrecque,St. Mary's Huskies,29:45,32
Eli Ford,St. Mary's Huskies,29:51,33
Zack Kennedy,St. Mary's Huskies,30:35,34
Oliver Hubka,St. Mary's Huskies,31:51,35
Pierre Faivre,Moncton Aigles Bleu,32:57,36
Olivier Godin,Moncton Aigles Bleu,34:21,37
Travis Gillis,St. Mary's Huskies,34:59,
Mathieu Ouellet,Moncton Aigles Bleu,36:00,38
