time,name,team
0:23:19,Philippe Morneau-Cartier,Laval Rouge et Or
0:23:25,Jared Howse,UNB Reds
0:23:32,Jonathan Podbielski,Regina Cougars
0:23:34,Yemane Mulugeta,Trinity Western Spartans
0:23:35,Jaocb Benoit,Dalhousie Tigers
0:23:36,Jaiveer Tiwana,UBC Thunderbirds
0:23:36,Thomas Laviolette,Montréal Carabins
0:23:38,Nolan Turgeon,Sherbrooke Vert & Or
0:23:39,Max Davies,Guelph Gryphons
0:23:40,Ron Maclean,Alberta Golden Bears
0:23:41,Jack Lehto,Guelph Gryphons
0:23:42,Felix Quirion,Sherbrooke Vert & Or
0:23:49,Jude Wheeler-Dee,Queen's Gaels
0:23:49,Roman Mironov,Queen's Gaels
0:23:50,Rudy Saal,Laval Rouge et Or
0:23:53,Will Cebuliak,Alberta Golden Bears
0:23:57,Maximilien Filion,UBC Thunderbirds
0:23:59,Alec Purnell,McMaster Marauders
0:24:02,Daniel Damian,Victoria Vikes
0:24:03,Will Cox,Queen's Gaels
0:24:03,Ben Fox,Western Mustangs
0:24:04,William Boyle,UNB Reds
0:24:04,Justin Kiplagat,Trinity Western Spartans
0:24:06,Christian Rachner,Guelph Gryphons
0:24:06,Ben Shore,Toronto Varsity Blues
0:24:07,Tanner Hueglin,Queen's Gaels
0:24:11,Julien Marion,ETS Piranhas
0:24:12,Mathis Richard,Sherbrooke Vert & Or
0:24:13,Jacob Fitzpatrick,Windsor Lancers
0:24:14,Angus Skinner,Queen's Gaels
0:24:16,Emile Toupin,Laval Rouge et Or
0:24:17,Pierre Pereira,Montréal Carabins
0:24:18,Justin Kroeker,Manitoba Bisons
0:24:20,Luke Mawhinney,Windsor Lancers
0:24:22,Leif Buxton,Lakehead Thunderwolves
0:24:23,Liam Mccullagh,St. F X
0:24:25,Dylan Uhrich,UBC Thunderbirds
0:24:26,Ian Teichler,Regina Cougars
0:24:26,William Weist,McMaster Marauders
0:24:27,Silas Conlin-Morse,UNB Reds
0:24:27,Alexander Webster,Saskatchewan Huskies
0:24:27,Anthony Antaya,Saskatchewan Huskies
0:24:28,Devin Chapple,McGill Redbirds
0:24:28,Vincent Troullier,Sherbrooke Vert & Or
0:24:29,Mitchell Kean,UNB Reds
0:24:29,Alexander Schimmelpenninck Van Der Oye,UBC Thunderbirds
0:24:29,Samuel Patrick,McMaster Marauders
0:24:30,Peter Neill,Queen's Gaels
0:24:30,Marcel Scheele,Western Mustangs
0:24:33,Hayden Woodrow,Victoria Vikes
0:24:33,Samuel Hepworth,McGill Redbirds
0:24:33,Jack (John) Stanley,McGill Redbirds
0:24:34,Frederick Turgeon,Sherbrooke Vert & Or
0:24:36,Loic Poulin Desjardins,Laval Rouge et Or
0:24:37,Jett Dobson,Lakehead Thunderwolves
0:24:38,David Mutai,Trinity Western Spartans
0:24:40,Matthew Markson,McMaster Marauders
0:24:41,Adam Schmidt,Guelph Gryphons
0:24:42,David Girardin,Laval Rouge et Or
0:24:43,Marcus Ganz,Victoria Vikes
0:24:43,Giancarlo Farruggia,McMaster Marauders
0:24:45,Tom Boers,Western Mustangs
0:24:46,Tynan Webb,McMaster Marauders
0:24:46,Vincent Abraham,UQTR Patriotes
0:24:47,Griffin Gamble,St. F X
0:24:48,Ryan Davies,McMaster Marauders
0:24:49,Thomas Peladeau,Sherbrooke Vert & Or
0:24:50,Satveer Gill,Western Mustangs
0:24:50,Brodie Pennie,UNB Reds
0:24:50,Luca Messenger-Jones,McGill Redbirds
0:24:51,Jacob Webster,Victoria Vikes
0:24:51,Charlie Mills,Guelph Gryphons
0:24:52,Patrick Dean,Waterloo Warriors
0:24:52,William Nolet,Laval Rouge et Or
0:24:52,Jacques Tiessen,Waterloo Warriors
0:24:55,Isaac Baker,UBCO Heat
0:24:55,Rory Mcgarvey,Western Mustangs
0:24:56,Mathis Mercier,Laval Rouge et Or
0:24:56,Dylan Ferri,Guelph Gryphons
0:24:56,Ian Young,Wilfrid Laurier Golden Hawks
0:24:57,Brett Maclean,Regina Cougars
0:24:58,Luke Feltham,Guelph Gryphons
0:25:00,Joel Gallant,St. F X
0:25:00,Brett King,St. F X
0:25:00,Noah El Rimawi-Fine,McGill Redbirds
0:25:01,Owen Parkes,Western Mustangs
0:25:02,Quintan Fast,Saskatchewan Huskies
0:25:03,Kaiden Deck,Saskatchewan Huskies
0:25:03,Leo Bedard,Sherbrooke Vert & Or
0:25:03,Ian Mcallister,Victoria Vikes
0:25:03,Jacob White,Saskatchewan Huskies
0:25:06,Hayes Mcmillan,Manitoba Bisons
0:25:07,Adam Stang,Alberta Golden Bears
0:25:08,Max Cook,Calgary Dinos
0:25:10,Ethan Meyer,Calgary Dinos
0:25:11,Cassian Murray-White,Alberta Golden Bears
0:25:11,Miles Brackenbury,Queen's Gaels
0:25:11,Zed Roy,Montréal Carabins
0:25:12,Luke Macdonald,St. F X
0:25:13,Jack Boden,Victoria Vikes
0:25:14,Owen Llyod,UBCO Heat
0:25:15,Adonias Downes,Alberta Golden Bears
0:25:15,Pietro Freiburger,Montréal Carabins
0:25:16,Jayvin Cross Child,Saskatchewan Huskies
0:25:16,Nicolas Riopel,Montréal Carabins
0:25:19,Benjamin Seshadri,Victoria Vikes
0:25:20,Daniel Toneguzzi,Trinity Western Spartans
0:25:20,Sam Lamont,Manitoba Bisons
0:25:22,Calvin Brain,UBC Thunderbirds
0:25:30,Nicholas Lightwood,Lakehead Thunderwolves
0:25:30,Nazim Berrichi,Montréal Carabins
0:25:32,Quinn Eberts,UNB Reds
0:25:32,Ethan Loucks,Western Mustangs
0:25:32,Henrik Petersson,Waterloo Warriors
0:25:33,Malcolm Reid,Trinity Western Spartans
0:25:33,Edward Healy,Calgary Dinos
0:25:33,Jack Roberts,UPEI Panthers
0:25:34,Jonah Brost,UBC Thunderbirds
0:25:39,Atsushi Satomura,Montréal Carabins
0:25:41,Jason Ushko,Calgary Dinos
0:25:41,Kyle Porter,UBCO Heat
0:25:42,Eric Mann,Lakehead Thunderwolves
0:25:42,Braden Foley,Calgary Dinos
0:25:43,Carson Kroeker,Manitoba Bisons
0:25:44,Liam Dwyer,UBC Thunderbirds
0:25:51,Cameron Dean,Waterloo Warriors
0:25:54,Nathanial Dosman,Alberta Golden Bears
0:25:56,Elijah Headley,Trinity Western Spartans
0:25:57,Joshua Heuver,Alberta Golden Bears
0:26:02,Calvin Reimer,Manitoba Bisons
0:26:04,Elijah Bayne,UNB Reds
0:26:04,Aidan Small,UBCO Heat
0:26:05,Christopher Crowe,UBCO Heat
0:26:05,Henry Sharp,Regina Cougars
