time,name,team
0:26:31,Lauren Mcneil,UBCO Heat
0:26:42,Constance Nankivell,Trinity Western Spartans
0:27:02,Madelyn Eybergen,Windsor Lancers
0:27:15,Paige Breedon,Waterloo Warriors
0:27:24,Elise Coates,Victoria Vikes
0:27:29,Rachel Mortimer,UBC Thunderbirds
0:27:31,Ashley Maguire,Western Mustangs
0:27:31,Holly Macgillivray,UBC Thunderbirds
0:27:36,Marisha Thompson,Victoria Vikes
0:27:36,Elisa Tripotin,UQAM Citadins
0:27:37,Olivia Roussel,Western Mustangs
0:27:37,Eileen Benoit,St. F X
0:27:39,Alyshia Alkerton,Queen's Gaels
0:27:41,Ana Morariu,McMaster Marauders
0:27:44,Julia Agostinelli,Toronto Varsity Blues
0:27:47,Laurence Gauthier,Sherbrooke Vert & Or
0:27:48,Sandra Guga,Western Mustangs
0:27:51,Sophia Balck,Moncton Aigles Bleu
0:27:52,Caroline Ash,St. F X
0:27:52,Sophie Coutts,Western Mustangs
0:27:54,Anna Carruthers,Western Mustangs
0:27:56,Erin Owens,Victoria Vikes
0:27:56,Kristen Smith,UBCO Heat
0:28:10,Jenica Swartz,Saskatchewan Huskies
0:28:15,Amelia Pfohl,UBC Thunderbirds
0:28:16,Erika Jordan,Western Mustangs
0:28:20,Kaitlyn Harrison,Saskatchewan Huskies
0:28:20,Sophie Courville,McGill Martlets
0:28:22,Molly Pert,Dalhousie Tigers
0:28:23,Elizabeth Vroom,Queen's Gaels
0:28:23,Mackenzie Campbell,UBC Thunderbirds
0:28:24,Laura Yantha,Guelph Gryphons
0:28:26,Sierra Rodrigues,UNB Reds
0:28:27,Jennifer Erickson,UBC Thunderbirds
0:28:30,Colette Reimer,Victoria Vikes
0:28:34,Mairin Canning,St. F X
0:28:36,Caden Lee,St. F X
0:28:39,Abby Ylipahkala,UBC Thunderbirds
0:28:41,Ella Lane,Queen's Gaels
0:28:42,Alexa Lemitre,Laval Rouge et Or
0:28:43,Allie Sandluck,St. F X
0:28:46,Chloe Coutts,Western Mustangs
