name,time,team,points
Max Davies,25:04.5,Guelph Gryphons,1
Jared Howse,25:08.6,UNB Reds,2
Jack Lehto,25:18.5,Guelph Gryphons,3
William Boyle,25:34.7,UNB Reds,4
Alexander Purnell,25:40.7,McMaster Marauders,5
Ben Fox,25:43.5,Western Mustangs,6
SIlas Conlin-Morse,25:51.4,UNB Reds,7
Jacob Fitzpatrick,25:58.3,Windsor Lancers,8
Marcel Scheele,26:03.3,Western Mustangs,9
Parker Levac,26:04.0,Toronto Varsity Blues,10
Rory McGarvey,26:06.0,Western Mustangs,11
Ethan Loucks,26:09.3,Western Mustangs,12
William Weist,26:13.2,McMaster Marauders,13
Noah Costa,26:14.3,Windsor Lancers,14
Samuel Patrick,26:17.7,McMaster Marauders,15
Christian Rachner,26:17.8,Guelph Gryphons,16
Giancarlo Farruggia,26:18.3,McMaster Marauders,17
Owen Parkes,26:18.4,Western Mustangs,18
Luke Mahwhinney,26:19.6,Windsor Lancers,19
Brodie Pennie,26:21.5,UNB Reds,20
Kamran Brar,26:25.9,McMaster Marauders,21
Adam Schmidt,26:32.0,Guelph Gryphons,22
Charlie Mills,26:32.9,Guelph Gryphons,23
Elijah Bayne,26:36.5,UNB Reds,24
Ryan Davies,26:39.7,McMaster Marauders,25
Iain Thomson,26:46.4,McMaster Marauders,26
Satveer Gill,26:47.7,Western Mustangs,27
Andreas Pardalis,26:48.5,Windsor Lancers,28
Christopher Hoftyzer,26:50.3,McMaster Marauders,
Jacques Tiessen,26:56.4,Waterloo Warriors,29
Austin McGoey,26:56.8,McMaster Marauders,
Justin Sanders,26:56.9,Western Mustangs,30
Dylan Ferri,27:00.9,Guelph Gryphons,31
Tynan Webb,27:02.1,McMaster Marauders,
Eric Campbell,27:03.5,Guelph Gryphons,32
Patrick Dean,27:04.4,Waterloo Warriors,33
Mark Royce,27:05.3,Western Mustangs,
Brandon Cidade,27:07.9,Toronto Varsity Blues,34
Tristan Bouius,27:09.1,McMaster Marauders,
Tom Boers,27:09.5,Western Mustangs,
Charlie Shaw,27:11.5,Guelph Gryphons,
Harrison Belanger,27:11.7,Western Mustangs,
Nicolas Belan,27:17.4,Guelph Gryphons,
Ian Young,27:19.0,Wilfrid Laurier Golden Hawks,35
Robin Farcier,27:24.6,Western Mustangs,
Willem De Gooyer,27:28.9,Guelph Gryphons,
Brayden DeGrace,27:31.1,Windsor Lancers,36
Luke Feltham,27:31.2,Guelph Gryphons,
Joseph McIntyre,27:31.5,McMaster Marauders,
Kyle Koyanagi,27:36.4,Western Mustangs,
JT Boston,27:41.3,Western Mustangs,
Ryan Skjarum,27:41.5,Wilfrid Laurier Golden Hawks,37
Sam Richter,27:44.0,UNB Reds,38
Adam Kleinsmith,27:48.4,Windsor Lancers,39
Kade Campbell,27:53.0,Windsor Lancers,40
Anton Mlynczyk,27:53.6,Toronto Varsity Blues,41
Simon Drolet,27:57.7,Wilfrid Laurier Golden Hawks,42
Andrew Taylor,28:03.5,Windsor Lancers,
Adam Pralat,28:05.4,Toronto Varsity Blues,43
Jacob Mclean,28:08.7,Toronto Varsity Blues,44
Adam Huras,28:10.0,Waterloo Warriors,45
